last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-02-2025 13:05,23438.25,87375,-825,150,29250,11775,N,-11625,YES,1.11,23419.95,23438.25,23444,23403,115,4733175,300,825,44325,18900,N,-189300,YES,0.95,118.7,1869300,-6225,-225,43800,-31125,Y,39150,Y,-1.52,49640,33660,300,120,13770,9330,N,-27150,N,6.29
03-02-2025 13:10,23441.35,102225,-75,225,35775,-11100,YES,39000,YES,1.6,23440.05,23441.35,23448,23427,110.4,3423300,450,825,45375,50625,Y,112800,YES,0.86,120.3,1716750,0,225,42825,134775,YES,107175,Y,-1.53,49618.45,19440,60,-90,14760,-870,YES,-4860,YES,3.84
03-02-2025 13:15,23425,87675,75,2850,35250,-10575,N,63225,YES,1.35,23439.6,23425,23447.3,23419.1,101.7,3383025,900,2025,43650,-151125,YES,84525,N,0.69,126.45,2064450,-225,450,43650,106500,N,-41250,YES,-1.7,49560,17850,90,0,11310,-2640,YES,4080,N,3.14
03-02-2025 13:20,23414.9,62625,0,-2625,30525,2400,N,5025,N,0.71,23425,23414.9,23430,23412.1,95,2405100,1125,2400,45975,-47250,Y,71025,N,0.22,132.1,1821750,-525,450,43875,-25200,Y,8175,Y,-1.16,49523,14340,0,0,10080,-1680,N,5340,N,1.69
03-02-2025 13:25,23406,48225,-225,825,31500,-2400,YES,5400,N,0.4,23414.9,23406,23419.9,23400,89,2396400,-525,2025,42900,34500,Y,27150,N,0.05,137.7,1700775,675,375,39600,-29925,Y,-39075,YES,-0.83,49485.5,16650,-150,0,10290,-15390,YES,-7830,Y,1.17
03-02-2025 13:30,23402.55,37200,-150,-75,27075,-15075,YES,20775,N,0.25,23406.45,23402.55,23410.8,23394.25,92,1715850,-975,-1575,50025,69150,Y,9600,N,-0.02,137.45,1191150,150,75,44775,17775,YES,5925,Y,-0.48,49485.8,11730,-30,30,10890,2580,N,26310,YES,0.68
03-02-2025 13:35,23413.6,23325,150,-75,21900,6450,Y,-4725,Y,0.21,23402.55,23413.6,23420,23402.05,96.35,1802100,825,525,44850,36525,N,150,Y,0.08,132.95,891225,375,75,44325,-20625,Y,41100,Y,-0.39,49505,6150,60,-60,8130,19560,N,-7500,Y,0.4
03-02-2025 13:40,23429.35,23250,750,0,24225,44100,Y,-1275,N,0.25,23413.6,23429.35,23431,23413.55,104.8,1937100,975,750,43425,43050,N,-91500,Y,0.19,127.6,1030275,525,825,42300,-24750,Y,1650,YES,-0.54,49556.65,7050,-90,0,8610,4020,N,17130,YES,0.69
03-02-2025 13:45,23422,37200,-750,-450,26175,-51300,YES,22050,YES,0.45,23429.85,23422,23435.8,23418.15,98.3,2571225,-2700,1950,45900,-108150,YES,110925,YES,0.32,133.8,1324275,150,-225,43875,82275,YES,-47250,YES,-0.68,49526.65,10770,180,90,12000,930,YES,600,Y,1.27
03-02-2025 13:50,23393,99000,150,0,34950,1050,Y,3975,N,0.37,23420,23393,23422.35,23366.25,84.95,4183425,75,150,46050,31650,Y,22050,N,-0.23,148.85,3098175,-375,1200,41700,-68025,Y,-107475,YES,-0.52,49467.1,17160,-30,120,13080,-3870,YES,-780,Y,0.84
03-02-2025 13:55,23397.25,23700,75,-750,24900,-3150,YES,8700,N,0.11,23393,23397.25,23399,23387.5,87.3,1273800,-750,-3900,45975,1950,YES,-22425,Y,-0.04,146.75,924750,300,225,44925,-9675,YES,36300,Y,-0.17,49474.8,4230,90,-60,8100,-300,N,15600,N,0.19
03-02-2025 14:00,23405,31050,-150,-825,24825,-1425,N,33750,YES,0.22,23397.25,23405,23415,23395,90.95,2296800,3000,525,46725,-8100,YES,32925,YES,0.01,139.65,1259325,450,-225,40275,27750,YES,20325,N,-0.35,49484.5,6150,-30,30,11010,-900,YES,-2130,Y,0.34
03-02-2025 14:05,23413.65,37500,150,525,24075,-450,N,-300,Y,0.31,23405,23413.65,23420,23404,94.85,1565175,750,1725,48075,1725,N,150,Y,0.05,134.65,831000,-150,0,47400,22275,N,40275,N,-0.29,49502,9960,0,-90,9990,1710,N,-1620,N,0.71
