last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
19-11-2024 12:30,1.45,19425,-100,50,1.4,1.45,12675,4550,N,4125,YES,0.33,1.95,342025,25,225,1.85,2.1,24275,-9300,YES,31275,YES,0.19,-0.8,777350,1350,-1250,-0.7,-0.7,50200,-13375,N,-25,YES,-0.24
19-11-2024 12:35,-0.1,17650,-250,0,-2.1,-0.1,14200,1925,YES,2900,Y,0.31,-0.95,251125,-75,-250,-1.3,-1.2,21975,10850,Y,-25,Y,0.14,-0.1,506300,1250,-1150,0.05,0.05,34725,2775,N,4275,N,-0.15
19-11-2024 12:40,-21.15,58075,0,175,-19.5,-17.8,18450,-20150,YES,12175,N,0.8,-16.1,599825,350,100,-16.4,-16.4,25725,-29050,YES,-750,Y,0.24,6.3,1391825,150,775,6.25,6.25,42850,30200,YES,-68600,YES,-0.34
19-11-2024 12:45,13.8,49425,-75,200,17.2,15.6,16775,7725,Y,-13325,Y,0.56,15.3,779375,350,-325,15,15.1,24800,46750,Y,-29775,Y,0.27,-6.25,1936550,-900,-67575,-6.2,-6.25,43725,-45625,Y,3250,Y,-0.43
19-11-2024 12:50,2.2,21625,1100,-175,2.25,2.25,10250,12150,N,-5525,N,0.32,0.3,391425,-525,50,0,0.05,18600,-14750,YES,-7550,YES,0.19,0.7,789750,2600,-1225,0.65,0.65,30500,4350,YES,19775,N,-0.21
19-11-2024 12:55,-1.5,14175,0,75,4.45,1.05,14675,4700,N,725,N,0.22,1.35,277225,150,-875,0.9,0.95,25050,-3825,N,-50,N,0.13,-1,600850,-75,25,-0.8,-0.8,38100,-7975,Y,44950,Y,-0.15
19-11-2024 13:00,1,16300,50,850,-0.45,1,12650,-1050,YES,5075,N,0.28,0.15,517525,0,-125,1.9,1.7,23075,-5875,YES,9475,N,0.29,-0.85,856925,-400,775,-0.75,-0.75,39000,11750,N,-37525,YES,-0.25
19-11-2024 13:05,8.5,21050,-50,-850,10.1,8.5,13000,5400,N,-8150,Y,0.36,5.6,345150,25,-75,6.4,6.3,27075,10600,N,-16750,Y,0.2,-0.85,490950,325,325,-0.9,-0.9,26625,-23400,Y,9675,Y,-0.14
19-11-2024 13:10,2.5,46825,175,-400,1.6,2,11875,-13975,YES,-6100,N,0.87,3.95,436225,0,300,4.8,4.85,26175,7475,N,-2825,N,0.26,-1.6,736450,1800,-2475,-1.8,-1.8,34525,-10525,N,10175,N,-0.21
19-11-2024 13:15,-2,18675,-125,150,-3.15,-2,12850,825,N,-1100,N,0.35,-1.4,295325,175,-125,-1.6,-1.55,31150,-4050,YES,15675,N,0.18,0.05,503775,-175,-1875,-0.05,-0.1,37500,50600,YES,18350,N,-0.15
19-11-2024 13:20,-16,23950,0,-200,-16.4,-17,14225,-10025,YES,1925,N,0.39,-13.65,366650,-25,50,-13.8,-13.5,22300,-31600,YES,13900,N,0.18,3.45,641150,-1725,1875,3.35,3.35,40125,34650,N,-64025,YES,-0.17
19-11-2024 13:25,-4,23900,325,-650,-0.3,0.8,13975,12825,Y,-6075,Y,0.32,-0.65,380350,-575,-100,-0.4,-0.4,25925,24475,Y,-10800,Y,0.15,-0.3,961300,-1925,-4300,-0.25,-0.35,33575,-16400,Y,25025,Y,-0.23
19-11-2024 13:30,15.95,25000,-75,-125,20.35,19.6,14950,-3050,YES,-4300,N,0.41,15.6,484925,75,-100,15.8,15.8,29000,24900,N,-22650,Y,0.26,-4,980050,500,-2375,-4.05,-4.1,40950,-60225,Y,43425,N,-0.27
19-11-2024 13:35,-3,19525,-200,-1500,-2.65,-3,15550,-1125,N,4775,N,0.33,-1.85,426600,25,575,-1.95,-1.8,29225,-21075,YES,17000,YES,0.23,0.6,716625,-1775,-2225,0.55,0.5,44925,66725,YES,-22200,YES,-0.19
19-11-2024 13:40,-15,15025,125,-250,-11.15,-12.75,11050,950,N,-725,Y,0.23,-7.95,352925,350,100,-7.4,-7.5,29850,-7500,N,20550,N,0.17,1.4,622775,1575,-425,1.3,1.3,38625,8675,N,54425,Y,-0.17
19-11-2024 13:45,5,9425,-100,0,4.75,2.8,11925,-2450,YES,525,N,0.14,3.15,292250,-500,1000,3.25,3.5,27050,300,N,12650,N,0.14,-0.6,480725,1500,-2500,-0.45,-0.45,39700,-825,Y,-6525,YES,-0.13
19-11-2024 13:50,6,15325,50,350,3.1,5.95,17225,-5825,YES,-800,Y,0.23,4.05,219250,-275,100,4.25,4.35,28125,-225,YES,-18125,Y,0.11,-1.55,482300,-1000,-1950,-1.5,-1.55,47550,-35475,Y,45850,Y,-0.12
19-11-2024 13:55,0,17350,175,-375,0.8,0,17125,3125,N,-1125,Y,0.29,0.8,348400,100,25,0.3,0.3,24600,14875,N,4900,YES,0.19,0.25,675050,-750,-875,0.35,0.35,35175,69775,YES,-21925,YES,-0.19
19-11-2024 14:00,-31.25,27125,-275,825,-27,-28.9,11775,-18350,YES,5275,N,0.36,-20.5,532200,-225,275,-20.4,-20.35,31300,-61075,YES,8200,N,0.22,6.05,1369475,-300,1125,6.05,6.1,43175,-1675,Y,-178875,YES,-0.31
19-11-2024 14:05,-28.1,98150,-50,-675,-31.1,-31,20950,12775,Y,2150,Y,0.54,-18.6,1061450,-25,-75,-18.4,-18.6,27825,8975,Y,18375,N,0.17,13.6,3985575,0,825,13.3,13.35,36100,-37800,Y,-197700,YES,-0.47
19-11-2024 14:10,-3.3,116700,0,-25,-9,-7.25,20750,-12450,YES,9450,N,0.08,-5.85,1125675,-225,-175,-6.25,-6.45,25075,8925,N,5850,N,0.04,3.9,5350950,25,-150,4.05,4.05,37275,-94475,Y,-155725,Y,-0.22
19-11-2024 14:15,26.85,49275,550,825,29.55,27.4,15525,12925,Y,9475,N,0.11,14.35,957075,425,-225,14.25,14.25,28200,19750,N,2075,Y,0.11,-10.1,3093150,250,150,-9.75,-9.8,33000,-115525,Y,45425,Y,-0.19
19-11-2024 14:20,-21,28950,-850,-575,-21,-24,12925,-8475,YES,1575,Y,0.07,-14.8,599525,25,-150,-15.3,-15.1,26800,-6000,YES,35175,YES,0.05,7.9,2068200,-275,-275,7.75,7.75,30700,103950,YES,23875,N,-0.12
19-11-2024 14:25,-21,95100,-75,325,-17.15,-17.5,21850,-7575,N,4125,N,-0.25,-11.15,969625,-75,-200,-11.4,-11.5,31100,-20600,YES,4150,N,-0.09,5.9,2897900,850,-50,6.1,6.15,30625,43025,N,-174650,YES,0.01
19-11-2024 14:30,-0.15,93425,0,225,-0.05,-3.45,20775,-4275,N,11075,N,-0.27,-1.3,970425,25,-175,-0.55,-0.5,27350,20550,Y,26100,YES,-0.07,1.3,3064800,1350,250,0.65,0.65,37075,-800,Y,48650,Y,-0.01
19-11-2024 14:35,5.1,43775,75,25,6.9,6.25,15175,2175,N,29350,N,-0.12,4.75,670775,25,175,5.05,4.85,26125,8350,N,-23900,Y,-0.06,-3.5,1958000,1975,-725,-3.25,-3.25,30475,-14075,Y,32950,N,0
19-11-2024 14:40,-4.95,65200,0,250,-7.2,-7.8,21150,-23825,YES,-1250,Y,-0.22,-6.55,690200,125,250,-4.95,-5.15,28275,7525,N,19300,YES,-0.07,2.2,1851050,-250,1375,1.2,1.3,33950,55375,YES,-57675,YES,0.02
19-11-2024 14:45,-3.85,83625,150,25,-3.5,-3.85,17525,7650,Y,2150,N,-0.05,-4.3,1192450,175,-25,-4.4,-4.5,28125,-37600,YES,8475,N,-0.09,0.95,2722225,1375,-200,0.85,0.85,36250,-143750,Y,-44550,N,-0.06
19-11-2024 14:50,-73.9,315200,-75,300,-74.3,-71.15,22675,-96650,YES,16875,N,-3.65,-37.4,2820200,50,25,-37.45,-37.4,28425,-62450,YES,36950,YES,-1.18,33.95,8082875,-975,-1225,33.15,33.25,32150,69075,YES,-554875,YES,1.28
19-11-2024 14:55,-49.75,342875,0,150,-52.8,-53,26375,-85450,N,9575,N,-7.22,-22.7,6173300,0,-200,-22.75,-22.7,30550,74975,Y,115325,YES,-3.83,33.55,12273825,50,-200,33.05,33.3,23875,3600,N,-152375,Y,4.19
19-11-2024 15:00,-37.35,530225,-25,-150,-31.2,-32.1,22575,45875,Y,26375,N,-15.38,-11.2,8336350,-525,250,-10.25,-10.25,32225,41050,N,60075,N,-6.07,27,9478375,300,250,24.65,24.9,26075,-192525,Y,-85350,Y,5.44
19-11-2024 15:05,-3.15,239675,-100,-350,-4.9,-6.85,19125,10475,N,-2200,Y,-5.95,3.15,4995725,-100,800,1.8,1.75,32525,60250,N,85425,YES,-3.14,-0.15,3644850,200,625,3.9,4,23825,6675,YES,36400,Y,1.91
19-11-2024 15:10,-49.65,294925,0,50,-49.3,-45.3,20050,-32800,YES,-40600,Y,-8.84,-13.7,4495000,975,25,-14.6,-14.65,32725,-11325,YES,91575,N,-3.1,32.3,3737350,100,150,35.3,35.45,23475,-13350,Y,-46025,YES,2.58
19-11-2024 15:15,18.35,249150,525,9725,15.3,15.55,20925,14000,Y,4050,YES,-7.24,3.8,3870900,950,-650,3.6,3.6,28775,49800,Y,-25675,Y,-2.53,-14.95,1957300,0,50,-13.55,-13.7,28250,-67525,Y,21425,Y,1.35
19-11-2024 15:20,0,135800,1375,375,1.85,0.05,24800,25600,N,-19050,Y,-3.49,-0.65,3088075,1325,-125,-1.05,-1,28575,-68625,YES,-27575,Y,-1.88,-5.15,1143400,-50,150,-3.7,-3.65,23225,-11550,YES,-4425,YES,0.7
19-11-2024 15:25,-27.6,279525,150,850,-27.65,-30.7,42500,-93150,YES,-64000,Y,-7.33,-5.4,3123450,8250,0,-5.6,-4.35,31525,-708450,YES,-234650,Y,-1.86,10.9,1016825,-650,1125,7.95,10.5,25275,-337875,Y,-127750,YES,0.66
