last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-11-2024 12:20,0.3,9650,-25,25,-6.35,-2.2,10550,46575,Y,9125,N,-0.18,-0.55,722325,-1625,5400,-0.4,-0.4,41700,32250,N,1325,N,-0.21,1.45,219650,-375,0,1.75,1.8,24850,2125,N,11075,N,0.34,-5,6240,0,45,0.2,-1.8,7935,-3090,N,1410,N,-0.9
12-11-2024 12:25,-26.6,28600,-175,0,-21.95,-23.2,14175,-10600,YES,4775,N,-0.79,-2.45,922100,-500,-450,-2.6,-2.6,42600,-49675,YES,60300,YES,-0.31,14.4,243425,-50,-25,14.1,14.1,25200,4200,N,-5025,YES,0.58,1.8,13020,-30,0,-12.05,-4.9,6765,-2460,N,1170,Y,-2.55
12-11-2024 12:30,4.25,28225,50,0,5,5,11600,13050,Y,-1275,Y,-0.8,0.15,691775,-2800,1400,0.2,0.2,30650,81450,Y,-41850,Y,-0.23,-4.85,245800,325,0,-4,-3.9,23200,-600,Y,575,N,0.6,-22.9,6390,-30,-15,-22.9,-30.2,5040,990,N,-3165,Y,-0.99
12-11-2024 12:35,-1.6,13425,-75,175,1.45,-1.6,13100,850,YES,14425,N,-0.34,-0.7,442000,1250,1450,-0.85,-0.8,31450,-66075,YES,-23625,N,-0.15,3.6,168425,25,100,3.45,3.25,23425,-2150,Y,2425,N,0.34,-34.2,12960,90,720,-34.2,-32.7,6870,-4230,YES,-585,N,-2.66
12-11-2024 12:40,-45.55,158300,75,-125,-51,-48.4,18225,-425,YES,-5325,Y,-6.81,-7.35,2579600,1275,1950,-7.5,-7.45,30700,-160550,YES,-24100,Y,-1.15,40.3,542750,100,50,41.4,41.6,21175,-4350,Y,-33625,YES,2.3,-159.5,128565,15,-675,-167.55,-160,10830,-10485,YES,5160,N,-39.72
12-11-2024 12:45,-60.9,197050,-175,0,-56.45,-58.2,17675,-77000,YES,-40775,Y,-10.41,-3,1973050,-625,800,-3.05,-3.05,28975,-84375,Y,-31350,Y,-0.93,50.25,540525,25,50,51.05,50.95,25850,-10950,Y,-69700,YES,3.25,-230.6,141885,0,-15,-230.65,-235.4,11355,-20520,YES,17340,N,-55.66
12-11-2024 12:50,21.95,132600,-25,-750,16.3,17.35,20925,17050,Y,20675,YES,-6.49,-0.2,1591350,25,1500,-0.1,-0.1,33950,1575,Y,7200,YES,-0.73,-12.4,475475,725,25,-12.6,-13.05,35200,-2350,N,23050,Y,2.84,92.65,95895,15,-30,91.95,82.85,11670,30315,Y,-3030,Y,-32.57
12-11-2024 12:55,1.05,129475,-150,75,-5.2,-4.7,16300,-6500,YES,-16400,Y,-6.54,-0.6,1172325,1150,-75,-0.6,-0.55,29675,32725,Y,22425,N,-0.54,3.85,242950,-175,-100,3.85,3.95,23650,-4425,Y,-3600,YES,1.62,-22.7,48015,-30,15,-19.75,-25,9015,-1515,YES,19605,YES,-14.96
12-11-2024 13:00,16,102350,-50,-50,22.4,18,18675,25875,Y,13900,YES,-3.84,1.15,1263800,-3325,300,1.45,1.4,30975,400,YES,-29925,Y,-0.52,-16.1,212100,-125,50,-17.1,-17.4,25400,-625,N,3100,N,1.15,65.45,41340,30,-105,60.1,70.4,9645,12960,N,4215,N,-10.35
12-11-2024 13:05,-16.4,33125,0,50,-15.85,-15.65,15400,20375,N,925,Y,-1.23,-2.4,822875,925,350,-2.4,-2.4,30825,10625,N,-12050,N,-0.35,9.7,111625,25,-50,8.65,8.65,25575,675,N,5950,N,0.61,-4.55,45270,0,-810,-2.65,-7.65,15375,5790,N,-2535,Y,-9.86
