last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
06-12-2024 11:30,8.4,26400,-50,2500,6.35,4.45,14875,11900,N,3950,N,-0.11,2.6,438825,325,-50,2.75,2.7,25475,13000,N,7450,N,-0.33,-4.65,330350,400,-25,-4.2,-4.15,26775,-525,N,3350,N,-0.25,16.65,9270,15,-60,35.9,23.1,6690,-285,3555,0.14
06-12-2024 11:35,2.55,30700,75,-2450,3,5.35,14875,2425,N,1300,Y,-0.04,-0.25,443600,-300,500,0.25,0.2,25825,4000,N,15975,N,-0.3,-1.05,247125,75,50,-1.75,-1.8,25550,-2450,Y,1950,N,-0.27,55.45,27015,-135,-45,54.85,59,8295,1290,60,1.15
06-12-2024 11:40,5,32475,225,300,5,3,15700,37750,Y,1250,Y,-0.1,0.65,250600,-350,375,1.05,1,23675,-2475,N,-750,Y,-0.17,-3.45,110300,-75,-825,-3.15,-3.15,20450,-14825,Y,2025,N,-0.11,-30.05,8865,-15,-15,-17.2,-17,8760,-7860,2520,0.4
06-12-2024 11:45,-18.1,20300,-325,-425,-22,-20.05,12125,-30525,N,4300,N,-0.09,-8.25,544725,325,125,-8,-8,28150,-20900,N,12300,N,-0.43,12.55,254675,-50,125,12.15,12.3,24075,28975,N,-12600,N,-0.15,-77.95,14310,0,585,-73.65,-85.5,7620,-2850,3750,0.19
06-12-2024 11:50,10.4,15750,0,25,8.25,11,14375,15625,Y,-175,Y,-0.1,3.35,327875,50,-300,3.25,3.1,27775,46750,Y,4625,N,-0.26,-4.3,136925,0,-75,-5,-4.75,20475,-5150,Y,1850,N,-0.07,57.6,8400,-195,-585,44.35,52.15,5925,5265,-1830,0.11
06-12-2024 11:55,29.7,36500,0,250,34.35,29.7,14175,5925,N,-450,Y,0.1,14.85,993775,1675,-700,15.05,15,24075,1100,N,-66950,Y,-0.48,-19.9,362700,75,125,-20.45,-20.3,23625,-17425,Y,14450,N,-0.57,110,25800,60,45,105.15,94.3,7800,-7320,-6375,1.62
06-12-2024 12:00,-0.35,21125,25,-400,-1.05,-0.35,11825,-4700,N,3350,N,0.12,-2.05,615775,-450,100,-2.1,-2.05,24575,-17075,YES,44850,YES,-0.21,4.55,237300,-350,-275,5.4,5.35,24025,4525,N,12675,N,-0.37,-32.45,12555,0,-15,-45.35,-42,6675,690,3105,0.78
06-12-2024 12:05,-18.7,12925,50,325,-17.35,-17.35,11050,3125,N,1925,Y,0.03,-6.15,495125,-675,1000,-6.45,-6.5,23225,-4375,N,9925,N,-0.25,6.4,207175,-25,100,6.3,6.45,25175,425,Y,-7050,N,-0.23,-76.05,11100,-105,-15,-63.15,-64.55,8340,-1440,3705,0.3
06-12-2024 12:10,10,12250,1300,-250,9,8.5,8950,-1575,N,-5425,Y,0.03,0.05,358875,2075,-375,0.3,0.3,23825,13350,N,12025,N,-0.17,-6.05,146975,-450,0,-6.45,-6.55,17775,-5525,Y,13225,Y,-0.2,57.9,9750,285,0,57.9,48.6,6300,2535,645,0.38
06-12-2024 12:15,-14,38075,25,-150,-14.8,-11.9,14300,-2425,N,2700,N,-0.05,-4.85,492250,-975,-200,-4.55,-4.6,21500,2625,N,125,Y,-0.3,4.3,194725,-375,125,4.45,4.6,16625,7300,N,9800,N,-0.23,-34,11250,-225,15,-34,-29.9,5715,-3135,4155,0.4
