last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
12-02-2024 11:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12-02-2024 11:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12-02-2024 11:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12-02-2024 11:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12-02-2024 11:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12-02-2024 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12-02-2024 12:05,20.05,4800,0,25,19,17.7,5725,21175,10400,0.07,3.35,764050,225,-100,3.1,3.05,21375,6450,-32300,0.1,-4.1,68550,175,-350,-4.65,-4.7,18225,2575,8675,-0.06,,,,,,,,,,
12-02-2024 12:10,-5.25,13925,50,75,-6.75,-5.55,9500,-2325,-375,0.24,-0.8,1046825,-50,-450,-0.45,-0.5,26650,-5575,-700,0.16,1.2,205350,200,-550,0.65,0.45,26700,7250,5150,-0.23,,,,,,,,,,
12-02-2024 12:15,13.05,13350,650,-175,14.7,12.1,11125,17950,8775,0.22,4.35,764050,550,1025,4.35,4.35,26925,22375,52125,0.12,-8.2,115825,-475,100,-7.65,-7.7,29000,600,9575,-0.14,,,,,,,,,,
12-02-2024 12:20,6.75,25650,-1250,0,6.75,4.95,10425,7250,5725,0.51,5.3,1391625,1500,-600,5,5,29350,12750,-114250,0.28,-3.6,212700,25,-225,-3.55,-3.55,28500,17075,15225,-0.32,,,,,,,,,,
12-02-2024 12:25,39.1,87400,25,-100,37.05,38.65,11350,16900,-19200,2.4,21.35,3532325,-325,725,19.75,19.75,33850,37850,-240750,1.16,-14.6,488925,-400,50,-14.25,-14,29650,-20650,9525,-1.04,,,,,,,,,,
12-02-2024 12:30,-8.1,73225,-75,-100,-6.6,-8.1,18450,6525,9800,2.08,-6.35,2811600,375,-75,-6.4,-6.4,27050,11525,104550,1,6.1,562175,-950,50,5.95,6.05,26825,27225,14300,-1.28,,,,,,,,,,
12-02-2024 12:35,-14.95,42525,725,-1075,-18.65,-15,13450,7425,-2025,1,-6.2,2064050,100,225,-6.3,-6.3,28925,-11550,86725,0.58,5.9,345075,25,-425,5.75,5.7,31125,-300,-5975,-0.55,,,,,,,,,,
12-02-2024 12:40,5,29025,-725,1300,5.25,5,12700,6625,9875,0.63,0.05,1678125,100,25,0.35,0.3,31075,30375,67325,0.4,0.3,258225,325,-125,1,0.9,26375,42775,2750,-0.37,,,,,,,,,,
12-02-2024 12:45,7.25,24800,0,1025,11.75,10,11575,-3225,325,0.57,6.9,1786800,-200,-250,6.9,6.8,32250,5650,-44125,0.51,-4.1,290275,-75,75,-4.7,-4.7,28100,-43375,5000,-0.45,,,,,,,,,,
12-02-2024 12:50,-5.85,22925,-75,150,-5.2,-8.45,13350,9775,12425,0.5,-2.85,1634325,275,-1200,-2.8,-2.9,32250,87850,64175,0.43,3.2,386300,25,250,2.65,2.7,30400,150,-25325,-0.52,,,,,,,,,,
