last_traded_time,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
13-12-2024 13:10,-24,-23.25,-24,18525,3625,N,1550,Y,2.72,-15.35,-16.75,-16.85,23550,29325,Y,-10700,Y,1.32,5.95,6.65,6.6,27800,30425,N,-57600,YES,-3.2,-49.55,28860,0,510,-38.55,-42.95,8760,12360,-2700,4.34
13-12-2024 13:15,-28.6,-24,-26.75,18900,50,YES,40700,YES,2.38,-20.85,-19.2,-19.55,24600,-54575,YES,40125,YES,1.28,14.25,13.15,13.25,28525,37800,N,-1525,Y,-3.23,-69,21375,-120,-405,-58.5,-62.4,8175,-15375,14595,3.07
13-12-2024 13:20,25.4,25.15,31.3,17050,-10625,YES,650,Y,2.63,16.15,16.45,16.45,20725,34200,Y,375,Y,1.46,-15.05,-15.15,-15.15,26125,-34025,Y,12175,N,-3.78,54,34950,-105,30,56.35,64.2,9315,-120,12315,4.14
13-12-2024 13:25,21.5,22,21.4,18975,-675,N,8650,N,1.62,13.45,13.05,12.95,22225,14375,N,-15100,Y,1.38,-9.3,-8.3,-8.3,29750,22075,YES,58100,Y,-2.61,16,27195,-195,30,11.45,6.7,8955,-1485,-1155,3.89
13-12-2024 13:30,3,2.1,2,19800,-7950,YES,-23100,Y,1.74,-2.75,-4.1,-4.1,29400,18125,N,18525,YES,1.25,-3.5,-2.85,-2.9,33100,-51150,Y,20125,N,-2.68,2,13890,45,15,4,2,7230,13680,-2745,1.88
13-12-2024 13:35,24.05,28.5,25.75,32275,13350,Y,-124200,Y,6.88,20.15,19.7,19.85,24350,-16575,YES,-71550,Y,1.9,-10.75,-10.7,-10.75,34225,36025,YES,88425,Y,-2.87,126.3,79620,-60,-1290,122.75,121,12495,690,-46110,13.6
13-12-2024 13:40,20,19,20,17450,17600,N,-7750,YES,5.5,12.15,12.1,12.4,24750,-39550,YES,-76000,Y,1.96,-6.7,-6.3,-6.3,29950,-28775,Y,34425,N,-3.32,2.7,35835,0,-570,-0.1,1.95,8610,1185,-2895,6.32
13-12-2024 13:45,14.65,12.75,8.25,26000,16700,N,41575,YES,4.43,9.35,8.55,8.5,26325,5600,Y,8150,YES,1.15,-5.1,-4.55,-4.65,29150,-27875,N,8575,N,-2.03,27.95,46215,-15,-15,28.05,26.65,10575,6180,-195,8.55
13-12-2024 13:50,-15.95,-15.55,-15.95,25075,-41650,YES,50,Y,4.78,-14.75,-13.7,-13.75,26150,-43650,YES,-40750,Y,1.12,2.25,2.2,2.25,28100,34950,YES,-8600,YES,-2.35,-26.7,26340,-60,0,-28.2,-28.55,8595,30,5400,4.78
13-12-2024 13:55,19.35,18.1,16.35,21725,24775,Y,-4475,Y,2.36,8.85,8.9,8.85,26175,6500,Y,10425,YES,0.72,-7.3,-7.55,-7.7,30775,-35675,Y,45075,Y,-2.12,22.25,19965,15,105,18.55,21.9,7740,1320,-1215,3.28
13-12-2024 14:00,-4.95,-5,-2.65,19400,-2950,YES,16775,YES,2.99,-4,-3.75,-3.6,28350,-6500,YES,-2050,Y,0.97,1.3,0.9,0.95,31400,49600,YES,4125,N,-2.16,-36.75,11055,15,0,-30.5,-32.8,8595,-6300,22290,1.91
13-12-2024 14:05,12,14.65,14.9,20550,8025,N,-5700,Y,1.55,9.5,9.1,8.85,27475,1825,N,7075,N,0.58,-6.5,-6.55,-6.6,30825,78000,YES,57050,Y,-1.72,29.3,20970,-75,0,29.45,20,6570,360,-8505,3.24
13-12-2024 14:10,-13.6,-13.3,-14.65,19450,1350,YES,10250,N,1.63,-18.45,-16.65,-16.85,28075,1725,YES,8300,N,0.47,4.25,3.9,3.9,28300,24800,N,100,YES,-1.36,-31.65,12360,180,75,-35.85,-24.75,7050,-2385,5625,2.02
13-12-2024 14:15,23.9,20.1,22.7,20350,1125,YES,-2275,Y,2.03,20.65,18.85,19.1,26650,-4000,YES,-16725,Y,0.57,-11.05,-10,-10.1,36200,-17275,Y,9925,N,-1.8,79.65,25065,90,-45,84.95,79.65,8715,450,-18165,4.29
13-12-2024 14:20,-3.45,-1.35,-0.2,15400,13225,N,-17925,Y,1.46,-3.75,-3.6,-3.95,25000,14350,N,16200,YES,0.46,-0.45,-0.55,-0.65,30125,-9425,N,42150,Y,-1.4,2.2,32715,-60,510,2.2,6.65,7515,-525,-11130,5.86
13-12-2024 14:25,15.2,9.4,13.4,16225,5350,N,-18675,Y,3.18,4.2,4.9,4.7,32125,-1425,YES,-32100,Y,0.95,-3.5,-3.55,-3.55,40000,-25450,Y,66550,Y,-2.13,16.9,32565,-240,-825,23.7,29.8,9255,-1005,8310,5.98
13-12-2024 14:30,-3.75,-4,-4.25,16800,5575,N,2650,YES,1.57,-4.65,-3.65,-3.7,24675,-2325,YES,20025,YES,0.68,3,2.4,2.4,34475,41575,YES,1600,YES,-1.72,39.9,32400,630,-15,28.9,23.65,8565,-1440,1365,6.05
13-12-2024 14:35,-17.35,-22.7,-21.05,19050,1400,YES,1050,Y,1.66,-17,-16.8,-16.75,26050,-34100,YES,-25,Y,0.47,6.35,6.15,6.2,27100,59700,N,-98225,YES,-1.87,-48.4,16845,30,0,-48.4,-43.6,9015,-17595,-7155,3.04
13-12-2024 14:40,9.2,14.9,12.1,18150,19925,N,-3850,Y,1.94,6.5,7.75,7.6,27975,20600,Y,-1350,Y,0.42,-6.1,-6.45,-6.45,32425,-11575,Y,75825,Y,-1.75,34.2,20025,-15,-105,35.4,34.1,7455,-12645,-4125,3.29
13-12-2024 14:45,-22,-16.7,-21.25,14000,550,YES,3325,N,1.12,-13.95,-14.55,-14.6,21150,-3575,YES,8775,N,0.35,6.55,6.45,6.4,28125,-2375,N,350,YES,-1.24,-46.05,14970,60,0,-52,-46.9,7980,90,3210,2.48
13-12-2024 14:50,14.85,13.85,11.5,13675,-4150,YES,-3200,Y,1,8.05,7.85,7.85,29600,18875,Y,-10475,Y,0.36,-7.5,-7.3,-7.3,31025,315225,YES,42425,Y,-1.38,15.55,14280,0,-105,12.65,7.9,6510,2985,375,2.28
13-12-2024 14:55,9.6,9.6,10,16025,11200,N,-1625,N,1.38,3.8,4.55,4.5,28400,-20500,YES,875,N,0.34,-3.4,-3.35,-3.4,32375,7425,N,-32200,YES,-1.24,35.35,14625,-360,120,35.35,36.8,7335,4200,-2715,2.52
13-12-2024 15:00,-1.75,-5.05,-2.25,22200,20200,N,-2425,Y,1.53,-5,-5.15,-5.1,27375,-13050,N,5375,N,0.33,-3.15,-3.1,-3.05,26275,-25575,Y,-11000,Y,-1.23,21.15,34740,-15,360,25.55,30.2,7575,6225,-180,6.25
13-12-2024 15:05,43.4,41.8,37.6,21775,-42775,YES,-23100,Y,5.32,26.1,24.85,25,22450,-2575,N,-43150,Y,0.68,-15.1,-14.65,-14.65,30475,-177325,Y,-67200,YES,-3.44,84.45,83925,-105,-450,84.55,73.95,11430,5325,-14355,16.01
13-12-2024 15:10,-1.3,-1.4,-1.1,19550,-1750,Y,10125,YES,4.03,-1.5,-1,-1.1,26400,-33875,YES,1325,YES,0.4,1.25,1,1.05,32600,4750,YES,-43000,Y,-1.38,-9.25,53340,-4515,15,-5,-5.3,9915,-3780,16020,10.07
13-12-2024 15:15,-0.95,-5.05,-3.8,20375,-28475,YES,-18150,Y,4.3,-5.6,-5.4,-5.45,27275,-5925,Y,10900,N,0.46,1.75,1.7,1.75,27225,-6225,Y,2000,Y,-1.49,-31.1,57075,30,-315,-39.35,-36.1,10860,-8925,-4965,9.91
13-12-2024 15:20,24.8,26.1,24.05,23550,-6600,Y,-72025,Y,6.56,16.1,16.05,16.5,26150,-28500,YES,-65675,Y,0.42,-10.9,-11.3,-11.3,27350,-46950,Y,-69875,YES,-2.23,41.1,61320,0,0,45.4,45.2,12960,-9315,-8790,10.71
13-12-2024 15:25,10.15,10.2,11.15,27900,-83150,YES,-59650,N,7.77,9.5,8.5,11.2,28250,-32925,YES,-45450,YES,0.49,-3.35,-3.65,-2.8,32225,-36175,N,-79925,YES,-2.15,0.7,77700,-105,195,14.9,20.05,12045,-18915,-23730,13.46
