last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
06-01-2025 12:20,12,86100,-25,-50,12.4,17.75,18550,11225,N,-1950,Y,-1.94,3.25,1100925,-750,3825,3.25,3.3,49875,45300,Y,-9900,Y,-0.43,-10.8,72900,-375,-225,-12.6,-12.85,38175,-6825,Y,7800,N,0.53,37.95,18465,-15,0,43,39,10035,4380,N,4380,N,-5.36
06-01-2025 12:25,-31,107850,-175,-1075,-30,-29.9,17925,25925,N,2175,N,-2.66,-6.4,1174875,450,-750,-6.25,-6.25,58650,-78600,YES,60375,YES,-0.48,30.9,73725,75,225,28.05,28.45,45225,-1425,N,-8475,YES,0.58,-80.95,10935,30,0,-68.8,-70.6,6525,-9480,YES,1965,Y,-3.38
06-01-2025 12:30,39.45,177425,-175,-225,34.2,36.75,17600,21025,N,66100,YES,-4.2,4.95,1104750,-150,-1275,4.85,4.85,53100,90000,Y,-28950,Y,-0.45,-30.3,62325,300,0,-31.3,-31.55,37800,2850,N,17475,Y,0.49,36.1,16275,-60,-60,20.05,31.65,7260,3795,N,-6000,Y,-5.25
06-01-2025 12:35,34.6,108400,225,-50,38.5,36.4,21675,-43250,YES,-4625,Y,-1.78,6.35,1751400,750,450,6.6,6.65,49875,9900,N,-75825,Y,-0.57,-33.75,90450,-150,150,-33.9,-34.05,43425,2175,Y,18000,N,0.58,93.65,10800,15,-60,98.7,90.4,7890,16800,N,-1500,N,-2.97
06-01-2025 12:40,-11.85,134750,150,-100,-14,-13.15,15300,15150,Y,-28100,Y,-1.83,-1.7,1275600,450,3825,-2.15,-2.15,43425,18750,N,76200,YES,-0.4,5.45,99375,225,-450,3.5,3.55,42600,-7125,Y,375,YES,0.59,2.9,13575,-15,-75,-10,-0.5,7515,4275,N,-9525,Y,-3.32
06-01-2025 12:45,9.45,72725,1050,-25,9.3,9.45,14325,5850,N,-12975,N,-1.12,2.45,1174125,-300,225,2.2,2.2,59700,15150,N,-7200,Y,-0.37,-2.95,49575,-75,-300,-2.9,-3.55,39900,-1725,N,4725,N,0.32,-2.8,7080,0,165,-2.9,-5.4,6165,-2220,YES,4035,N,-1.75
06-01-2025 12:50,-21.4,104800,-25,50,-20.55,-20.9,15050,-5125,YES,4250,N,-1.7,-2.95,869325,-375,-975,-2.45,-2.5,59475,-1050,YES,38100,YES,-0.27,22.5,45675,-825,0,19.85,19.9,36900,2925,N,-13500,YES,0.31,-75.4,13170,75,105,-76,-68.5,6870,-8790,YES,-435,Y,-3.72
06-01-2025 12:55,46.9,133775,0,-375,46,45.7,11325,4650,N,-18700,Y,-1.96,7.2,966975,300,-1575,7.35,7.35,25425,-1500,YES,-131775,Y,-0.27,-41.4,54300,0,-75,-39.55,-39.55,13950,-7950,Y,15450,Y,0.34,77.05,10725,15,0,82.6,80.5,2115,3975,N,-2820,Y,-3.01
06-01-2025 13:00,-29.9,70500,-675,-175,-30.1,-29.9,15650,10500,N,-1475,N,-0.79,-3.7,1385175,-1350,-1050,-3.05,-3.1,51675,23250,Y,45600,YES,-0.36,35.4,50625,375,0,34.55,33.85,32850,18600,YES,-5925,YES,0.31,-13.65,16665,30,-45,-14.15,-22.2,9375,5115,N,-9825,Y,-4.3
06-01-2025 13:05,-11.65,33050,-175,-25,-9.6,-7.35,12525,-30925,YES,4650,N,-0.49,-0.75,580350,1575,1500,-1,-1.05,43050,4950,N,4200,N,-0.16,5.4,32625,-450,-75,7.55,7.4,28575,3000,N,-5625,N,0.21,-18,3405,-15,0,-9.55,-9.9,4830,915,YES,-27195,Y,-0.89
