last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
27-01-2025 12:45,6.05,81200,-50,-25,0.1,4.1,15775,31350,Y,-22725,Y,-1.25,22871.4,22877.45,22877.45,22845,1.45,951250,550,50,1.4,1.45,30150,35225,Y,17550,N,-0.48,-1.85,275950,50,150,-1.05,-1,22375,-3100,N,3750,N,0.75,39.25,23790,90,15,35.85,39.15,9300,3330,N,-4485,Y,1.21
27-01-2025 12:50,-15.45,36875,25,125,-12.25,-14.05,14525,-13975,YES,5300,YES,-0.42,22877.45,22862,22888.1,22862,-3.85,611800,-325,-900,-3.3,-3.35,31825,-3450,YES,65125,YES,-0.27,10.5,118475,0,50,10.15,10.1,18825,7800,N,-6625,YES,0.26,-38,14355,0,0,-37.8,-31,6885,7200,N,1800,N,1.17
27-01-2025 12:55,8.55,36550,-100,-100,7.95,8.3,12600,-4925,N,-2900,Y,-0.52,22862.75,22871.3,22877.55,22851.7,1.05,647025,525,300,1.3,1.35,30150,2050,N,4575,N,-0.33,-7.2,162300,75,250,-8,-7.75,25350,-11275,Y,7700,N,0.45,15.95,9780,75,0,11.1,9,7245,7530,N,19410,N,0.48
27-01-2025 13:00,0.45,27675,300,0,-2.05,-0.6,10975,4400,N,10175,N,-0.34,22870.95,22871.4,22884,22861,-1.05,403000,50,875,-2,-2.05,23075,-9075,YES,36550,YES,-0.2,-3.15,102775,225,-150,-0.85,-0.8,22100,175,N,6875,N,0.22,-5.85,7995,-90,0,-2.15,-9.45,7290,2700,YES,-10200,Y,0.51
27-01-2025 13:05,22.65,33825,-75,0,24.2,23.35,17650,5950,N,-24150,Y,-0.33,22871.3,22893.95,22893.95,22862.75,3.95,547875,1050,125,3.7,3.6,28050,31275,Y,-10850,Y,-0.25,-19.4,110550,-50,400,-18.9,-18.95,25900,-6000,Y,8350,N,0.18,77.1,10200,45,-105,74.8,62.8,6975,1020,YES,-30,N,0.9
27-01-2025 13:10,0.5,32775,-150,50,-1.6,-3.9,15150,-4700,YES,1700,YES,-0.33,22889.75,22890.25,22893.05,22865.05,0.2,553100,-300,-350,0.1,0.1,22400,-2250,YES,1850,N,-0.27,-0.15,80825,-50,-50,0.4,0.5,24525,825,N,-3475,YES,0.14,14.95,12540,60,-45,-3.5,5.5,7860,3840,N,1065,N,1.28
27-01-2025 13:15,-9.9,35675,0,0,-9.55,-11.15,13925,-3500,N,57025,YES,-0.28,22891.25,22881.35,22897,22875.05,-3.95,475300,0,850,-3.85,-3.8,23475,700,N,39400,YES,-0.21,9,64300,-475,475,10.3,10.2,16200,11950,N,1700,N,0.08,-9.05,13485,-45,45,-7.7,-11.9,8655,-26070,YES,15675,N,1.57
27-01-2025 13:20,-5.95,26625,-25,-100,-4.95,-10,16150,10500,N,5700,N,-0.28,22877.95,22872,22888.95,22866.05,-0.6,419475,300,225,-0.9,-0.9,26675,24375,Y,25300,N,-0.2,5.8,152200,-50,0,5.15,5.1,23375,6450,N,-550,YES,0.27,-22.75,7710,-60,195,-19.05,-26.55,6735,-6630,N,5115,N,0.78
27-01-2025 13:25,-19.85,62350,50,-25,-20.05,-17.45,15825,10600,N,-48775,Y,-0.98,22871.05,22851.2,22874.7,22845,-4.05,889700,-1625,-400,-4.5,-4.6,27125,-47725,YES,6550,N,-0.48,15.7,168325,-550,100,15.3,14.95,24325,2125,Y,16825,N,0.43,-51.4,16980,-15,-210,-57.1,-52.95,6405,-7365,YES,2685,Y,0.67
27-01-2025 13:30,20,35525,200,25,22.95,22.15,14400,37375,Y,8250,YES,-0.43,22852.95,22872.95,22878.55,22850,3.5,545975,400,1975,3.65,3.7,28950,11125,Y,-5375,Y,-0.27,-16.95,181675,25,0,-17.75,-17.85,21775,-4550,Y,8200,N,0.38,42.05,10575,15,180,47.35,47.95,5205,-8955,YES,21240,N,0.86
