last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-01-2025 11:30,24185,51225,25,-100,12325,29175,Y,2375,Y,0.24,24197.85,24185,24210,24172.85,-5,2067975,1725,-225,-4.85,-4.95,42900,11925,Y,54600,N,-0.13,6.5,730575,-375,1200,6.55,6.65,51000,-11775,Y,1950,YES,-0.44,-33.95,15855,-75,105,-36,-51.85,10305,-5250,YES,3180,N,-0.58
03-01-2025 11:35,24199.1,42975,25,-25,12600,5325,N,-52400,Y,0.36,24183.5,24199.1,24214.55,24180.9,4.25,2199000,975,-975,4.15,4.2,43650,46650,Y,76950,YES,0.03,-10.35,486825,450,-75,-9.35,-9.35,42750,18900,YES,1425,YES,-0.4,21.05,7860,-75,0,34,26.85,6840,1050,N,-8295,Y,-0.1
03-01-2025 11:40,24221.5,51775,275,0,13500,-3850,YES,36625,YES,0.57,24199.1,24221.5,24224.7,24198.2,5.1,1569750,150,0,4.9,5,35850,66525,N,-11550,Y,0.07,-11.75,452925,75,-150,-11.05,-11.25,35850,-9525,Y,18900,N,-0.47,46,5730,-120,-15,48.1,42.05,5790,-14535,YES,8775,N,0.04
03-01-2025 11:45,24214.45,38850,-75,-650,15775,5800,N,9100,N,0.37,24221.5,24214.45,24222,24200,-3.7,1346400,300,-150,-5.15,-5.1,35925,-94575,YES,73875,YES,-0.01,3.3,475725,0,-300,6.25,6.25,39375,8250,N,375,YES,-0.46,-55,9765,60,15,-55.6,-55,6165,765,N,1305,Y,-0.02
03-01-2025 11:50,24222.2,56950,-50,-250,12300,1375,YES,39150,YES,0.53,24215,24222.2,24223,24200.95,3,1295775,-225,-450,3.1,3.3,39900,52275,Y,-3300,Y,0.02,-6.4,473400,-150,-225,-6.45,-6.4,40500,-4275,Y,14325,N,-0.48,49.9,5220,15,-15,49.6,40.55,5940,1515,N,13335,N,0.01
03-01-2025 11:55,24234.8,64025,-75,50,16825,-6400,YES,7675,N,0.86,24223,24234.8,24234.8,24212.35,2.3,1882725,-375,-225,2.4,2.4,38775,9675,N,-61725,Y,0.14,-6.65,619950,0,300,-6.4,-6.65,41925,2550,N,11625,N,-0.77,12.6,18375,15,-90,8.35,20,8580,1110,YES,8760,N,1.02
03-01-2025 12:00,24229,47650,175,-75,13900,6250,N,36750,YES,0.69,24231.45,24229,24239.9,24223,-1.7,1402425,150,375,-1.55,-1.5,38250,-42075,YES,-16650,YES,0.12,1.85,445125,-375,675,2.7,2.8,41025,30075,YES,4500,N,-0.58,-35.8,12585,-15,30,-20.6,-30.05,6795,990,YES,7200,N,0.76
03-01-2025 12:05,24191.9,59200,-225,-100,15625,4075,N,-1550,Y,0.38,24229,24191.9,24232,24187.2,-14.55,2319900,-1500,0,-14.55,-14.5,40650,-91875,YES,91125,YES,-0.16,28.45,1077975,75,-825,27.9,27.85,38400,-8250,Y,-60375,YES,-0.76,-70,13260,225,-15,-70,-67.6,6975,855,YES,990,Y,-0.38
03-01-2025 12:10,24212,28200,375,-25,14625,20325,N,-6750,Y,0.18,24191.6,24212,24218,24185.65,5.25,1190625,-375,75,4.65,4.55,40350,38475,Y,15675,N,-0.08,-14.05,697200,-150,75,-14.6,-14.6,44850,4650,N,33000,Y,-0.44,20,6870,690,0,20,20.85,6195,1395,N,6675,N,-0.29
03-01-2025 12:15,24172.65,53650,0,-150,14650,11400,N,525,N,-0.01,24210.2,24172.65,24210.2,24167.1,-13.55,2325825,150,0,-13.7,-13.7,42900,-25125,YES,24300,N,-0.44,23.5,1230375,-300,225,23.15,23.35,41925,-13575,Y,-31950,YES,-0.38,-65.1,18975,-105,0,-71.4,-64.6,7440,-2460,YES,-2490,Y,-1.78
03-01-2025 12:20,24160.5,52975,-75,100,14175,-4425,YES,14175,N,-0.19,24172.65,24160.5,24182.7,24154,-7.55,1430625,1200,-975,-8.15,-8.15,44475,-36000,YES,30600,N,-0.4,10.35,764625,150,525,10.1,10.5,40275,6300,N,-18975,N,0.01,-31.5,10350,45,-15,-35.85,-37.8,6120,-3435,YES,1095,N,-1.23
03-01-2025 12:25,24146,51500,800,-75,15475,-16050,YES,175,Y,-0.29,24161.3,24146,24175,24143.7,-5.05,1604250,-150,-300,-4.9,-4.95,47475,-64950,YES,56850,YES,-0.51,8.65,640875,-150,-75,8.55,8.55,42075,19500,N,-7200,N,0.07,-50.3,20670,-15,150,-40,-46.65,6645,-3345,N,555,Y,-3.21
03-01-2025 12:30,24163.2,37000,-75,-50,13425,18175,Y,2675,N,-0.24,24144.9,24163.2,24163.25,24141.05,4.5,1172250,-600,-1650,4.8,4.7,41775,120900,Y,5850,N,-0.4,-12.25,438450,-300,-75,-12.7,-12.8,36375,-35850,Y,22425,Y,0.11,24.75,20940,-615,-75,33.15,26.3,8400,13230,N,870,N,-3.56
03-01-2025 12:35,24158.95,28750,-125,-25,13275,7350,N,10300,N,-0.19,24163.2,24158.95,24163.2,24140,-0.15,1072950,-150,675,0.25,0.25,46050,-9225,YES,21225,N,-0.35,3.35,392775,-75,75,2.95,2.95,38700,-2925,YES,-3750,YES,0.09,-17.1,10905,0,15,-13.15,-20.95,6690,10680,N,-8340,Y,-1.76
03-01-2025 12:40,24170,27150,0,-25,10850,6025,N,7775,N,-0.06,24157.65,24170,24180,24148.85,3.85,1330200,600,-1425,4.4,4.4,38400,47625,Y,4275,N,-0.33,-11.8,403875,0,150,-12.1,-12.15,42675,-16425,Y,9300,N,-0.04,13.7,8595,-60,-15,29.1,27.8,6120,13095,N,3285,N,-1.16
03-01-2025 12:45,24175,29275,-125,300,13200,2200,YES,-7175,Y,-0.02,24172,24175,24185.95,24165.95,1.5,1295250,-75,150,1.35,1.25,42825,24825,N,21150,N,-0.3,-4.45,505875,0,-300,-4,-4,37875,-6675,N,7350,N,-0.1,18.9,9210,-30,-60,17.55,13.15,5985,-1545,YES,165,Y,-1.08
03-01-2025 12:50,24159.8,18775,0,1550,10725,-5050,YES,-2075,N,-0.05,24175,24159.8,24179.9,24155.1,-5.35,781500,-1725,1425,-5.6,-5.6,40575,6825,N,67500,YES,-0.2,14.05,317400,-75,75,14.2,14.3,39450,17100,YES,-10350,YES,0,-19.4,3810,0,0,-19.4,-25.5,4695,-7785,YES,-225,Y,-0.53
03-01-2025 12:55,24175.75,23375,-50,-25,16025,19850,Y,-5875,Y,-0.05,24157.7,24175.75,24181.45,24154.6,4.45,1087275,1575,-525,4.6,4.65,46800,12150,N,-23025,Y,-0.26,-11.25,343575,-225,750,-11.85,-11.9,37275,-15600,Y,8700,N,-0.03,62.8,13080,30,-105,68,65.45,7425,-765,N,-795,Y,-1.06
03-01-2025 13:00,24207.9,50600,-25,0,14725,5675,N,-25050,Y,0.18,24175.75,24207.9,24209.95,24172.15,11.15,1857000,-375,-300,10.8,10.8,44475,39450,Y,-138975,Y,-0.29,-22.6,406500,750,75,-21.65,-21.5,40275,2400,N,21225,N,-0.18,62.95,16080,60,30,61,60.15,8385,-1695,YES,945,N,-0.71
03-01-2025 13:05,24199.15,34275,50,-250,12500,10400,N,13575,YES,0.23,24207.9,24199.15,24221.9,24195,-0.65,1535100,-75,-1050,-0.8,-0.8,42300,5025,N,83250,YES,-0.15,5.45,369450,-150,150,5.1,4.95,38925,17250,N,18000,N,-0.23,-30.9,10095,90,-15,-35.65,-30.6,6375,-4020,YES,11700,N,-0.25
03-01-2025 13:10,24195,17575,-250,0,12100,775,YES,23925,N,0.07,24200.1,24195,24204,24181.7,-2.95,1360500,-450,225,-2.35,-2.45,40500,-53400,YES,7875,N,-0.18,2.85,406950,-150,-75,2.75,2.75,36225,-5475,Y,-24600,YES,-0.21,-43.4,8730,-105,0,-39.8,-38.35,8415,-5730,YES,5220,N,-0.43
03-01-2025 13:15,24199,16825,150,0,10625,13325,N,-5025,Y,0.05,24195,24199,24202.5,24176.6,1.5,1005975,-5625,-150,1.3,1.35,43875,-31050,Y,-6600,Y,-0.15,-0.35,341025,-150,150,-0.6,-0.6,35250,-10800,Y,4650,Y,-0.12,9,9210,-210,-90,9.1,1.95,5745,4305,N,1425,Y,-0.96
03-01-2025 13:20,24206.3,14950,75,-50,15525,11350,N,-7650,Y,0.09,24202,24206.3,24210,24196,3.3,1129725,-2100,150,2.2,2.05,39450,18675,Y,-17925,Y,-0.1,-9.7,299700,-300,75,-8.85,-9.1,34650,9675,YES,22650,N,-0.18,21,6300,90,225,23.15,17.3,5640,-660,YES,-2235,Y,-0.38
03-01-2025 13:25,24200,16175,225,0,12075,-6975,YES,9325,N,0.1,24206.05,24200,24210,24197.85,-6.8,819300,0,300,-5.75,-5.7,43050,-45150,YES,56250,YES,-0.08,7.35,292725,825,0,6.1,6.1,40650,11925,N,-6975,YES,-0.19,-25,3795,-90,135,-16.15,-16.95,4755,-1635,YES,4500,N,-0.23
03-01-2025 13:30,24194,14500,350,250,11100,8650,N,250,Y,0.07,24195.3,24194,24209.65,24190,-2.1,1152450,-375,150,-1.7,-1.75,41850,42225,Y,23550,N,-0.14,5.35,343950,225,-75,5.2,5,38325,-2925,Y,7050,N,-0.18,-39.15,4950,0,0,-24.1,-19.8,4755,-1035,N,-1470,Y,-0.39
03-01-2025 13:35,24178,15425,-350,-25,12400,-2425,YES,2275,N,0.01,24190,24178,24192.5,24175,-2.4,988950,1425,225,-1.85,-1.7,45000,5400,N,13950,N,-0.18,7.55,415050,150,-150,7.45,7.4,34425,-4800,Y,-1800,YES,-0.1,-17,7620,-15,60,-20.7,-27.15,5970,690,N,21645,YES,-0.92
03-01-2025 13:40,24184.95,10150,100,-50,10775,3375,N,4400,N,0.02,24178,24184.95,24195,24175.85,0.6,754050,-750,150,0.65,0.65,39675,29925,Y,-5175,Y,-0.12,-0.85,321300,0,675,-1.25,-1.45,37575,-3525,N,7500,N,-0.09,10.4,6810,-15,45,9.55,8.7,7230,585,YES,-3705,Y,-0.75
03-01-2025 13:45,24169,33900,450,1475,12650,6950,N,-13300,Y,-0.07,24179.25,24169,24183.85,24160.05,-3.05,1166400,-225,450,-3.3,-3.3,39900,-17550,YES,22500,YES,-0.24,4.6,510300,300,75,5.25,5.3,39300,-9075,Y,-18450,YES,-0.05,-15.45,11970,0,-105,-11.3,-15.95,5040,-885,YES,-2370,N,-1.61
03-01-2025 13:50,24166.4,44950,-275,-25,14175,5450,N,-14350,Y,-0.14,24170.9,24166.4,24174.95,24156.4,-2.85,717000,1275,0,-2.6,-2.6,48075,9300,Y,21675,N,-0.16,4.75,302400,-225,-150,3.55,3.45,43425,-1200,N,10725,Y,-0.01,-34.95,12735,60,-15,-32.85,-37,8505,-1680,YES,2175,N,-1.75
