last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
13-01-2025 12:10,28.5,8550,-15,0,22.2,16.35,4875,-1680,YES,-1995,Y,-0.42,13-01-2025 12:10,1.65,210525,-150,0,-1.35,-1.55,37950,5400,N,5175,N,0.27
13-01-2025 12:15,-34.85,8250,75,105,-33,-28.7,6540,13965,N,-3150,Y,-0.5,13-01-2025 12:15,12.8,261150,0,-75,12.45,12.5,38400,-1425,Y,3900,N,0.52
13-01-2025 12:20,37,9270,-60,-105,41.85,41.2,6525,-120,YES,-600,N,-0.28,13-01-2025 12:20,-16.5,171525,-75,0,-16.85,-16.8,33600,-11925,Y,5775,N,0.24
13-01-2025 12:25,20,5370,-15,-15,7.85,17.85,5115,-21645,YES,3735,N,-0.19,13-01-2025 12:25,-10.8,102975,900,0,-10.45,-10.35,33750,8400,YES,19425,N,0.1
13-01-2025 12:30,-12.05,10785,15,45,-4.7,-11.85,6360,-9225,N,1560,Y,-0.39,13-01-2025 12:30,6.3,121200,-75,-750,4.6,4.55,30675,-8400,Y,-2475,YES,0.09
13-01-2025 12:35,53.7,6135,105,-30,40.15,45.8,4650,-3735,N,2160,N,-0.17,13-01-2025 12:35,-11.1,182550,-375,0,-10.2,-10.2,37125,-12000,Y,-3225,YES,0.17
13-01-2025 12:40,-74.4,5910,-105,-15,-60.65,-74.75,6090,-855,N,12165,N,-0.2,13-01-2025 12:40,11.5,79650,-75,0,10.7,10.45,33675,21900,YES,-22500,YES,0.04
13-01-2025 12:45,-1.05,7335,120,15,-2.6,3.55,5100,-1305,YES,-3045,Y,-0.46,13-01-2025 12:45,1.9,66000,0,75,2.2,2.15,31125,-6225,Y,6300,Y,0.07
13-01-2025 12:50,-0.8,6015,-60,-60,-5.3,-9.5,5565,-1860,YES,-555,N,-0.31,13-01-2025 12:50,-0.45,114825,150,-300,-0.6,-0.5,36075,4725,N,3375,N,0.14
13-01-2025 12:55,-88.45,18900,-30,105,-83.6,-84.7,5955,-9495,YES,2085,N,-2.05,13-01-2025 12:55,32,307875,-75,675,31.1,31.3,34875,-7950,Y,-15000,YES,0.71
13-01-2025 13:00,1.55,8070,-15,0,8.35,1.05,6030,9720,N,-690,Y,-0.87,13-01-2025 13:00,-0.15,294675,0,-1125,-0.35,0.15,43125,-9225,Y,-32700,YES,0.74
13-01-2025 13:05,-8.5,14595,0,0,-4,1.35,7245,1920,YES,-270,N,-1.59,13-01-2025 13:05,2.5,229275,0,750,1.55,1.4,57300,-2025,N,300,Y,0.58
13-01-2025 13:10,7.5,12225,-60,0,6.75,5.7,5790,3615,N,480,N,-1.53,13-01-2025 13:10,4.25,227100,0,75,5.3,5.05,39600,-3900,Y,-26175,YES,0.69
13-01-2025 13:15,-17.1,7920,-225,60,-24,-23.6,7485,-17115,YES,2160,N,-0.97,13-01-2025 13:15,6,115125,0,0,5.65,5.6,34650,375,N,12000,Y,0.36
13-01-2025 13:20,-1.9,9270,90,0,1.05,-1,7590,-1920,N,-2865,Y,-1.09,13-01-2025 13:20,-4.25,179400,-75,0,-5.75,-5.8,43650,-1500,Y,750,YES,0.47
