last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
23-04-2025 10:55,33.4,29.2,28.3,-1050,-744.4,36600,3375,Y,5775,N,-5.65,24130.8,24163.8,2.75,2.8,2.8,211950,-24.75,73425,223950,Y,-393825,Y,-0.75,-24.35,-22.45,-22.7,-26025,-245.35,36300,-30075,Y,21075,Y,1.19
23-04-2025 11:00,12.8,13.8,12.5,-273150,-788.4,33825,21825,N,-14250,Y,-2.46,24160,24173.9,2.3,2.35,2.4,-582675,-30.6,73875,-42450,YES,75375,YES,-0.61,-14.95,-14.35,-14.35,-8100,-194.1,34950,21975,YES,13425,N,0.71
23-04-2025 11:05,21.1,17.5,20.5,46875,-833.2,25575,20100,N,3975,N,-1.46,24173.9,24195,2.25,2.15,2.15,-807825,-33.2,79350,1800,Y,-56025,Y,-0.37,-16.2,-16.2,-16.25,17325,-211.55,42375,-60900,Y,15225,N,0.54
23-04-2025 11:10,7.5,4.2,3.7,-285675,-865.3,27000,-6000,YES,-5175,Y,-0.99,24190.5,24198,-0.25,-0.25,-0.25,-467400,-32.35,73875,68925,Y,-84075,Y,-0.29,-5.7,-6.1,-6.1,26775,-181.75,39525,4200,YES,9525,N,0.4
23-04-2025 11:15,27.9,26.6,26.7,84900,-864.6,27675,-2325,N,13950,N,-0.64,24199,24226.9,4.4,4.3,4.25,-293175,-32.95,70050,168300,Y,-106125,Y,-0.38,-23.75,-23.5,-23.6,-6825,-171,34725,-2325,Y,825,YES,0.5
23-04-2025 11:20,-38.1,-38,-41.9,-12450,-962.5,24600,-41475,YES,-11925,Y,-0.62,24220.3,24182.2,-6.25,-6.2,-6.15,126525,-33.15,70500,-236475,YES,92850,YES,-0.29,31.35,32.05,32.2,-1350,-170.4,32250,9225,N,-20625,YES,0.54
23-04-2025 11:25,14.5,11.2,12.1,4800,-898.8,24975,29775,Y,13800,YES,-0.9,24185,24200,1.35,1.45,1.4,96975,-32.3,78525,141900,Y,90750,N,-0.25,-11.55,-11.8,-11.9,-24675,-175.85,33975,6000,N,23250,Y,0.49
23-04-2025 11:30,18.1,18.8,18.2,-29400,-728.3,24000,-12900,YES,14025,N,-0.57,24200,24216.8,2,2,1.95,91125,-33.4,74025,127275,N,24675,N,-0.18,-12.15,-12,-12,-5250,-173.7,31950,4575,N,3450,N,0.24
23-04-2025 11:35,-7.4,-7,-8.3,-53625,-865.7,21825,57600,Y,2850,Y,-1.21,24216.8,24205,-2,-2.1,-2.1,-492000,-31.25,78225,-100125,YES,171075,YES,-0.2,8.3,7.55,7.55,0,-175.75,34200,10050,N,-11475,YES,0.27
23-04-2025 11:40,46.9,49.8,48.2,-53325,-939.1,26775,-22050,YES,-6525,Y,-0.58,24205,24251.9,7.9,8.05,8,-122475,-32,72600,-109350,YES,-325800,Y,-0.25,-42.8,-41.55,-41.8,-6225,-176.25,38100,-56325,Y,13950,Y,0.28
23-04-2025 11:45,9,10,8.4,-19425,-742.9,28650,-15000,N,3225,N,0.2,24251.3,24260,-0.35,-0.3,-0.25,-30600,-35.45,66375,68925,Y,154575,YES,-0.2,-6.6,-6.95,-6.9,3450,-142.8,39075,214350,YES,22875,N,0.12
23-04-2025 11:50,-18.2,-16.4,-17,-106200,-550.3,30900,37800,Y,-5175,Y,-0.06,24260.2,24242,-3.3,-3.25,-3.3,99750,-34.1,69000,-83100,YES,43725,N,-0.26,8.9,8.8,8.8,-7050,-144.65,34725,-153150,Y,3375,N,0.22
23-04-2025 11:55,-13,-12.5,-12.6,-299850,-582.3,24900,9750,N,-9675,Y,-0.15,24242,24229,-3.9,-3.7,-3.7,-287475,-32,65550,87975,Y,138300,YES,-0.16,11.3,11.85,11.95,-11700,-140.05,34650,13650,YES,-8625,YES,0.18
23-04-2025 12:00,13,14,15.2,-118725,-461.8,25125,-1725,YES,4575,N,-0.29,24229,24242,2.25,2.2,2.25,-212925,-32.75,72150,65475,N,3150,N,-0.13,-11.8,-11.7,-11.75,-17850,-139.95,37200,-18600,Y,13575,Y,0.16
23-04-2025 12:05,-28.8,-26.8,-28.3,-16725,-491.5,24150,28650,Y,-1050,Y,-0.29,24242,24213.2,-4.9,-4.7,-4.75,-23550,-31.35,66075,-28650,YES,72975,YES,-0.18,22.35,22.7,22.6,-4950,-143.95,32925,24975,YES,-46275,YES,0.29
23-04-2025 12:10,17.3,18.9,20.1,-86325,-566.3,23175,35625,N,-6525,Y,-0.39,24213.3,24232.1,2.15,2.2,2.15,8175,-30.9,75075,-69225,YES,-45825,Y,-0.14,-17.8,-17.5,-17.7,3975,-168.7,35250,-47775,Y,8250,Y,0.29
23-04-2025 12:15,-7.9,-11.3,-9.4,41775,-648,24975,-5250,YES,-9225,Y,-1.2,24232,24220.1,-2.2,-2.1,-2.05,-195150,-27.5,68175,26250,Y,31275,YES,-0.14,11.6,11.4,11.45,-6375,-152.65,33825,-2850,YES,750,YES,0.19
23-04-2025 12:20,3.4,3.4,1.1,47850,-952.1,28800,-2025,N,5175,N,-0.34,24220.1,24221.2,0.15,0.15,0.1,133200,-28.75,69300,-170175,YES,219825,YES,-0.09,-0.8,-0.85,-0.7,11700,-144.45,35850,17475,YES,12375,N,0.11
23-04-2025 12:25,-12.3,-9.5,-12.3,6225,-838,21075,-15900,YES,-825,Y,-0.24,24227.3,24216.6,-1.9,-2,-1.95,-654075,-29.05,79875,-4950,Y,64275,N,-0.12,7.25,9.2,9.2,-3975,-147.5,32175,-5025,Y,-16500,YES,0.14
23-04-2025 12:30,12.4,16.4,17.1,51675,-873.3,24900,16650,Y,14175,N,-0.36,24216.6,24228,2.95,2.75,2.8,854925,-30.55,78975,72300,Y,-57450,Y,-0.14,-13.7,-11.8,-11.95,-10050,-161.75,38850,9975,N,11400,Y,0.15
23-04-2025 12:35,-10.3,-9.8,-9.3,17025,-673.2,22275,-5625,YES,3150,N,-0.3,24228,24217.7,-2.65,-2.6,-2.6,-268125,-30.75,81975,1725,YES,-9150,YES,-0.11,8.15,8.25,8.4,6525,-149.5,33975,-375,Y,1800,YES,0.11
23-04-2025 12:40,20.5,21,19.9,15450,-617,22350,-14550,YES,-10500,Y,-0.24,24216.9,24237.4,4.4,4.3,4.25,128100,-28.4,87750,66075,Y,-152775,Y,-0.15,-17.55,-17.2,-17.3,7875,-153.75,37800,-15525,Y,750,YES,0.17
23-04-2025 12:45,2.3,4.5,3.9,3075,-588.5,21225,-16425,YES,3600,N,-0.03,24237.4,24240,-0.95,-0.9,-0.95,-216000,-31.2,71400,-101100,YES,83550,YES,-0.15,-1.35,-1.75,-1.75,23925,-139.3,38700,17175,YES,12600,N,0.07
23-04-2025 12:50,5,4.4,5.7,-33600,-672.6,21825,13650,Y,-1050,Y,-0.03,24240,24244.6,0.35,0.2,0.2,-225975,-30.5,79950,115875,Y,-46575,Y,-0.09,-5.5,-5.45,-5.5,12000,-133.1,40800,-6000,Y,36450,Y,0.07
23-04-2025 12:55,10.4,8.4,10.2,-13425,-585.7,23925,-40050,YES,2925,N,0.07,24244.6,24250,2.1,2.3,2.3,-97050,-31.2,80700,-64050,YES,-19650,YES,-0.12,-5.6,-5.65,-5.65,29250,-134.6,45975,15975,YES,3000,N,0.02
23-04-2025 13:00,26.2,22.3,20,-57075,-808.8,22650,5400,Y,-6375,Y,0.31,24248.8,24271,5,4.95,5,-58650,-33.95,69375,183300,Y,-281700,Y,-0.15,-17.1,-17.1,-16.95,6675,-130.15,42150,-19275,Y,23100,Y,-0.05
23-04-2025 13:05,-15.6,-14.7,-17.8,-144150,-747.8,23400,-26475,YES,-675,N,0.26,24271,24257.2,-4.9,-4.9,-4.85,-174525,-33.95,84825,-157500,YES,134550,YES,-0.14,10.2,10.3,10.3,15750,-122.45,35925,17325,YES,-300,YES,-0.07
23-04-2025 13:10,-7.2,-9.5,-6.9,-19500,-773.8,21525,8475,Y,-7500,Y,0.07,24257.2,24250,-1.7,-1.75,-1.8,-507075,-32.75,76650,23475,Y,104400,N,-0.16,7.45,8.35,8.35,450,-135.7,33825,-4575,Y,-11250,YES,0.05
