last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
09-05-2025 11:10,23.4,35925,141,18.8,18.9,30375,-1401.5,31800,13275,N,36675,YES,24109.22,24050,24073.4,24077.9,24040.2,09-05-2025 11:10,7.3,1802400,325,7.8,7.85,-45825,-219.25,54975,51975,Y,-2250,Y,237.05,244.35,247.85,230.25,275.27,09-05-2025 11:10,-13.6,2821650,331,-13.85,-14.15,-16575,-240.05,54750,-79500,Y,115575,Y,256.05,242.45,261,239.15,249.94
09-05-2025 11:15,-3.4,104550,143,1.1,-1.6,302025,-1264.5,43425,-1950,YES,4725,N,24108.61,24073.4,24070,24084.2,24059.4,09-05-2025 11:15,-0.85,1540500,360,-1.45,-1.15,-7575,-245.3,55950,-34650,YES,24675,YES,244.35,243.5,248.4,239,274.25,09-05-2025 11:15,0.05,1926450,360,0.5999999999999943,0.4000000000000057,-100050,-231.85,58950,38400,YES,1350,YES,242.45,242.5,247.8,237.95,249.79
09-05-2025 11:20,17.8,97575,152,15,15.6,88125,-1178.5,43275,19725,Y,1500,Y,24108.16,24070,24087.8,24093,24058,09-05-2025 11:20,3.75,1728600,360,3.5,3.55,-29475,-231.45,58200,25425,Y,-6525,Y,243.7,247.45,252,236.45,273.22,09-05-2025 11:20,-7.3,2304600,360,-7.2,-7.05,-23625,-237.35,54000,-67875,Y,58650,Y,241.7,234.4,249,230.65,249.51
09-05-2025 11:25,67.2,225525,191,67.9,65.6,115050,-1229.3,48600,101025,Y,-144825,Y,24108.84,24087.8,24155,24155,24085,09-05-2025 11:25,56,3839775,360,55.55,55.65,-132525,-282.9,56475,6000,N,-324000,Y,248.2,304.2,304.2,246.4,272.98,09-05-2025 11:25,-23.1,3416400,360,-23.35,-23.5,-30975,-228.7,55575,-189675,Y,36675,N,234.15,211.05,236.55,208.8,248.46
09-05-2025 11:30,2.3,325500,264,2.2,6.7,-526125,-1868.6,52050,-56400,YES,-34125,YES,24111.34,24155.2,24157.5,24187,24140,09-05-2025 11:30,5.05,3404550,360,6.25,6.15,65025,-349.3,58575,-46725,YES,-7050,YES,303.7,308.75,329.25,291.35,275.33,09-05-2025 11:30,2.049999999999983,3584550,360,1.950000000000017,1.9000000000000057,-131400,-226.6,61725,127650,YES,137625,Y,211.05,213.1,216.65,203.6,247.08
09-05-2025 11:35,-9.9,71775,216,-9.6,-13,28350,-1624.1,45975,93825,Y,-95625,Y,24111.68,24156.9,24147,24160.2,24129,09-05-2025 11:35,-10.65,1350525,360,-10.9,-10.6,-18750,-311.35,59325,-2625,Y,-7650,Y,308,297.35,310.35,286.2,275.85,09-05-2025 11:35,1.1500000000000057,2481000,360,0.4000000000000057,0.4000000000000057,-36900,-225.35,63375,-225,Y,96825,N,212.75,213.9,220.5,210.7,246.33
09-05-2025 11:40,-26.9,54525,184,-26.9,-24.5,-46650,-1538.5,45900,-22800,YES,-131700,Y,24111.87,24147,24120.1,24154,24120.1,09-05-2025 11:40,-22.1,984000,354,-21.4,-21.4,74925,-294.4,53175,-40800,YES,32025,YES,297.3,275.2,299,275.2,276.04,09-05-2025 11:40,5.849999999999994,1514025,356,5.199999999999989,5.5,-92550,-229.7,55725,32775,YES,21225,N,213.25,219.1,219.1,209.3,245.87
09-05-2025 11:45,-44,135150,278,-45.7,-42.9,20325,-1797.9,55425,-1125,Y,3900,YES,24111.51,24122.9,24078.9,24130,24068,09-05-2025 11:45,-29.4,1828050,360,-29.05,-29.1,18150,-277.7,56175,11325,Y,53850,YES,275.7,246.3,279.45,240.6,275.41,09-05-2025 11:45,19.200000000000017,4117050,359,18.19999999999999,18.19999999999999,-95775,-249.15,57675,39600,N,-211050,YES,218.1,237.3,241.95,216,245.26
09-05-2025 11:50,24.4,49950,192,15.9,19.3,-110175,-1635.3,43575,-120375,YES,15375,N,24111.38,24073.9,24098.3,24108,24073.9,09-05-2025 11:50,10.7,1700775,353,10.8,10.75,-56700,-288.15,58500,52425,Y,32925,N,247,257.7,265,245.15,274.87,09-05-2025 11:50,-6.7,2418150,355,-6.3,-6.3,-20775,-260.05,66750,-40425,Y,130425,Y,237.3,230.6,240,223.6,244.96
09-05-2025 11:55,20.8,45075,138,18.5,17.2,-27450,-1670.8,42450,65850,Y,35925,YES,24111.39,24098.3,24119.1,24125,24095.9,09-05-2025 11:55,10.9,1285875,332,11.25,11.1,-18900,-287.4,55725,-11775,YES,-17775,Y,258.5,269.4,275.9,258,274.75,09-05-2025 11:55,-5.4,1685475,333,-5.3,-5.25,20700,-219.6,66075,17025,YES,46950,N,230.1,224.7,231.1,217.2,244.63
09-05-2025 12:00,-27.2,28050,117,-25.4,-27.1,-86475,-1569.7,39450,-300,YES,2250,Y,24111.34,24109.2,24082,24120,24082,09-05-2025 12:00,-14.85,1082625,343,-15.15,-15.15,-17925,-257.25,53925,-225,N,8475,YES,269.45,254.6,273.5,251.1,274.52,09-05-2025 12:00,11.699999999999989,1886775,344,11.800000000000011,12.150000000000006,-32025,-213.65,64950,52575,YES,-107925,YES,225.15,236.85,239.25,222.25,244.43
09-05-2025 12:05,11,41325,138,16.8,12.9,3825,-1587.3,39675,-5775,YES,20475,N,24111.24,24089,24100,24105.8,24081,09-05-2025 12:05,7.35,874500,345,8.45,8.4,-825,-254.7,54150,45300,Y,-6375,Y,254.8,262.15,263.25,250.55,274.29,09-05-2025 12:05,-7.15,1802400,349,-7.55,-7.75,-29325,-230.65,63150,-55200,Y,40500,Y,236.65,229.5,241,228.1,244.29
