last_traded_time,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_2,open_2,close_2,high,low,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_3,open_3,close_3,high,low,ltp_4,bid_price_4,ask_price_4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_4,open_4,close_4,high_4,low_4,final_signal,result,datetime,open,high,low,close,non_zero_vol,non_zero_vol,non_zero_vol
17-04-2025 09:40,47.6,150150,84525,47.1,47.6,212850,-5550,YES,19950,N,23373.14,23368,23415.6,23427,23366.1,23.6,667650,575700,23.5,23.45,40705425,-736950,YES,-1432350,Y,29.66,28,51.6,60.25,26.4,-29.35,267525,234000,-28.9,-28.95,14631900,2265075,YES,281475,N,96.4,97.65,68.3,101.85,65.35,82.6,98,96.4,41520,750,N,-90,N,53209.39,53242.4,53325,53348,53217.8,SELL,reverse,17-04-2025 09:40,23345,23403.25,23343.5,23397.65,180,180,180
17-04-2025 09:45,30.9,154425,207825,27.8,29.5,319200,53025,Y,225,Y,23385.86,23413.1,23444,23449.9,23413.1,17.4,363900,290625,17.5,17.55,27865575,-153075,Y,-205800,YES,35.28,51.65,69.05,73.95,51.65,-15.65,476325,395625,-15.25,-15.25,18279375,457800,N,485775,Y,87.66,67.95,52.3,68.25,50.05,124.4,115.6,106.2,46410,20010,N,-1230,N,53238.21,53325.6,53450,53451,53325.6,BUY,reverse,17-04-2025 09:45,23397.1,23432.05,23394.6,23422.3,178,180,180
17-04-2025 09:50,-10,128700,84825,-10.7,-11,96075,-15450,YES,36375,YES,23388.66,23444,23434,23449.6,23422.1,-17.65,380550,358800,-17.7,-17.65,18755550,44175,Y,500100,YES,37.57,68.15,50.5,72.7,49.4,-4.6,794700,474300,-4.9,-4.9,16361850,172350,N,656775,Y,81.54,52.2,47.6,55.55,45,-5,2.4,5,31410,-1830,N,15630,N,53256.88,53450,53445,53470,53402,no signal,reverse,17-04-2025 09:50,23423.9,23434.6,23412.5,23421,159,179,179
17-04-2025 09:55,-5.6,103425,77475,-6.6,-8.5,109125,10725,Y,375,Y,23390.78,23430.1,23424.5,23440,23417.4,-9.4,432750,439350,-9.9,-9.9,19422225,381975,Y,320700,N,38.15,50.4,41,51.65,35.25,-3.05,546375,462675,-2.3,-2.35,17719575,220800,YES,494100,N,76.39,47.2,44.15,54.1,42.1,-19.6,-19.8,-8.8,17160,4980,N,-1980,N,53264.69,53440,53420.4,53451.8,53401.2,BUY,reverse,17-04-2025 09:55,23418.75,23427.3,23405.15,23413.1,153,175,180
17-04-2025 10:00,-12.9,195525,66375,-10.6,-13.5,94125,47550,Y,-20325,Y,23391.94,23422.6,23409.7,23431.1,23403,-5.6,572025,657750,-4.8,-4.85,21847575,391275,N,211050,N,38,41.8,36.2,45.75,31.1,8.95,514725,501825,8.05,8.05,21927150,543975,YES,-521325,YES,72.11,43.2,52.15,58.95,40.2,-19.6,-10.6,-19.6,18240,-12360,N,22530,N,53272.04,53420.4,53400.8,53466.2,53385.2,no signal,win,17-04-2025 10:00,23413.05,23417.35,23390.15,23399.4,151,180,180
17-04-2025 10:05,-41.7,180525,62850,-38,-35.7,128475,-31275,YES,-2025,N,23392.09,23409.7,23368,23416.4,23367.2,-16.85,779325,826950,-15.65,-15.7,24659100,-864825,YES,619050,YES,37.12,36.15,19.3,40.95,19.3,28.6,351525,513375,26.95,27,23490900,-39075,Y,-1281300,YES,70.89,52.65,81.25,82.15,50.9,-70.8,-71.4,-81,21600,-22470,N,-12540,N,53277.49,53400.8,53330,53425.2,53330,SELL,exc_loss,17-04-2025 10:05,23400.1,23405.6,23355.15,23358.05,152,179,178
17-04-2025 10:10,2,82125,69375,2.5,4.9,82650,51900,Y,-19275,Y,23391.06,23368.5,23370.5,23378.8,23355,7.3,1502850,1526025,6.85,6.85,21683550,1143900,Y,104475,N,35.94,19.05,26.35,27.4,17.95,6.9,256500,212625,7.45,7.3,16247325,-534225,Y,93075,Y,72.7,83.55,90.45,97,83.15,-1.6,15,11.8,19230,4590,N,17070,N,53280.13,53351.8,53350.2,53363,53310,BUY,win,17-04-2025 10:10,23356,23358.15,23341.05,23353.4,159,180,180
17-04-2025 10:15,7.1,100050,76650,4.9,2.6,66975,225,YES,7500,YES,23390.76,23370.5,23377.6,23397,23365,3.85,1319625,1216875,4.35,4.4,22941375,-444825,YES,-202875,Y,35.53,25.95,29.8,37.25,23.25,-2.9,271575,334275,-3.45,-3.45,8977800,-164475,YES,-115950,YES,73.25,91.35,88.45,95.2,73,19.8,20.2,15.6,12300,-3630,N,-8430,N,53282.92,53350.2,53370,53409.4,53344.6,SELL,exc_loss,17-04-2025 10:15,23352.75,23377.2,23347.7,23359.75,153,180,180
17-04-2025 10:20,16.8,78675,69750,15,13.9,49800,-10950,YES,36000,YES,23390.52,23382.2,23399,23399,23360.2,13.4,853725,765900,13.55,13.6,20435925,364725,Y,-630150,Y,35.43,29.35,42.75,43.55,26.45,-11.75,314400,365550,-10.65,-10.65,10469625,-53625,YES,64650,Y,74.2,87.55,75.8,105.25,75.8,29,19.6,20.4,11130,-4560,N,-12030,N,53284.7,53370,53399,53400,53320,no signal,win,17-04-2025 10:20,23359.8,23382.3,23342.3,23382.3,129,180,180
17-04-2025 10:25,14.1,75525,69900,15.8,15.1,64200,24825,Y,2325,Y,23391.11,23399,23413.1,23423,23399,10.1,395025,380175,8.6,8.65,23688300,-321600,YES,-357000,YES,36.47,42.25,52.35,55.7,41.9,-11.7,280275,359025,-11.45,-11.4,10402575,246675,YES,276000,Y,73.9,76,64.3,76.7,61.1,1,7.6,0,11580,-8460,N,6300,N,53287.91,53399,53400,53429.2,53388.8,no signal,exc_loss,17-04-2025 10:25,23382.95,23406.05,23382.95,23391.7,140,180,180
