last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-03-27 12:25:00,0.39999999999999947,3132600.0,183,10650600,11173800,0.5,0.5,-523200,-20.350000000000364,126150,59550.0,YES,-10425.0,YES,7.2,7.6,8.15,7.1,27.02
2025-03-27 12:30:00,1.799999999999999,8509950.0,180,8777325,9106875,1.9000000000000004,1.9000000000000004,-329550,-22.149999999999636,126525,116925.0,YES,-203625.0,YES,7.65,9.45,10.4,7.65,26.61
2025-03-27 12:35:00,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,Y,0.0,Y,0.0,0.0,,,0.0
2025-03-27 12:40:00,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,N,0.0,N,0.0,0.0,,,0.0
2025-03-27 12:45:00,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,N,0.0,N,0.0,0.0,,,0.0
2025-03-27 12:50:00,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,N,0.0,N,0.0,0.0,,,0.0
2025-03-27 12:55:00,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,N,0.0,N,0.0,0.0,,,0.0
2025-03-27 13:00:00,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,N,0.0,N,0.0,0.0,,,0.0
2025-03-27 13:05:00,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,N,0.0,N,0.0,0.0,,,0.0
2025-03-27 13:10:00,0.6000000000000005,3173175.0,169,13923675,15435675,0.75,0.75,-1512000,-17.550000000000182,120600,279000.0,YES,-328425.0,YES,5.35,5.95,6.2,4.9,24.75
2025-03-27 13:15:00,0.34999999999999964,7968075.0,183,13004400,13946850,0.34999999999999964,0.34999999999999964,-942450,-20.84999999999991,118800,-108150.0,Y,59025.0,Y,5.95,6.3,7.4,5.7,24.4
2025-03-27 13:20:00,-1.1499999999999995,4720800.0,182,14447625,15022125,-1.0999999999999996,-1.0999999999999996,-574500,-20.050000000000182,135225,-214650.0,Y,239700.0,Y,6.35,5.2,6.65,5.15,24.19
2025-03-27 13:25:00,-1.0499999999999998,7173675.0,181,28437825,28522725,-1.1000000000000005,-1.0999999999999996,-84900,-19.34999999999968,142725,133275.0,YES,564900.0,Y,5.2,4.15,5.55,4.1,23.87
2025-03-27 13:30:00,-0.14999999999999947,8113950.0,181,38618925,39610275,-0.19999999999999973,-0.19999999999999973,-991350,-19.549999999999955,140550,484500.0,YES,-815100.0,YES,4.1,3.95,4.45,3.7,23.49
2025-03-27 13:35:00,-0.10000000000000009,5215125.0,180,39091050,32998350,-0.10000000000000009,-0.10000000000000009,6092700,-19.59999999999991,134250,-442800.0,Y,395925.0,Y,3.9,3.8,4.45,3.7,23.26
2025-03-27 13:40:00,-0.25,3747675.0,183,41895525,35210625,-0.19999999999999973,-0.20000000000000018,6684900,-19.549999999999955,121575,-24900.0,YES,140175.0,N,3.85,3.6,4.05,3.6,23.1
2025-03-27 13:45:00,-0.3500000000000001,5098500.0,183,47091300,39925800,-0.3500000000000001,-0.3500000000000001,7165500,-18.549999999999955,108150,15750.0,YES,-72600.0,YES,3.65,3.3,3.65,3.15,22.87
2025-03-27 13:50:00,-0.44999999999999973,5114850.0,183,48441975,43580100,-0.3999999999999999,-0.3999999999999999,4861875,-18.200000000000045,101250,2083950.0,YES,-62550.0,N,3.3,2.85,3.35,2.8,22.65
2025-03-27 13:55:00,0.19999999999999973,4480050.0,181,42879375,39413850,0.25,0.25,3465525,-18.700000000000273,125550,-13275.0,Y,-398625.0,YES,2.85,3.05,3.45,2.75,22.46
