last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
04-04-2025 10:55,-19.4,350100,174,138750,97350,-20.75,-20.6,41400,-198.3,38700,-23925,Y,17475,N,280.95,261.55,287.15,261.05,242.66,04-04-2025 10:55,5.55,1834425,180,589575,676800,5.1,5.05,-87225,-49.45,47250,62925,Y,-194700,Y,51.85,57.4,57.4,50.15,78.12
04-04-2025 11:00,-2.65,468975,180,155100,97125,-2.35,-2.35,57975,-193.35,39600,17250,YES,-8625,YES,261.4,258.75,267.7,251,242.91,04-04-2025 11:00,0.1,3080100,181,521400,684600,-0.2,-0.2,-163200,-55.1,52650,-121125,YES,60225,YES,57.4,57.5,61.05,55.45,77.28
04-04-2025 11:05,-16,686625,180,95925,84600,-15.9,-15.85,11325,-196.85,33675,-19575,Y,-12525,YES,258.4,242.4,277.3,235.9,243.23,04-04-2025 11:05,6.15,3843750,180,523950,633000,6.2,6.25,-109050,-53.1,49725,16950,Y,-238350,Y,57.75,63.9,65.95,50.15,76.33
04-04-2025 11:10,-1.1,433725,180,93675,77025,1.05,1.05,16650,-183.7,37125,22950,YES,26475,Y,244.1,243,251.05,235.75,243.23,04-04-2025 11:10,-1.2,2417550,180,438150,478575,-2.25,-2.25,-40425,-53.65,44400,91950,Y,162075,YES,63.2,62,67.4,58.2,75.89
04-04-2025 11:15,21.6,466725,180,79350,84900,23.4,23.3,-5550,-184,34350,675,Y,-28275,YES,242.65,264.25,267.5,242.65,243.41,04-04-2025 11:15,-9.2,1831950,180,486000,431625,-9.2,-9.2,54375,-50.65,37200,-88125,YES,34725,N,61.95,52.75,61.95,51.8,75.45
04-04-2025 11:20,10.75,367725,177,97125,79200,9.95,9.95,17925,-197.25,38100,2625,N,-12900,N,264.2,274.95,275,253.45,243.63,04-04-2025 11:20,-2.7,1758600,180,596700,527250,-2.5,-2.5,69450,-51.7,43650,-66675,Y,41550,N,52.45,49.75,57.45,49.75,74.99
04-04-2025 11:25,-21.85,303300,178,91425,80475,-22.05,-22.15,10950,-198.7,39750,-18150,Y,31800,Y,274.65,252.8,276.65,249.6,243.83,04-04-2025 11:25,6.45,1593675,181,538575,600075,6.4,6.4,-61500,-50.8,45225,127350,Y,-17400,Y,49.9,56.35,57.4,49.2,74.57
04-04-2025 11:30,-0.95,345225,174,126375,82425,-3,-3.05,43950,-170.15,39675,11100,YES,-2775,YES,252,251.05,257,238.25,243.86,04-04-2025 11:30,0.15,2038200,179,564525,520500,-0.35,-0.3,44025,-51.35,47700,-33525,YES,2100,N,56.5,56.65,61.35,55.15,74.18
04-04-2025 11:35,38.85,613425,181,82500,127650,40.6,40.55,-45150,-206.3,39525,5100,N,-41775,YES,251.5,290.35,292,250.8,244.4,04-04-2025 11:35,-11.95,2924850,178,632250,595575,-11.65,-11.7,36675,-46.85,46875,24075,Y,160125,YES,56.35,44.4,56.35,44.4,73.35
04-04-2025 11:40,-5.9,272625,177,76350,102900,-5.45,-5.35,-26550,-215.7,36375,2175,Y,18975,Y,289.6,283.7,292.1,278.4,244.75,04-04-2025 11:40,0.35,1605600,181,843600,764700,0.2,0.15,78900,-43.2,43650,65775,Y,79650,N,44.35,44.7,46.5,43.75,72.84
