last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-03-07 13:20:00,0.5999999999999943,-0.19999999999998863,-0.30000000000001137,22275,-92.60000000000582,45000,57225.0,YES,25425.0,N,-0.060000000000002274
2025-03-07 13:25:00,-3.799999999999983,-3.549999999999983,-3.5,-56100,-101.00000000000728,43800,-2175.0,Y,51150.0,Y,-0.060000000000002274
2025-03-07 13:30:00,1.6500000000000057,1.3999999999999773,1.5,78300,-106.15000000000873,42750,24900.0,YES,8325.0,N,-0.05000000000001137
2025-03-07 13:35:00,-3.9000000000000057,-3.6500000000000057,-3.75,25125,-111.74999999999272,48150,29700.0,N,6300.0,N,-0.09000000000000341
2025-03-07 13:40:00,0.549999999999983,0.8499999999999943,0.8499999999999943,48825,-105.44999999999709,50625,-24225.0,Y,-26700.0,YES,-0.07999999999998408
2025-03-07 13:45:00,2.8999999999999773,1.0999999999999943,1.1500000000000057,-74700,-99.50000000000728,44775,26175.0,YES,11925.0,Y,-0.060000000000002274
2025-03-07 13:50:00,15.949999999999989,15.700000000000017,15.800000000000011,-13500,-117.45000000000437,44475,-26700.0,Y,-84975.0,YES,0.1799999999999784
2025-03-07 13:55:00,3.6500000000000057,2.6500000000000057,2.5999999999999943,-450,-128.64999999997963,43950,-46500.0,Y,-28800.0,Y,0.27000000000001023
2025-03-07 14:00:00,-6.699999999999989,-7.0,-7.099999999999994,-20550,-106.40000000000873,44775,14625.0,YES,22200.0,Y,0.06999999999999318
2025-03-07 14:05:00,-2.700000000000017,-2.8000000000000114,-2.75,16575,-107.5,40275,-675.0,Y,19575.0,N,0.030000000000001137
2025-03-07 14:10:00,-5.549999999999983,-5.849999999999994,-5.900000000000006,-5025,-107.90000000000873,41850,-17850.0,Y,7350.0,N,0.020000000000010232
2025-03-07 14:15:00,-5.900000000000006,-5.299999999999983,-5.349999999999994,-9075,-99.05000000000291,42675,90750.0,YES,62550.0,Y,-0.060000000000002274
2025-03-07 14:20:00,-0.44999999999998863,0.05000000000001137,0.0,31425,-98.54999999999563,44250,-22500.0,Y,31200.0,N,-0.09000000000000341
2025-03-07 14:25:00,-4.199999999999989,-4.150000000000006,-4.25,20325,-97.29999999998836,46950,-38325.0,Y,58125.0,Y,-0.12000000000000455
2025-03-07 14:30:00,-9.199999999999989,-9.449999999999989,-9.5,24600,-96.80000000000291,48075,-85950.0,Y,-17250.0,YES,-0.25
2025-03-07 14:35:00,2.5500000000000114,3.25,3.25,-33975,-88.94999999999709,48150,109125.0,YES,60825.0,Y,-0.3599999999999852
2025-03-07 14:40:00,-3.049999999999983,-2.6499999999999773,-2.5999999999999943,86250,-90.40000000000146,43425,557175.0,YES,46350.0,N,-0.21999999999999886
2025-03-07 14:45:00,-3.4499999999999886,-3.700000000000017,-3.549999999999983,-70575,-86.09999999999854,46425,41175.0,N,21375.0,N,-0.45999999999997954
2025-03-07 14:50:00,3.3000000000000114,3.450000000000003,3.4499999999999886,-16275,-97.75000000001455,49725,-26850.0,Y,25275.0,N,-0.29000000000002046
2025-03-07 14:55:00,-6.150000000000006,-6.150000000000006,-6.200000000000017,-48450,-92.75,44100,-58200.0,Y,25875.0,N,-0.4099999999999966
2025-03-07 15:00:00,14.349999999999994,13.950000000000017,13.950000000000003,-55275,-97.80000000000291,46200,559650.0,YES,-172725.0,YES,-0.5
2025-03-07 15:05:00,-1.049999999999983,-1.5999999999999943,-1.5500000000000114,-81075,-107.94999999999709,47925,-49125.0,Y,27000.0,Y,-0.21000000000000796
2025-03-07 15:10:00,7.5,7.150000000000006,7.0,-234150,-105.55000000001019,47700,-7950.0,YES,-124200.0,YES,-0.12999999999999545
2025-03-07 15:15:00,5.300000000000011,5.349999999999994,5.299999999999983,8025,-99.79999999999563,45750,-65925.0,Y,-64650.0,Y,0.0
2025-03-07 15:20:00,-0.5,-0.6999999999999886,-0.5500000000000114,41250,-94.80000000001019,45225,-33900.0,YES,-75075.0,YES,0.010000000000019327
2025-03-07 15:25:00,-6.599999999999994,-6.849999999999994,-6.099999999999994,-174825,-112.5,51900,-612000.0,Y,-159375.0,YES,0.0
