last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,prev_open,prev_close
11-11-2024 10:55,25.3,23.3,24.1,-28575,-890.3,14675,4900,N,-4500,Y,1.6,24321.7,24347,11-11-2024 10:55,14,13.65,13.75,-15325,-170.25,23000,-1275,YES,-32875,Y,222,236,236.6,221.5,0.96,11-11-2024 10:55,-6.5,-6.65,-6.6,39300,-62.85,28175,-18225,Y,7925,N,68.15,61.65,68.9,61.1,-1.14,11-11-2024 10:55,24241.5,24264.75
11-11-2024 11:00,3.25,5.05,3.25,-175925,-909,15575,2875,YES,625,N,2.92,24347,24350.25,11-11-2024 11:00,3.5,4.15,4.1,-7375,-176.7,21425,-12525,YES,1875,YES,235.6,239.1,240.95,230.9,0.98,11-11-2024 11:00,-3.25,-3.15,-3.15,-43425,-55.7,25050,16625,YES,18625,N,61.8,58.55,62.7,58.4,-1.15,11-11-2024 11:00,24265.3,24273.2
11-11-2024 11:05,11.1,8.1,8.9,3675,-881.9,20250,-16200,YES,23750,YES,6.19,24350.05,24361.15,11-11-2024 11:05,5.35,6.25,6.3,-31575,-185.8,20400,4200,N,-3225,Y,240.25,245.6,249.85,236.65,1.07,11-11-2024 11:05,-1.35,-1.45,-1.55,24500,-49.15,26900,-3775,Y,5325,N,58.4,57.05,59.9,55.5,-1.35,11-11-2024 11:05,24272.45,24278
11-11-2024 11:10,31.55,31.45,35.65,-73300,-682.05,16375,-6275,N,-61100,Y,9.42,24361.15,24392.7,11-11-2024 11:10,27.1,26.9,27,58575,-208.5,21425,21300,N,-41850,Y,245.85,272.95,276.3,243,1.63,11-11-2024 11:10,-7.95,-8.15,-8.15,-39400,-53.05,28550,-72950,Y,12975,N,57.25,49.3,58.65,48.25,-1.89,11-11-2024 11:10,24278,24309.65
11-11-2024 11:15,9.9,9.7,4.55,33775,-815.1,20875,3500,N,48050,YES,7.54,24392.6,24402.5,11-11-2024 11:15,6.05,7.6,7.45,8400,-233.3,22625,-72525,YES,-5725,YES,272.15,278.2,289.05,272,1.39,11-11-2024 11:15,-2.3,-2.55,-2.55,-106950,-46.9,27475,20900,YES,-8925,YES,49.45,47.15,49.5,45.05,-1.88,11-11-2024 11:15,24309.35,24317.75
11-11-2024 11:20,-2.25,-1,-0.05,51800,-419.5,18725,-8075,YES,27700,N,3.64,24402.5,24400.25,11-11-2024 11:20,-1.45,-1.8,-1.65,-4575,-216.1,21200,7850,Y,23450,YES,278.95,277.5,281.7,267.05,0.83,11-11-2024 11:20,-0.6,-0.25,-0.25,-54075,-45,23975,14450,N,23475,Y,46.8,46.2,49.05,45.95,-0.89,11-11-2024 11:20,24317.95,24316.95
11-11-2024 11:25,-2.95,-10.45,-6.6,-117675,-792.25,14950,-42975,YES,12375,N,2.65,24400.25,24397.3,11-11-2024 11:25,-9.4,-9.45,-9.35,-5450,-202.05,22750,-30825,YES,20125,N,277.5,268.1,279,264.4,0.5,11-11-2024 11:25,2,1.85,1.8,-80700,-42.8,29825,8950,N,-8775,YES,46.2,48.2,49.55,46,-0.65,11-11-2024 11:25,24316.95,24311.3
11-11-2024 11:30,13.35,11.8,6.3,21925,-600.8,17900,225,Y,-15025,Y,2.34,24390.65,24404,11-11-2024 11:30,8.35,8.85,8.8,-50,-220.35,24275,5950,Y,-10675,Y,268.85,277.2,282.15,268.05,0.48,11-11-2024 11:30,-2.65,-2.75,-2.7,-1625,-46.7,36800,-11300,Y,10450,N,48,45.35,48.15,44.3,-0.66,11-11-2024 11:30,24311.7,24315.95
11-11-2024 11:35,-7.9,-7.75,-9,-7150,-796.75,16975,7200,N,17275,YES,1.63,24403.05,24395.15,11-11-2024 11:35,-5.05,-4.5,-3.95,34525,-216.15,24875,-550,YES,10925,YES,277.15,272.1,281.6,268.4,0.43,11-11-2024 11:35,0.9,0.8,0.8,74775,-47,27400,-1825,N,12850,N,45.55,46.45,47.65,44,-0.52,11-11-2024 11:35,24316.3,24311.05
11-11-2024 11:40,31.45,29.55,29.9,72450,-609.55,19025,16975,N,-59825,Y,8.56,24396.55,24428,11-11-2024 11:40,22.6,22.3,22.25,-8375,-211.85,22175,4475,N,-32650,Y,272.65,295.25,298.25,272.6,0.72,11-11-2024 11:40,-6.25,-6.4,-6.4,-101550,-45.8,22750,-34425,Y,24925,N,46.2,39.95,46.35,39.4,-0.87,11-11-2024 11:40,24311.05,24331.7
11-11-2024 11:45,-23.25,-21.25,-22.95,69725,-934.95,19100,1250,YES,14925,YES,2.74,24428,24404.75,11-11-2024 11:45,-23.25,-22.65,-22.75,-10275,-232.8,22150,-14050,YES,15975,YES,295.25,272,297.4,271.6,0.59,11-11-2024 11:45,5.7,6,6,-114500,-49.05,29900,20575,YES,-18725,YES,39.9,45.6,46,39.05,-0.79,11-11-2024 11:45,24331.9,24314.2
11-11-2024 11:50,-25.6,-22.95,-23.35,48275,-730.25,15650,34775,Y,15550,N,2.08,24404.95,24379.35,11-11-2024 11:50,-12.95,-12.1,-12.25,-6125,-217.55,22925,-2675,N,-20300,Y,271.95,259,272.05,254.7,0.61,11-11-2024 11:50,4.55,4.3,4.25,-15950,-52.85,31900,17625,N,-22075,YES,45.6,50.15,52,45.6,-0.97,11-11-2024 11:50,24314.25,24299.6
11-11-2024 11:55,-11.9,-11.9,-11,7775,-556.85,15450,9650,N,1700,Y,1.02,24380.05,24368.15,11-11-2024 11:55,-9.55,-9.75,-9.8,1450,-205.15,24175,-16400,YES,6325,YES,259.3,249.75,265.9,247.3,0.46,11-11-2024 11:55,2.15,2,2,9650,-53.45,33425,-19525,Y,-1425,Y,50.15,52.3,53.3,47.85,-0.91,11-11-2024 11:55,24299.6,24287.95
11-11-2024 12:00,-2,-7.2,-4.15,-33875,-804.75,17975,-4975,YES,4050,N,1.51,24367.65,24365.65,11-11-2024 12:00,-5.35,-6.6,-6.7,26725,-203.5,24700,56825,Y,14375,N,249.6,244.25,256.4,232,0.62,11-11-2024 12:00,2.05,2.7,2.7,-13350,-55.8,27750,42950,YES,-20775,YES,52.4,54.45,59.5,50.15,-0.98,11-11-2024 12:00,24288,24280.75
11-11-2024 12:05,-30.55,-25.8,-27.75,-982500,-889.75,17150,-8200,YES,17400,N,1.74,24365.65,24335.1,11-11-2024 12:05,-19.7,-20.55,-20.5,-4200,-170.1,21675,-45750,YES,-975,Y,243.65,223.95,244.05,221.6,0.45,11-11-2024 12:05,6.95,7.1,7.1,-34375,-56.25,26675,9725,N,-19425,N,54.5,61.45,62.75,54.5,-0.77,11-11-2024 12:05,24279.9,24257.45
11-11-2024 12:10,2.2,0,-2.2,-10875,-1018.7,20325,22400,Y,5875,N,1.06,24335.1,24337.3,11-11-2024 12:10,-2.2,-1.7,-1.65,-15950,-153.8,20525,450,Y,10575,N,223.1,220.9,223.95,204.5,0.46,11-11-2024 12:10,1.65,1.2,1.2,3000,-62,24650,-9350,Y,-48100,YES,61.9,63.55,73.8,61.6,-1.37,11-11-2024 12:10,24256.9,24253.6
