last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
30-12-2024 11:20,23978,-17225,0.1,12150,3075,N,-73175,Y,0.48,23946,23978,30-12-2024 11:20,59.05,11100,-0.1,46350,7200,N,-62175,Y,0.26,30-12-2024 11:20,213.25,-9675,-0.05,42825,-1650,N,15750,N,-0.9
30-12-2024 11:25,23995,124450,-3.6,17925,4075,N,-21575,YES,1.8,23978.6,23995,30-12-2024 11:25,63.6,22200,-0.05,47250,39675,Y,-14625,YES,0.42,30-12-2024 11:25,204.35,-40275,-0.15,39600,80025,YES,4650,N,-1.08
30-12-2024 11:30,24027.25,-106800,0.6,18825,4800,N,-200,YES,5.69,23997,24027.25,30-12-2024 11:30,80.4,22125,0.05,43950,-59100,YES,-199500,Y,1.83,30-12-2024 11:30,183,-31425,-0.1,43125,26175,N,38400,Y,-3.24
30-12-2024 11:35,24019.95,25950,1.7,15250,-28075,YES,12475,N,2.93,24021.8,24019.95,30-12-2024 11:35,75.2,-23100,-0.05,41025,20925,Y,76050,YES,0.97,30-12-2024 11:35,188.75,-14925,0,40275,14475,N,-2325,YES,-2.74
30-12-2024 11:40,24035,-41625,-3.25,14200,-5650,Y,2025,Y,1.78,24019.95,24035,30-12-2024 11:40,82.95,57900,-0.05,46725,24225,N,-14325,Y,0.98,30-12-2024 11:40,179.8,-21150,-0.05,43275,-64275,Y,-6825,YES,-1.95
30-12-2024 11:45,24048.85,-55625,-0.5,23075,3875,N,57175,YES,2.61,24035,24048.85,30-12-2024 11:45,92.9,86250,-0.1,44325,74850,Y,-96300,Y,1.46,30-12-2024 11:45,170.25,-20925,-0.1,44775,1050,YES,31500,Y,-2.16
30-12-2024 11:50,24054.95,3325,-3.1,17800,475,YES,-57475,Y,7.71,24049,24054.95,30-12-2024 11:50,103.35,20550,-0.05,44625,-30525,YES,55050,YES,3.52,30-12-2024 11:50,170.9,-46200,-0.05,45000,67650,YES,5100,N,-4.61
30-12-2024 11:55,24050,-5200,-3.4,20800,27625,Y,23725,YES,2.28,24059,24050,30-12-2024 11:55,98.2,-198150,0,48300,-15750,N,-29100,Y,1.36,30-12-2024 11:55,173.25,-9075,0.05,41850,4350,N,525,YES,-2.18
30-12-2024 12:00,24050,6250,-0.9,16525,17400,N,14725,N,1.49,24050,24050,30-12-2024 12:00,97.9,23175,0,44700,4350,Y,64500,YES,0.8,30-12-2024 12:00,169.9,-28800,0.05,43425,7725,N,12450,N,-2.08
30-12-2024 12:05,24039,-78625,1.25,20075,15875,N,406425,YES,1.58,24047.9,24039,30-12-2024 12:05,91.45,-58050,0,40350,9375,N,38775,N,0.63,30-12-2024 12:05,177.8,-62325,0.05,38700,1875,Y,-8850,YES,-1.6
30-12-2024 12:10,24040,5675,2.45,15625,18900,N,-5275,Y,1.65,24038,24040,30-12-2024 12:10,93.1,-13200,0,40950,2925,YES,-10950,Y,0.67,30-12-2024 12:10,179,-10575,-0.15,41475,-6375,Y,-3150,N,-1.31
30-12-2024 12:15,24025,15100,-4.1,18225,-3700,YES,-10125,Y,1.22,24040,24025,30-12-2024 12:15,91.5,-47475,-0.05,39225,-4575,YES,43725,YES,0.49,30-12-2024 12:15,186.4,-4725,0.1,41925,-825,N,-13275,YES,-1.37
30-12-2024 12:20,24007,42925,-1.35,13225,-14900,YES,-6525,N,0.82,24025,24007,30-12-2024 12:20,87.65,-7725,0,40050,-62625,YES,22050,N,0.45,30-12-2024 12:20,199.25,-24900,0,48600,4800,N,-37275,YES,-0.98
30-12-2024 12:25,23948.1,139525,0.7,19075,-54900,YES,4150,N,1.04,24007,23948.1,30-12-2024 12:25,65.45,-114750,-0.2,46500,-154425,YES,44250,YES,0.51,30-12-2024 12:25,246.15,-40500,-0.25,45225,-33075,Y,-70725,YES,0.06
30-12-2024 12:30,23947.95,20800,-3.95,20225,1650,Y,13200,N,-1.58,23945,23947.95,30-12-2024 12:30,62.65,-137325,-0.05,44325,160725,Y,24600,N,-0.06,30-12-2024 12:30,249.35,-27900,-0.15,39975,-16875,N,-3825,Y,1.65
30-12-2024 12:35,23940,-19775,-0.35,15875,30875,Y,7500,N,-0.25,23947.95,23940,30-12-2024 12:35,62.5,-82425,1.42E-14,40050,41100,N,76275,YES,0.03,30-12-2024 12:35,250.25,3375,-0.1,35850,6150,YES,36825,Y,0.43
30-12-2024 12:40,23950.55,39675,-1.4,15000,-825,YES,-3650,Y,-0.19,23939.15,23950.55,30-12-2024 12:40,66.55,-68100,0,42225,55575,N,41700,N,0.02,30-12-2024 12:40,241.55,-8625,-0.1,47475,-11250,Y,7275,N,0.29
30-12-2024 12:45,23948.25,-288875,-1,15425,-2075,YES,-32300,Y,0.06,23950.55,23948.25,30-12-2024 12:45,66.9,-29625,-0.05,46500,72825,N,29175,N,0.12,30-12-2024 12:45,242.95,-12825,-0.05,42150,-11625,Y,8775,N,0.22
30-12-2024 12:50,23950.55,-23225,-0.3,14050,6475,N,8525,YES,-0.04,23950.1,23950.55,30-12-2024 12:50,65.9,-60600,0,49650,64500,N,51300,YES,0.05,30-12-2024 12:50,244.05,16725,-0.05,41850,825,N,-24300,YES,0.23
30-12-2024 12:55,23950,62575,-0.45,13275,625,YES,5975,N,-0.14,23950.55,23950,30-12-2024 12:55,64.25,-38550,0.05,44175,-42525,YES,-150,Y,0.02,30-12-2024 12:55,247.2,-39225,0,38925,-5775,Y,-3300,Y,0.32
30-12-2024 13:00,23925,37825,-4.5,15950,-2200,YES,-3525,Y,-0.34,23948.95,23925,30-12-2024 13:00,60.1,-64725,0.05,42600,-53325,YES,103125,YES,-0.02,30-12-2024 13:00,262.1,-300,-0.05,38175,1350,N,-7500,YES,0.51
30-12-2024 13:05,23924.1,20600,-5.15,11325,24575,Y,-1825,N,-0.21,23925,23924.1,30-12-2024 13:05,60.45,-43725,0.05,45525,19275,Y,-14550,Y,-0.02,30-12-2024 13:05,260.85,-28875,0.05,41400,3225,N,10650,N,0.33
30-12-2024 13:10,23933.6,-11875,0.5,10700,15225,N,30875,YES,-0.13,23928.95,23933.6,30-12-2024 13:10,60.85,-42450,0.1,45600,18525,N,3225,N,-0.01,30-12-2024 13:10,259.05,7875,-2.84E-14,38325,975,Y,-75,YES,0.22
30-12-2024 13:15,23935,700,-2.25,11800,59150,Y,-1450,Y,-0.19,23932,23935,30-12-2024 13:15,61.9,-30675,7.11E-15,39375,-7650,YES,18675,N,-0.01,30-12-2024 13:15,251.85,-2625,-0.05,40875,-3900,Y,16650,N,0.19
30-12-2024 13:20,23920,16475,2.95,9250,-6600,YES,2950,N,-0.27,23935,23920,30-12-2024 13:20,57.05,3075,-0.1,46950,-48150,YES,38625,N,-0.04,30-12-2024 13:20,267,6675,-0.05,44250,16425,YES,-14775,YES,0.41
30-12-2024 13:25,23886.2,-321525,-0.1,16375,-51600,YES,38925,YES,-2.06,23920,23886.2,30-12-2024 13:25,50.05,-113250,0,48750,-169275,YES,-15600,Y,-0.23,30-12-2024 13:25,295,-20475,0.1,39900,-14250,Y,-14925,YES,1.31
30-12-2024 13:30,23846,725,-3.15,19625,-11025,Y,-29450,Y,-7.98,23886.2,23846,30-12-2024 13:30,44.4,-143775,-7.11E-15,48525,89250,Y,7800,YES,-0.43,30-12-2024 13:30,327,-15450,-0.2,39375,-12900,N,21600,Y,1.9
30-12-2024 13:35,23852,-26525,-3,17925,24250,Y,18075,YES,-3.8,23846.2,23852,30-12-2024 13:35,42.65,-96975,0.05,55425,15075,N,47850,YES,-0.39,30-12-2024 13:35,323.9,35100,0.15,35850,-15225,Y,9825,N,0.99
30-12-2024 13:40,23837.5,275,1.3,14175,3350,N,5550,N,-1.36,23852.2,23837.5,30-12-2024 13:40,40.05,-3525,-0.05,47325,-9525,YES,95325,YES,-0.24,30-12-2024 13:40,333.6,-6750,0.15,40725,-14325,N,21075,N,0.82
30-12-2024 13:45,23819,-144025,1.1,25725,-950,YES,11275,N,-5.18,23835,23819,30-12-2024 13:45,40.35,-71775,-0.05,53625,47925,Y,-34575,Y,-0.29,30-12-2024 13:45,346.85,-27225,0.1,46350,3000,N,-53925,YES,1.5
30-12-2024 13:50,23796.6,95725,2.4,17850,-46900,YES,-31550,Y,-4.28,23819,23796.6,30-12-2024 13:50,37.4,-161475,0.05,56250,-1575,YES,93900,YES,-0.34,30-12-2024 13:50,372,9675,-0.15,42375,-2700,Y,-11400,Y,1.41
30-12-2024 13:55,23811,-15200,-1,18525,-48500,YES,900,YES,-1.73,23794.75,23811,30-12-2024 13:55,37.6,-69225,0,45300,9075,N,-20700,Y,-0.21,30-12-2024 13:55,357,17475,0.25,47250,-75,N,8400,N,0.69
30-12-2024 14:00,23809.65,-84750,-0.05,19500,72925,Y,3600,N,-2.18,23810,23809.65,30-12-2024 14:00,37.95,90375,-0.05,47550,154425,Y,15150,YES,-0.23,30-12-2024 14:00,360.7,-4125,-0.35,52350,-13800,Y,17475,N,0.79
30-12-2024 14:05,23805,-13925,2.05,17550,46500,N,3950,N,-1.49,23807.95,23805,30-12-2024 14:05,37.8,-13800,0,48300,3675,N,-17175,Y,-0.18,30-12-2024 14:05,360.6,-4875,0.3,41625,3300,N,-75,YES,0.44
30-12-2024 14:10,23787.45,-9575,1.1,14700,12750,N,-17550,Y,-2.97,23805,23787.45,30-12-2024 14:10,36.7,-84600,-0.05,48900,51300,Y,8850,YES,-0.16,30-12-2024 14:10,373.85,10275,0.25,40125,-11250,Y,225,N,0.71
30-12-2024 14:15,23795,-32200,-2.6,13950,3925,N,7750,YES,-1.17,23785,23795,30-12-2024 14:15,37,97125,-0.05,49575,14625,N,17775,N,-0.15,30-12-2024 14:15,370,26925,0.2,35100,8250,N,11250,N,0.53
30-12-2024 14:20,23791,-46200,-0.95,13775,-15525,YES,3575,N,-2.02,23792.5,23791,30-12-2024 14:20,37.3,31050,-0.05,54225,-93825,YES,13125,N,-0.2,30-12-2024 14:20,372,20625,0.1,50025,33450,YES,-17700,YES,0.92
