last_traded_time,,ltp,bid_price,ask_price,bid_ask_pr_diff_1,bid_size1,ask_size1,volume_1,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_1,low_1,open_1,close_1,ltp,bid_price,ask_price,bid_ask_pr_diff_2,bid_size2,ask_size2,volume_2,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_2,low_2,open_2,close_2,ltp,bid_price,ask_price,bid_ask_pr_diff_3,bid_size3,ask_size3,volume_3,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_3,low_3,open_3,close_3,ltp,bid_price,ask_price,bid_ask_pr_diff_4,bid_size4,ask_size4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_4,low_4,open_4,close_4,final_signal,result,datetime,open,high,low,close
02-05-2025 15:00,FALSE,-38.8,-33.1,-37.7,4.6,98550,95550,94875,16650,N,28425,YES,24464.6,24410,24450.8,24412,-17.55,-17.05,-17.15,0.1,309525,248925,3929850,-99450,YES,50625,N,113,91.4,109.8,92.25,23.35,23.2,23.05,0.15,97575,126525,1126125,-17475,Y,-34050,YES,258.8,226.2,234,257.35,-108.8,-112.6,-102,10.6,22290,37530,23970,-13530,N,2520,N,55359,55202.6,55317,55208.2,SELL,exc_loss,02-05-2025 15:00,24373.4,24397.75,24354.25,24354.25
02-05-2025 15:05,FALSE,5.1,5.8,-0.4,6.2,89550,89700,52500,-15150,YES,83400,YES,24425,24401,24412,24417.1,0.95,0.05,0.05,1.42E-14,285675,445800,2287650,79500,Y,-82050,Y,97.45,87,93,93.95,-1.55,-0.45,-0.7,0.25,111075,106575,665475,-26175,Y,28125,Y,266,247.9,255.9,254.35,3.4,3.4,-8.4,11.8,41370,36420,13320,-3780,N,13800,N,55242.8,55185,55206.6,55210,BUY,exc_loss,02-05-2025 15:05,24353.95,24363.6,24338.15,24354.95
02-05-2025 15:10,FALSE,13.9,13.4,14.1,0.7,65700,97575,54075,69600,Y,-11625,Y,24434,24407.5,24417.1,24431,6.95,7.45,7.45,1.42E-14,347775,366675,2117100,54600,N,-27525,YES,101.65,92.05,93.15,100.1,-9.45,-11.3,-11.3,0,110700,114225,603900,-26850,Y,6675,N,262,241.5,255.45,246,65,56.6,56,0.6,57120,26010,12540,2100,N,-15810,N,55280,55200,55210,55275,no signal,reverse,02-05-2025 15:10,24354.85,24367.15,24348.4,24367.15
02-05-2025 15:15,FALSE,-42.8,-40.9,-41.5,0.6,91125,115275,187125,-7875,YES,-26100,Y,24430,24378.4,24429.9,24387.1,-12.85,-12.7,-12.65,0.05,292500,352800,3296775,-197325,YES,189975,YES,100.15,79.75,99.35,86.5,30.65,30.55,30.5,0.05,117225,139875,930000,-2625,YES,-33225,YES,284.5,247.65,247.95,278.6,-69.6,-83.4,-88.8,5.4,47010,44070,23280,-2460,N,1920,N,55285.8,55180.8,55268.6,55199,SELL,not_triggered,02-05-2025 15:15,24365.45,24368.15,24322.7,24329.9
02-05-2025 15:20,FALSE,4,3.3,1.2,2.1,147900,160350,151275,-21675,YES,-21150,N,24409.9,24385.7,24386.7,24390.7,-5.5,-6.55,-6.5,0.05,222375,328050,2062650,-155850,Y,-139875,Y,88.85,79.75,87,81.5,-6.45,-5.85,-5.8,0.05,107100,131550,546600,549525,YES,-25800,N,281.35,254.95,278.35,271.9,-8,6,-1.6,7.6,49680,71550,41670,-2610,N,-2850,N,55221.4,55162.6,55199,55191,no signal,reverse,02-05-2025 15:20,24329.05,24342.7,24326.2,24333.15
02-05-2025 15:25,FALSE,5.1,4.2,3.8,0.4,195450,193200,223050,-82500,YES,-57375,Y,24399,24379,24390,24395.1,-2.1,-3.05,-2.65,0.4,178500,350400,2925300,-798600,YES,-291825,Y,83.75,75.65,81.35,79.25,-14.4,-16.2,-14.25,1.95,80550,113025,590250,-957750,Y,-35925,YES,276.3,255,271.8,257.4,-3,0.8,0.2,0.6,64500,78600,35100,-31020,N,-17400,N,55200,55180,55194.8,55191.8,no signal,not_triggered,02-05-2025 15:25,24331.45,24334.55,24309.85,24313.65
05-05-2025 09:15,FALSE,3.4,3.5,4.8,1.3,132000,281925,284475,24225,N,38100,N,24516,24486.3,24500.1,24503.5,-14.25,-13.8,-14.05,0.25,120150,106875,6382575,1795875,N,376050,N,168.1,143.1,168.1,153.85,8.35,7.3,7.2,0.1,101325,121500,5328225,2620425,N,169050,N,140.6,118.25,118.6,126.95,-100.2,-100.4,-117.6,17.2,26610,16410,33810,6660,N,18270,N,55331.6,55163.4,55321.6,55221.4,no signal,exc_loss,05-05-2025 09:15,24419.5,24460.75,24400.65,24436.9
05-05-2025 09:20,FALSE,6.1,5.9,4.9,1,113100,233025,262200,16500,N,-4200,Y,24515,24480,24503.1,24509.2,0.85,2.3,2.4,0.1,161400,226425,6053700,-1967775,YES,153750,N,159.2,140.55,153.35,154.2,-4.6,-5.95,-6,0.05,160950,166125,7582950,19725,N,242100,Y,141.2,117.3,125.6,121,-80.8,-54,-54.2,0.2,89250,39600,67350,11670,N,4800,N,55246.8,55100,55221.4,55140.6,no signal,exc_loss,05-05-2025 09:20,24435.8,24451.2,24414.65,24447.05
05-05-2025 09:25,FALSE,5.9,7.4,3.6,3.8,116625,127050,269400,33975,N,-9225,Y,24555,24497.4,24509.2,24515.1,2.3,3.05,3.1,0.05,171375,177825,9308175,53250,Y,-37200,Y,179,146.3,153.45,155.75,4.5,3.95,3.85,0.1,189000,205800,6584625,59925,YES,161700,N,128.85,103.9,120.85,125.35,-35.6,-13,-27.2,14.2,65970,36330,73470,26730,N,5220,N,55219.6,55056.4,55155,55119.4,BUY,open_win,05-05-2025 09:25,24446.5,24477.9,24429.8,24443.15
05-05-2025 09:30,FALSE,-30.6,-30.3,-23.9,6.4,134400,114675,177600,1725,YES,250575,YES,24529.8,24471,24515.1,24484.5,-8.9,-8.7,-8.7,0,191175,199050,6618225,-1575,YES,204600,YES,166.45,138.25,156.2,147.3,15.3,15.65,15.65,1.42E-14,234675,210525,9381375,95475,YES,-103575,YES,149.95,118,124.8,140.1,-97,-91.6,-84.4,7.2,59430,34080,65580,7830,N,-3690,N,55138,55011.2,55115,55018,SELL,reverse,05-05-2025 09:30,24442.25,24452.15,24403.1,24414.05
