last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
04-07-2025 11:30,-5.8,-5.8,-6.8,43575,-936.6,34275,-6000,N,4650,N,-0.13,25490,25484.2,04-07-2025 11:30,-3.95,-3.6,-3.55,101250,-146.6,66525,-49125,YES,126450,YES,150.95,147,151.25,146.7,-0.18,04-07-2025 11:30,4.2,4,4.05,-99675,-134.1,67725,239550,YES,55875,N,129.35,133.55,134.2,128.85,-0.1
04-07-2025 11:35,-20.6,-20.4,-19.9,-13950,-846.4,32400,49650,Y,-5550,Y,-1.19,25484.2,25463.6,04-07-2025 11:35,-7.35,-7.65,-7.65,162300,-140.6,61725,-263025,YES,-450,Y,146.75,139.4,147.55,137.45,-0.74,04-07-2025 11:35,13.2,13.15,13.15,-160800,-161.1,62175,82725,N,-331725,YES,133.95,147.15,147.2,133.6,0.32
04-07-2025 11:40,-23,-26.6,-23.1,-61500,-1338.3,42975,-3825,YES,-5250,N,-7.98,25463,25440,04-07-2025 11:40,-9.75,-10,-9.9,124800,-136,60675,1950,Y,27525,YES,138,128.25,139.8,125,-1.55,04-07-2025 11:40,10.95,10.75,11.05,-208425,-180.6,62700,-39825,Y,-391125,YES,149,159.95,165.25,145.45,1.64
04-07-2025 11:45,-8.8,-9.3,-8.3,3075,-1520.1,37425,8025,N,34200,YES,-7.32,25437.3,25428.5,04-07-2025 11:45,-4.4,-4.2,-4.2,-72000,-136.75,67650,2700,N,31425,N,128.15,123.75,128.3,116.65,-1.76,04-07-2025 11:45,7.4,7.15,7.2,-10875,-188.1,58725,-181050,Y,-121350,Y,159.6,167,179.4,159.6,1.99
04-07-2025 11:50,-1.5,-0.5,0.2,72975,-818.4,30900,36825,Y,13425,N,-1.03,25428.5,25427,04-07-2025 11:50,-1.65,-1.4,-1.4,-5400,-132.55,64050,98925,Y,93450,YES,123.75,122.1,125.1,118.9,-0.82,04-07-2025 11:50,-1.1,-0.4,-0.5,-27300,-182.4,61575,-79200,YES,14250,Y,167.45,166.35,175.65,158.6,0.69
04-07-2025 11:55,-8.7,-7,-6.8,-19275,-803,33525,24150,N,-3150,Y,-1.69,25426.7,25418,04-07-2025 11:55,-1.85,-2.1,-2.05,-181275,-129,73575,22575,N,77025,N,122.15,120.3,123.15,117.8,-0.72,04-07-2025 11:55,3.05,2.95,2.95,-94725,-192.4,61275,33450,YES,90000,Y,166.2,169.25,172.55,162.9,0.57
04-07-2025 12:00,2.3,2.1,0.4,-280800,-766.1,33525,19125,N,-375,N,-1.13,25418,25420.3,04-07-2025 12:00,0.25,-1,-0.75,68400,-123.15,69675,19125,N,-37950,Y,120.2,120.45,124.6,118.35,-0.65,04-07-2025 12:00,-2.7,-1.45,-1.45,-12225,-176.2,56925,-38850,Y,12300,N,169.2,166.5,171.5,159.05,0.42
04-07-2025 12:05,11.6,11.8,13,1950,-912.1,36300,-6075,YES,23100,YES,-1.98,25420.3,25431.9,04-07-2025 12:05,3.1,2.9,2.9,48225,-131.5,75525,-77700,YES,-7575,YES,120.2,123.3,125.4,112.7,-1.04,04-07-2025 12:05,-5.55,-5.2,-5.25,50250,-182.9,64050,-40725,Y,-65700,YES,166.9,161.35,175.4,157.15,0.5
04-07-2025 12:10,3.1,3.1,3.1,-205725,-906.1,37725,11550,N,-5475,Y,-1.1,25431.9,25435,04-07-2025 12:10,1.4,2.1,2.1,-142650,-132.15,67800,84150,Y,7425,N,123.25,124.65,125.9,120.35,-0.54,04-07-2025 12:10,-2.95,-3.8,-3.85,91650,-180.85,62325,6525,YES,72525,Y,161.7,158.75,163.7,154.65,0.23
04-07-2025 12:15,3,2.7,3,131100,-861.7,36000,-12150,YES,7575,N,-0.82,25433,25436,04-07-2025 12:15,0.65,1,1,-114075,-130.95,66975,20475,N,-10875,Y,125.15,125.8,129,123.35,-0.52,04-07-2025 12:15,-0.2,-0.3,-0.35,-16800,-171,62400,536100,YES,62625,N,158.65,158.45,161.5,152.15,0.16
