last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
11-11-2024 11:05,39.45,203525,492,136250,337075,36.45,37,-200825,-2681.2,50500,-11725,YES,675,Y,24237.99,24321.7,24361.15,24367.7,24321.1,11-11-2024 11:10,23.6,1489825,541,185300,239575,24.75,25,-54275,-532.75,64825,-10600,YES,-34150,Y,222,245.6,249.85,221.5,164.5,11-11-2024 11:10,-11.1,2392725,541,728850,708475,-11.15,-11.25,20375,-167.7,80125,-2550,Y,27375,N,68.15,57.05,68.9,55.5,111.44,11-11-2024 11:05,24241.5,24281.25,24241.3,24278,0
11-11-2024 11:10,45.7,332575,510,147075,392625,47.6,50.65,-245550,-2472.95,52200,-16875,YES,-56950,Y,24247.42,24347,24392.7,24401.1,24340.25,11-11-2024 11:15,37.35,1616550,540,251375,231750,37.15,37.2,19625,-571,63250,12400,Y,-44150,Y,235.6,272.95,276.3,230.9,166.13,11-11-2024 11:15,-12.5,2818875,540,780125,838450,-12.7,-12.7,-58325,-157.9,80500,-58225,Y,37200,N,61.8,49.3,62.7,48.25,109.54,11-11-2024 11:10,24265.3,24312.35,24261.65,24309.65,0
11-11-2024 11:15,52.45,404775,527,229100,264950,52.25,52.1,-35850,-2379.05,57500,-11900,N,7925,YES,24255.04,24350.05,24402.5,24411.5,24347.65,11-11-2024 11:20,37.95,1586475,541,267450,232050,38.7,38.8,35400,-627.6,64450,-48650,YES,-45425,Y,240.25,278.2,289.05,236.65,167.53,11-11-2024 11:20,-11.25,3210350,541,851700,973550,-11.45,-11.5,-121850,-149.1,82925,-45475,N,3375,N,58.4,47.15,59.9,45.05,107.65,11-11-2024 11:15,24272.45,24326.05,24266.45,24317.75,0
11-11-2024 11:20,39.1,360275,534,399550,387275,39.55,39.95,12275,-1916.65,55975,7375,N,-3775,Y,24258.68,24361.15,24400.25,24411.5,24355.6,11-11-2024 11:25,31.65,1395750,541,282125,219725,31.8,32,62400,-657.9,65250,-45100,N,-26100,N,245.85,277.5,289.05,243,168.36,11-11-2024 11:25,-11.05,2904300,541,849250,1049675,-10.8,-10.85,-200425,-144.95,80000,-38400,N,23650,Y,57.25,46.2,58.65,45.05,106.76,11-11-2024 11:20,24278,24326.05,24275.45,24316.95,0
11-11-2024 11:25,4.7,252475,529,424150,456250,-2.2,-3.2,-32100,-2026.85,54550,-30575,YES,72300,YES,24261.34,24392.6,24397.3,24411.5,24383.35,11-11-2024 11:30,-4.05,947675,538,215700,217325,-3.8,-3.75,-1625,-651.45,66575,-96000,YES,37675,YES,272.15,268.1,289.05,264.4,168.86,11-11-2024 11:30,-1.25,2126400,543,804250,1045975,-1.15,-1.15,-241725,-134.7,81275,41875,YES,6075,N,49.45,48.2,49.55,45.05,106.11,11-11-2024 11:25,24309.35,24326.05,24298.5,24311.3,0
11-11-2024 11:30,1.5,173425,505,373700,417650,0.55,1,-43950,-1812.55,51575,-2825,Y,23875,N,24263.7,24402.5,24404,24411.65,24383.35,11-11-2024 11:35,-1.75,663600,529,217150,227225,-1.5,-1.5,-10075,-638.5,68225,-11275,Y,37800,N,278.95,277.2,282.15,264.4,169.35,11-11-2024 11:35,-1.45,1421325,541,903550,1039950,-1.55,-1.5,-136400,-134.5,90600,18150,N,32350,Y,46.8,45.35,49.55,44.3,105.45,11-11-2024 11:30,24317.95,24320.25,24298.5,24315.95,0
11-11-2024 11:35,-5.1,137300,485,219200,322100,-5.55,-5.95,-102900,-2189.8,49825,10175,N,14175,N,24265.34,24400.25,24395.15,24411.65,24383.35,11-11-2024 11:40,-5.4,520500,521,246725,217700,-4.5,-4.45,29025,-638.55,71900,-23000,YES,20475,N,277.5,272.1,282.15,264.4,169.79,11-11-2024 11:40,0.25,1225825,543,1011725,1019275,-0.1,-0.2,-7550,-136.5,94025,3100,N,18500,N,46.2,46.45,49.55,44,104.89,11-11-2024 11:35,24316.95,24323.2,24298.5,24311.05,0
11-11-2024 11:40,37.35,251250,475,275350,188125,35.65,30.2,87225,-2007.1,53900,9000,N,-57175,Y,24273.94,24390.65,24428,24433.25,24390.4,11-11-2024 11:45,26.4,571250,511,239350,213250,26.4,26.3,26100,-648.35,71325,5750,Y,-35250,Y,268.85,295.25,298.25,268.05,170.51,11-11-2024 11:45,-8.05,1360550,541,1037275,1065675,-8.2,-8.2,-28400,-139.5,86950,-44725,Y,43275,Y,48,39.95,48.15,39.4,104.01,11-11-2024 11:40,24311.7,24336.8,24309.55,24331.7,0
11-11-2024 11:45,1.7,264375,485,303950,168925,1.9,0,135025,-2341.25,55100,9375,N,-31000,YES,24276.69,24403.05,24404.75,24433.25,24392.6,11-11-2024 11:50,-5.15,601975,512,232850,216975,-5.35,-4.85,15875,-660.8,69200,-10975,YES,-10100,YES,277.15,272,298.25,268.4,171.12,11-11-2024 11:50,0.05,1440675,544,1028150,1169425,0.25,0.35,-141275,-141.85,80050,-14375,YES,23775,N,45.55,45.6,47.65,39.05,103.21,11-11-2024 11:45,24316.3,24336.8,24309.65,24314.2,0
11-11-2024 11:50,-17.2,291800,479,331050,140600,-16.5,-16,190450,-2274.75,53775,13525,N,-32400,Y,24278.83,24396.55,24379.35,24433.25,24374.55,11-11-2024 11:55,-13.65,707225,517,198025,222800,-12.8,-12.85,-24775,-662.2,67250,-12775,YES,-38025,Y,272.65,259,298.25,254.7,171.73,11-11-2024 11:55,3.95,1839075,543,987875,1219875,3.85,3.85,-232000,-147.7,84550,7450,YES,-6850,YES,46.2,50.15,52,39.05,102.23,11-11-2024 11:50,24311.05,24336.8,24294.3,24299.6,0
