last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-11-2024 13:10,23367.6,47025,-0.75,14875,9675,N,-2575,Y,0.01,23362.05,23367.6,21-11-2024 13:20,6.05,-562675,0,118950,62725,Y,35075,N,-0.33,21-11-2024 13:05,81.3,-128875,-0.1,33175,46200,YES,-13225,YES,-0.41
21-11-2024 13:15,23373.6,27625,1.35,13600,-7025,YES,2875,N,0.06,23364.05,23373.6,21-11-2024 13:25,6.75,-575275,0,113075,187650,Y,-57775,Y,-0.25,21-11-2024 13:10,79.05,-275,0.05,33575,-24125,Y,87250,Y,-0.31
21-11-2024 13:20,23383.35,-108525,1.5,21800,-6675,N,-1750,Y,0.15,23370.05,23383.35,21-11-2024 13:30,7.45,379000,-8.88E-16,102775,296775,Y,118475,YES,-0.21,21-11-2024 13:15,75.15,-63750,-0.05,40100,319175,YES,29875,N,-0.38
21-11-2024 13:25,23383.65,-71575,0.4,14250,2275,N,-975,N,0.1,23383.35,23383.65,21-11-2024 13:35,4.8,-859675,-8.88E-16,98100,-445850,YES,342550,YES,-0.25,21-11-2024 13:20,68.75,92675,0,44200,26875,N,-15625,YES,-0.74
21-11-2024 13:30,23387.45,-81525,2.2,16375,4125,N,-100,N,0.16,23379.05,23387.45,21-11-2024 13:40,5.25,1549100,0,97975,763225,Y,-101500,Y,-0.19,21-11-2024 13:25,67.1,13300,-7.11E-15,42400,26075,N,28850,Y,-0.65
21-11-2024 13:35,23370,24550,2.15,13925,-5225,YES,3975,N,0.15,23387.45,23370,21-11-2024 13:45,4.35,-1128800,-8.88E-16,92450,-32900,YES,87050,YES,-0.2,21-11-2024 13:30,64.15,52650,1.42E-14,53225,85325,YES,41725,N,-0.59
21-11-2024 13:40,23372.1,13025,0.6,10450,6100,N,-6400,Y,0.06,23370,23372.1,21-11-2024 13:50,5.4,-1876125,0,94375,711500,Y,-199550,Y,-0.19,21-11-2024 13:35,71.3,44275,0.05,42150,57625,N,-21700,YES,-0.54
21-11-2024 13:45,23374.75,31400,0.95,17350,10050,N,-350,N,0.05,23372.1,23374.75,21-11-2024 13:55,5.2,-2563875,0,95275,-88400,YES,135600,YES,-0.17,21-11-2024 13:40,66.8,16300,1.42E-14,45225,527900,YES,224225,Y,-0.64
21-11-2024 13:50,23382.8,25550,-1.4,13200,-825,YES,-2275,Y,0.05,23372.95,23382.8,21-11-2024 14:00,4.15,-564900,-8.88E-16,103875,-45825,Y,73475,N,-0.16,21-11-2024 13:45,66.4,72200,0,38775,-103400,Y,58925,N,-0.43
21-11-2024 13:55,23378,32850,1.05,10775,1450,N,-625,N,0.06,23382.8,23378,21-11-2024 14:05,3.5,-2954100,-8.88E-16,87875,-536925,YES,82175,N,-0.16,21-11-2024 13:50,61.65,203200,-0.15,44050,-99675,N,75000,N,-0.69
21-11-2024 14:00,23373.9,46100,1.8,14000,3775,N,175,N,0.07,23378,23373.9,21-11-2024 14:10,3,-1393175,0,111475,45825,Y,-31225,Y,-0.13,21-11-2024 13:55,62.05,17275,0,45450,136150,YES,-11175,YES,-0.54
21-11-2024 14:05,23370.95,-225,-0.5,9875,-5175,YES,-600,Y,0.04,23373.9,23370.95,21-11-2024 14:15,3.8,-1006450,-4.44E-16,87925,219975,Y,-635900,Y,-0.14,21-11-2024 14:00,64.4,78950,0.05,51550,24075,N,-12900,YES,-0.43
21-11-2024 14:10,23364.35,-27675,-1.1,12750,3550,N,1350,N,0.04,23370.95,23364.35,21-11-2024 14:20,3.25,-1074775,0,91675,823600,Y,276650,YES,-0.18,21-11-2024 14:05,66.35,58600,0.05,40875,-6225,Y,-58700,YES,-0.5
