last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
29-04-2025 12:05,-4.5,-0.7,-4.5,52350,-839.4,26250,13200,N,6450,N,-0.4,24424.5,24421.4,29-04-2025 12:05,-1.75,-1.75,-1.7,343425,-24.65,78075,94875,N,48375,YES,-0.34,29-04-2025 12:05,-1.85,-1.4,-1.25,17700,-169.7,48150,-10200,N,20325,N,0.38
29-04-2025 12:10,0.2,1.4,0.1,3600,-873.6,25425,4200,N,2400,Y,-0.33,24421.4,24423.9,29-04-2025 12:10,-0.85,-0.8,-0.8,1550400,-22.8,67425,-125400,YES,114225,YES,-0.26,29-04-2025 12:10,-1.3,-1.5,-1.5,-17175,-162.2,42300,225,N,6975,N,0.31
29-04-2025 12:15,-1.3,-3.5,-3,4125,-944.3,28200,21450,N,11400,N,-0.4,24424.6,24423.3,29-04-2025 12:15,-0.85,-0.85,-0.9,1415025,-23.4,59925,8475,Y,-34200,Y,-0.21,29-04-2025 12:15,0.65,2.45,2.45,-9825,-161.1,45000,-2625,Y,-1950,YES,0.24
29-04-2025 12:20,2.5,-0.9,2.6,-33075,-1236.6,29250,-7800,YES,72300,YES,-0.4,24417.5,24420,29-04-2025 12:20,-0.15,-0.05,-0.05,1306575,-22.3,66750,60525,Y,-14175,YES,-0.25,29-04-2025 12:20,-1.45,-0.7,-0.7,-9600,-169.6,39975,2025,N,-6675,YES,0.38
29-04-2025 12:25,-10.5,-5.7,-10.7,-8850,-1139.8,24450,11700,N,1350,Y,-0.4,24424.5,24411.5,29-04-2025 12:25,-1.05,-1.15,-1.15,1263675,-21.35,76650,-123225,YES,52125,YES,-0.19,29-04-2025 12:25,5.65,6.05,6.05,17850,-160.1,38625,3600,N,2475,N,0.28
29-04-2025 12:30,14.1,14.5,17.6,-20250,-1131,25125,-975,YES,-15000,Y,-0.86,24411,24425.1,29-04-2025 12:30,1.95,1.85,1.8,493575,-22.8,79200,-11850,Y,-129075,Y,-0.2,29-04-2025 12:30,-7.55,-7.65,-7.65,-16350,-160,37800,-4875,Y,-5325,YES,0.27
29-04-2025 12:35,14.3,12.6,13.3,-75075,-695.1,27825,-15300,YES,-3450,N,-0.38,24428.9,24442,29-04-2025 12:35,0.6,0.75,0.75,349725,-23.05,66300,35925,Y,3225,YES,-0.25,29-04-2025 12:35,-8.6,-9.1,-8.95,28125,-159.5,34050,-21675,Y,-2025,N,0.27
29-04-2025 12:40,-1.5,-2.2,-1.3,60600,-611.3,23850,-13875,N,25800,YES,-0.3,24440.2,24436.7,29-04-2025 12:40,-0.75,-0.75,-0.8,332100,-24,74400,-33825,YES,161100,YES,-0.15,29-04-2025 12:40,4.1,2.2,2.25,18150,-154.7,37725,9825,YES,-4725,YES,0.17
29-04-2025 12:45,-1.7,-3.2,-3,-12525,-544.9,23775,12600,Y,-5550,Y,-0.23,24435.7,24434,29-04-2025 12:45,-0.3,-0.3,-0.3,539100,-23.2,74250,196350,Y,-115950,Y,-0.16,29-04-2025 12:45,-2.25,-2.35,-2.4,-14850,-160.55,41025,-2550,Y,11475,N,0.21
29-04-2025 12:50,20.8,17.1,18,-76350,-467.8,28500,-975,YES,-31950,Y,-0.24,24434.2,24455,29-04-2025 12:50,2.45,2.45,2.45,-372825,-26.05,91725,-44100,YES,-71475,YES,-0.24,29-04-2025 12:50,-15.65,-15.4,-15.5,2625,-160.3,39450,-27675,Y,8025,N,0.18
