last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
03-04-2025 10:55,7.5,20400,88,11,7.5,-49350,-443.5,22725,-5400,YES,-2625,Y,23340.14,23381,23388.5,23389.5,23377.6,03-04-2025 10:55,7,4121625,182,5.85,5.9,-13350,-76.5,50325,120075,N,-37050,Y,80.7,87.7,88.3,79.7,72.73,03-04-2025 10:55,-1.85,10820625,182,-1.8,-1.8,-995925,-21,112350,-232950,Y,77850,N,8.75,6.9,8.8,6.75,26.76,03-04-2025 10:55,23277.45,23291.05,23276.6,23289.1
03-04-2025 11:00,-24.05,37425,102,-23.75,-24,-30375,-509.3,24375,-11100,YES,15525,N,23340.61,23388,23363.95,23390,23362.2,03-04-2025 11:00,-14.25,5620875,181,-14.5,-14.5,68925,-71.75,52050,-123225,YES,173475,YES,87.35,73.1,88.7,71.2,72.85,03-04-2025 11:00,2.05,10587075,181,2,2,1155825,-20.5,130050,622575,YES,-609150,YES,6.85,8.9,9.1,6.65,26.28,03-04-2025 11:00,23289.35,23292.75,23265.7,23267.2
03-04-2025 11:05,-2.3,51300,136,2.3,-0.75,-65625,-941.5,28275,8250,N,6225,N,23341.03,23368.8,23366.5,23371,23357.55,03-04-2025 11:05,-0.45,5208375,181,-0.25,-0.35,-53925,-64.9,50325,49125,Y,31125,N,73.35,72.9,75.5,67.85,72.84,03-04-2025 11:05,-1.4,11045100,181,-1.4,-1.4,-1426050,-20.65,131775,-117750,Y,389775,Y,8.8,7.4,9.7,7.15,25.82,03-04-2025 11:05,23267.25,23278.15,23260.1,23276.5
03-04-2025 11:10,2.4,25725,92,2.35,1.45,-73500,-648.05,22125,-11475,YES,-4200,Y,23341.32,23366.5,23368.9,23379.95,23366.5,03-04-2025 11:10,4.6,4683525,181,4.35,4.3,-32100,-72.3,58875,15900,N,-26550,Y,73.3,77.9,81.75,72.6,72.93,03-04-2025 11:10,-0.65,8537250,181,-0.7,-0.7,715950,-21,131175,74400,YES,165000,N,7.35,6.7,7.7,6.45,25.45,03-04-2025 11:10,23276.5,23284.2,23273.3,23278.95
03-04-2025 11:15,-8.65,28725,110,-8.8,-7.45,-68775,-605.65,26250,-6900,N,-4875,Y,23341.54,23368.9,23360.25,23371.55,23357.5,03-04-2025 11:15,-4.85,3911475,181,-4.75,-4.75,49125,-65.35,51150,118575,Y,49800,YES,77.75,72.9,77.75,69.45,72.93,03-04-2025 11:15,1.45,10354650,181,1.45,1.45,1304850,-20.9,128025,284100,YES,26250,N,6.65,8.1,8.65,6.65,25.05,03-04-2025 11:15,23279.35,23279.8,23255.75,23260.4
03-04-2025 11:20,6.35,34950,129,6.75,6,-41175,-459.3,23175,8775,N,-75,N,23341.76,23360.25,23366.6,23368.4,23355.55,03-04-2025 11:20,2.85,4601625,180,3,3.05,93000,-66.55,51750,2325,YES,-67575,Y,72.8,75.65,76.7,69.35,72.93,03-04-2025 11:20,-1.05,11259750,180,-1.05,-1.05,652425,-21.45,123825,-281250,Y,-37200,YES,8.1,7.05,9.25,6.9,24.63,03-04-2025 11:20,23259.35,23269.45,23248.9,23269.2
03-04-2025 11:25,-1.05,22125,78,-0.95,3.05,18150,-530.15,19425,2400,YES,2775,N,23341.95,23366.6,23365.55,23372.95,23362.45,03-04-2025 11:25,-1.6,3259500,181,-1.35,-1.35,5925,-61.75,52350,-167400,YES,89325,YES,75.75,74.15,75.85,70.8,72.93,03-04-2025 11:25,0.05,6533400,181,0.05,0.1,522750,-19.2,110700,313725,YES,18675,Y,7,7.05,8.1,6.7,24.38,03-04-2025 11:25,23270.1,23272.6,23264.4,23272.1
03-04-2025 11:30,-1.9,18525,83,-2.1,-6.15,-37650,-510.05,23625,18975,N,375,Y,23342.09,23365.55,23363.65,23372.4,23360,03-04-2025 11:30,-2.35,3444825,182,-2.4,-2.45,93750,-62.95,59700,-35025,Y,58200,N,74.5,72.15,75.75,68.5,72.92,03-04-2025 11:30,-0.7,7430325,182,-0.65,-0.65,-1801275,-19.55,129300,-11700,Y,481950,Y,7,6.3,7.25,6.2,24.11,03-04-2025 11:30,23272.35,23275.7,23265.3,23269.6
03-04-2025 11:35,5.55,17850,89,5.65,5.6,-41925,-512.75,24000,16125,N,13500,N,23342.26,23363.9,23369.45,23377.95,23363.9,03-04-2025 11:35,1.75,4060575,181,1.7,1.7,-52800,-64.55,48900,-107475,YES,-115575,Y,72.6,74.35,80.65,72.1,72.97,03-04-2025 11:35,-0.85,10339350,181,-0.9,-0.9,-4571175,-18.25,122325,215100,YES,-528600,YES,6.25,5.4,6.35,5.1,23.71,03-04-2025 11:35,23270.45,23279.55,23269.4,23273.45
03-04-2025 11:40,10.8,13950,77,7.65,10.35,-9150,-470.9,23925,1125,YES,-975,Y,23342.41,23369.15,23379.95,23379.95,23368.2,03-04-2025 11:40,2.65,2912700,182,2.6,2.65,64725,-65.7,52200,267075,Y,2025,YES,75,77.65,77.95,71.45,72.99,03-04-2025 11:40,-0.85,8200275,182,-0.8,-0.8,-5780100,-19.95,139425,-411675,Y,699375,Y,5.35,4.5,5.5,4.5,23.39,03-04-2025 11:40,23274.15,23284.2,23272.2,23283.05
