last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume,nif_body,vix_body,,,,
28-03-2025 12:25,-4.6,73800,140,378975,73500,-8.9,-4.55,305475,-1020.55,31050,-2850,N,8700,N,23717.95,23659.5,23654.9,23667.1,23650,28-03-2025 12:25,-2.35,1410450,180,903075,929700,-2.45,-2.45,-26625,-46.9,58350,-11100,YES,36675,N,46.55,44.2,47.7,43.75,72.42,28-03-2025 12:25,2.5,211500,172,110025,95700,3.75,3.8,14325,-227.25,40875,-5025,N,-1050,YES,295,297.5,300.25,286,254.42,28-03-2025 12:25,1743144900,12.75,12.78,12.69,12.7,0,4.6,0.05,,,0.008163823,1
28-03-2025 12:30,-24.55,183375,172,383400,209700,-27.4,-27.65,173700,-796.75,33750,-49500,YES,25425,N,23714.13,23650,23625.45,23655,23622.6,28-03-2025 12:30,-1.95,1675575,180,964275,1101600,-1.75,-1.75,-137325,-43.7,47025,39750,Y,20475,N,44.05,42.1,45.5,42.1,71.8,28-03-2025 12:30,23.6,270075,170,122325,103500,23.8,24,18825,-228.9,39750,750,N,-14475,YES,298.1,321.7,322.35,293,255.62,28-03-2025 12:30,1743145200,12.69,12.8,12.67,12.8,0,24.55,0.11,,,0.043569966,1
28-03-2025 12:35,18.9,125475,164,145575,107400,22.7,21.85,38175,-868.8,31425,35175,Y,-16500,Y,23711.42,23626.1,23645,23650.5,23620,28-03-2025 12:35,1.15,3910350,180,703875,886275,1.45,1.4,-182400,-36.95,56775,87825,Y,-57375,Y,42.2,43.35,44.6,40.65,70.38,28-03-2025 12:35,-21.3,387225,174,102300,102825,-22,-22.1,-525,-242.8,39750,-14775,Y,14925,Y,321.1,299.8,326.05,298.7,257.32,28-03-2025 12:35,1743145500,12.82,12.82,12.7,12.73,0,18.9,0.09,,,0.033542662,1
28-03-2025 12:40,-0.35,50250,141,96150,52950,-0.3,-2.65,43200,-750.05,28725,6375,N,6525,YES,23710.53,23643.2,23642.85,23649.65,23631.9,28-03-2025 12:40,-0.4,1170525,180,621675,918900,-0.45,-0.45,-297225,-40.9,57525,15600,N,122100,YES,43,42.6,44.3,41.4,69.99,28-03-2025 12:40,1.35,142725,159,112200,103800,0.5,0.6,8400,-218.4,39225,675,N,-1575,YES,301,302.35,310.05,293.7,257.83,28-03-2025 12:40,1743145800,12.72,12.77,12.7,12.73,0,0.35,0.01,,,0.00062116,1
28-03-2025 12:45,4.9,64575,134,88950,89550,5.35,9.15,-600,-794.1,33900,6150,N,-3750,Y,23709.48,23642.85,23647.75,23659.9,23635,28-03-2025 12:45,0.15,1341075,179,844725,878400,0.25,0.25,-33675,-40.55,55950,-19800,YES,66300,N,42.8,42.95,44.5,41,69.54,28-03-2025 12:45,-5.95,138225,162,88725,89400,-5.05,-5.1,-675,-216.75,30750,-1950,Y,4875,N,302.35,296.4,308,290.1,258.29,28-03-2025 12:45,1743146100,12.74,12.77,12.66,12.7,0,4.9,0.04,,,0.008696246,1
28-03-2025 12:50,2,32475,119,94275,53025,4.75,2.25,41250,-588.3,28800,1350,YES,6675,N,23709.02,23652,23654,23660.85,23646,28-03-2025 12:50,0.65,1077450,181,771150,886050,0.6,0.65,-114900,-42.4,57675,-1425,N,15375,N,42.85,43.5,44.8,42.2,69.21,28-03-2025 12:50,-3.3,114600,145,100275,75750,-3.65,-3.7,24525,-207.7,39150,5850,N,10425,N,296.4,293.1,299.5,283.5,258.6,28-03-2025 12:50,1743146400,12.69,12.71,12.62,12.64,0,2,0.05,,,0.003549488,1
28-03-2025 12:55,-6.5,35025,120,56100,55725,-6.5,-5.5,375,-685.7,25500,-4425,YES,-3600,Y,23708.51,23654,23647.5,23660.9,23640.05,28-03-2025 12:55,-2.45,991575,180,859425,877875,-2.5,-2.5,-18450,-41.05,54600,38100,Y,47775,YES,43.55,41.1,44.4,40.45,68.89,28-03-2025 12:55,3.95,130050,153,110100,122025,3.75,3.8,-11925,-207.55,38625,3075,N,-7050,YES,292.95,296.9,301.95,287,258.98,28-03-2025 12:55,1743146700,12.63,12.7,12.61,12.66,0,6.5,0.03,,,0.011535836,1
28-03-2025 13:00,-40.5,118725,147,182250,92550,-39.2,-40.05,89700,-829.4,29475,-23250,YES,-11550,Y,23705.99,23647.5,23607,23648.95,23607,28-03-2025 13:00,-7.3,2360775,179,806175,1091400,-7.3,-7.25,-285225,-36.45,48075,-198975,YES,-56400,Y,40.8,33.5,40.85,33.4,68.03,28-03-2025 13:00,33.05,268875,169,123675,111375,32.7,32.75,12300,-231.1,39825,-4725,Y,-20850,YES,296.9,329.95,331.45,296.9,260.13,28-03-2025 13:00,1743147000,12.65,12.8,12.63,12.79,0,40.5,0.14,,,0.071877133,1
28-03-2025 13:05,18.1,78300,153,138300,49125,18,18.15,89175,-784.5,32700,21300,Y,5700,N,23704.38,23607,23625.1,23632.5,23605.1,28-03-2025 13:05,2.7,1426875,181,1176975,1093500,2.8,2.85,83475,-35.2,57600,121275,Y,-70500,Y,33.55,36.25,36.6,33.15,67.5,28-03-2025 13:05,-20.4,193200,166,103500,104775,-20.4,-20.55,-1275,-242.6,43575,-6750,Y,12225,Y,330.1,309.7,331,308.7,261.01,28-03-2025 13:05,1743147300,12.78,12.79,12.69,12.7,0,18.1,0.08,,,0.032122867,1
28-03-2025 13:10,-4.1,35625,124,101250,61275,-4,-1.35,39975,-783.55,27450,-16725,YES,5850,N,23703.71,23625.1,23621,23634,23613.55,28-03-2025 13:10,-0.5,1105275,180,1123650,1081200,-0.5,-0.5,42450,-33.45,53625,-10800,YES,27450,YES,36.2,35.7,37.15,34.5,67.11,28-03-2025 13:10,5.05,122250,157,100875,89250,5.65,5.55,11625,-214.55,40350,2025,N,-150,YES,310.8,315.85,322.25,305.55,261.52,28-03-2025 13:10,1743147600,12.71,12.75,12.67,12.69,0,4.1,0.02,,,0.007276451,1
