last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
07-07-2025 10:55,10.2,52200,126,186750,136350,9.6,8,50400,-973.4,42375,25350,Y,-37875,Y,25530.18,25551.8,25562,25563.2,25541.3,07-07-2025 10:55,4.6,3789450,359,610875,701100,4.35,4.3,-90225,-136.55,67725,88950,N,-35400,Y,109.95,114.55,115.5,106.7,106.51,07-07-2025 10:55,-1.45,1220025,358,384225,504675,-1.8,-1.75,-120450,-137.05,62700,-37275,Y,10950,N,130.8,129.35,135,127.8,141.26,07-07-2025 10:55,25462.45,25473.1,25456.15,25468.8
07-07-2025 11:00,-4,83850,184,142875,140700,-2.9,-3.4,2175,-846.3,37050,-19950,YES,99675,YES,25532.12,25562,25558,25570,25558,07-07-2025 11:00,-2.55,5684850,361,567375,1155300,-1.65,-1.65,-587925,-138.05,64725,-175725,YES,-50475,Y,114.4,111.85,120.1,111.5,107.09,07-07-2025 11:00,-2.15,2476050,361,674475,445275,-3.2,-3.2,229200,-129,67575,34950,YES,75975,Y,128.85,126.7,128.9,123.4,140.56,07-07-2025 11:00,25469.8,25478.75,25466.9,25467.75
07-07-2025 11:05,4.5,22875,102,58275,218025,4.2,2,-159750,-1019.8,30825,12600,Y,675,Y,25532.56,25558,25562.5,25565,25554.5,07-07-2025 11:05,1.95,2763600,350,620850,686625,2,2,-65775,-136.1,68175,120750,Y,95025,YES,112.15,114.1,116.65,111.55,107.27,07-07-2025 11:05,-1.9,1107225,347,600300,549000,-1.9,-2.05,51300,-138.05,67875,-1275,Y,60450,N,126.35,124.45,126.65,123.3,140.26,07-07-2025 11:05,25468.45,25474.35,25465.8,25473.55
07-07-2025 11:10,-15.6,66450,126,47625,150975,-17.2,-13.5,-103350,-995.9,36975,-7200,YES,5100,N,25533.27,25562.5,25546.9,25564.9,25540.6,07-07-2025 11:10,-8.8,3817950,340,557400,687600,-9.1,-9.1,-130200,-133,69750,-189375,YES,126525,YES,114.05,105.25,115.45,103.8,107.31,07-07-2025 11:10,6.6,2284950,349,586575,684225,6.8,6.85,-97650,-141.05,63225,35700,YES,-37350,YES,124.55,131.15,132.7,124,139.85,07-07-2025 11:10,25473.75,25473.75,25450.05,25457.7
07-07-2025 11:15,-5.5,12300,81,41625,82725,-0.6,-1.8,-41100,-1101.6,30375,6375,N,-18300,Y,25533.37,25549.9,25544.4,25550,25540.4,07-07-2025 11:15,-0.15,2356875,355,827475,1083600,-0.1,-0.05,-256125,-121.3,73200,97875,Y,-52800,Y,104.85,104.7,106.4,101.5,107.24,07-07-2025 11:15,-0.35,1681875,359,548175,549825,-0.65,-0.55,-1650,-140.95,67500,-18900,Y,19275,Y,131,130.65,133.05,128.4,139.59,07-07-2025 11:15,25458.9,25461.65,25453.6,25456.2
07-07-2025 11:20,-2.7,10950,70,70950,79200,-2,-2.9,-8250,-1480.1,30750,20625,N,9525,YES,25533.45,25547.6,25544.9,25550,25540,07-07-2025 11:20,0.2,1428225,346,745050,849675,0.05,0.05,-104625,-123.6,67875,17025,N,37050,YES,104.8,105,106.55,101.9,107.2,07-07-2025 11:20,1.9,1436025,343,487725,567150,2.05,2.1,-79425,-149.9,65625,36225,YES,-3300,YES,130.45,132.35,134.75,128.7,139.42,07-07-2025 11:20,25455.75,25457.5,25447.15,25452.45
07-07-2025 11:25,-0.1,21225,79,534750,75600,-2,-2.9,459150,-1239.5,33600,18900,N,-7800,Y,25533.55,25544.9,25544.8,25545,25534,07-07-2025 11:25,-2.5,1627500,323,742125,623175,-2.15,-2.15,118950,-116.45,73050,5475,N,59700,YES,104.95,102.45,105.65,100.5,107.14,07-07-2025 11:25,2.25,1467900,319,444525,621900,2,2.05,-177375,-144.1,64350,-16800,Y,-51300,YES,132.55,134.8,137.3,131.65,139.31,07-07-2025 11:25,25452.1,25455.55,25447.8,25453.65
07-07-2025 11:30,-4.6,14700,69,130050,90900,-2.2,-4.5,39150,-1227.9,32250,5475,N,13425,YES,25533.61,25544.6,25540,25544.6,25532.2,07-07-2025 11:30,-1.85,1584975,255,827475,715425,-1.7,-1.7,112050,-112.45,70875,-5550,YES,47625,N,102.7,100.85,103.3,98.65,107.04,07-07-2025 11:30,1.8,975900,240,495900,432375,1.85,1.85,63525,-146,65100,21675,YES,-11925,Y,134.5,136.3,138.2,133.3,139.26,07-07-2025 11:30,25453.3,25455.35,25446.8,25451.3
07-07-2025 11:35,-8,12750,73,78375,120225,-4.8,-5,-41850,-1389.2,32325,-1200,YES,4050,N,25533.64,25540,25532,25541.3,25530.6,07-07-2025 11:35,-2.95,2036175,259,762750,888975,-2.8,-2.85,-126225,-106.9,70725,112725,Y,52650,N,100.6,97.65,101.3,97.15,106.9,07-07-2025 11:35,1.6,1250925,252,484350,489300,1.3,1.5,-4950,-146.2,65175,-49725,Y,-11175,N,136.3,137.9,138.75,134,139.22,07-07-2025 11:35,25451.8,25454.95,25447.3,25450.55
07-07-2025 11:40,2.1,8700,58,157050,84450,3.6,1.2,72600,-826.6,25200,-3000,YES,-18525,Y,25533.66,25533,25535.1,25546,25533,07-07-2025 11:40,2.7,1589175,268,936300,709500,2.65,2.7,226800,-110.8,69675,78600,N,2925,Y,98,100.7,103.2,97.6,106.81,07-07-2025 11:40,-2.25,1090575,260,511425,578400,-2,-2,-66975,-141.85,67125,-5025,YES,13875,Y,137.8,135.55,138.4,131.45,139.15,07-07-2025 11:40,25450.85,25456.25,25449.15,25452.4
