last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-05-09 13:55:00,13.799999999999983,2074200.0,358,13.699999999999989,13.75,-123300,-291.05000000001746,62550,94050.0,YES,-37125.0,YES,247.6,261.4,265.65,246.4,246.5
2025-05-09 14:00:00,-6.249999999999972,1867500.0,330,-6.399999999999977,-6.299999999999983,-32775,-254.70000000001164,57975,-11925.0,Y,4725.0,Y,261.9,255.65,261.9,243.6,246.55
2025-05-09 14:05:00,-4.599999999999994,1353675.0,341,-5.0,-4.949999999999989,-71700,-279.8999999999942,64725,-41175.0,Y,45150.0,Y,255.5,250.9,259.9,249.0,246.63
2025-05-09 14:10:00,-3.700000000000017,1336950.0,305,-4.0,-4.149999999999977,-79500,-257.75,63900,5250.0,YES,35250.0,N,250.55,246.85,254.95,243.35,246.64
2025-05-09 14:15:00,-4.949999999999989,2593800.0,279,-4.299999999999983,-4.149999999999977,138300,-267.19999999998254,63825,-35925.0,Y,-2850.0,YES,247.0,242.05,248.2,231.7,246.53
2025-05-09 14:20:00,20.25,2792850.0,334,20.849999999999994,21.099999999999966,-88050,-282.3999999999942,70425,65325.0,YES,-102975.0,YES,242.3,262.55,263.55,239.4,246.63
2025-05-09 14:25:00,6.75,2694750.0,347,5.550000000000011,5.5,23700,-309.3500000000349,65925,-14250.0,Y,-70725.0,Y,263.5,270.25,272.4,258.45,246.94
2025-05-09 14:30:00,-18.75,2711625.0,359,-17.549999999999983,-17.849999999999994,-7350,-293.0000000000291,63675,-44775.0,Y,81750.0,Y,270.3,251.55,270.3,247.05,247.1
2025-05-09 14:35:00,-0.25,1493550.0,358,-0.14999999999997726,-0.19999999999998863,12300,-291.44999999998254,67200,14250.0,YES,89925.0,N,252.25,252.0,259.2,247.15,247.16
2025-05-09 14:40:00,-2.9499999999999886,1484175.0,358,-2.299999999999983,-2.1999999999999886,52125,-274.5999999999767,63600,-8175.0,Y,79575.0,N,251.5,248.55,256.0,243.9,247.18
2025-05-09 14:45:00,-6.449999999999989,1763850.0,359,-6.950000000000017,-7.050000000000011,20850,-268.80000000001746,62475,-43875.0,Y,36975.0,N,248.35,241.9,248.6,238.0,247.14
2025-05-09 14:50:00,1.9000000000000057,2641650.0,358,1.5,1.5999999999999943,-103125,-265.3500000000058,66150,43200.0,YES,-13950.0,YES,240.7,242.6,243.9,230.2,247.0
2025-05-09 14:55:00,-2.6000000000000227,2286825.0,356,-2.8500000000000227,-3.0500000000000114,-79275,-271.3999999999942,60525,-59775.0,Y,21825.0,Y,242.8,240.2,249.0,237.8,246.96
2025-05-09 15:00:00,11.300000000000011,3177375.0,359,10.25,10.449999999999989,9075,-298.44999999998254,60750,57825.0,YES,-74850.0,YES,240.0,251.3,257.3,240.0,247.01
2025-05-09 15:05:00,-2.6500000000000057,2403150.0,359,-2.799999999999983,-2.6500000000000057,-111975,-260.54999999998836,67575,-62625.0,Y,-16500.0,Y,250.65,248.0,251.25,237.7,246.98
2025-05-09 15:10:00,-0.19999999999998863,1592775.0,361,0.04999999999998295,-0.3499999999999943,-428700,-253.5,63000,-23250.0,YES,127800.0,Y,247.85,247.65,252.0,243.1,246.99
2025-05-09 15:15:00,-10.449999999999989,2358075.0,361,-11.200000000000017,-11.300000000000011,36675,-250.95000000001164,66900,-124950.0,Y,1125.0,YES,248.45,238.0,249.9,236.3,246.96
2025-05-09 15:20:00,-10.650000000000006,2554800.0,286,-11.799999999999983,-11.699999999999989,-28650,-280.25,64800,-114300.0,N,-236850.0,YES,237.55,226.9,243.6,222.15,246.82
2025-05-09 15:25:00,-12.099999999999994,3674175.0,249,-11.949999999999989,-10.5,116325,-321.05000000001746,74475,-100800.0,N,-242850.0,YES,227.5,215.4,229.0,201.8,246.32
