last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
13-12-2024 11:30,32.4,281400,506,165425,252775,32.4,27.55,-87350,-2948.05,45250,46875,Y,-21350,Y,24381.05,24365.6,24398,24399,24336,13-12-2024 11:35,5.4,3123050,539,698525,668750,5.25,5.15,29775,-216.85,71450,33375,N,-89525,Y,78.15,83.55,84.75,70.5,80.67,13-12-2024 11:35,-25.45,316100,486,138875,138125,-26.6,-26.95,750,-878.55,65600,-3725,Y,21775,N,355,329.55,377.2,325.8,299.36,13-12-2024 11:30,24318.9,24359.85,24286.65,24355.15,0
13-12-2024 11:35,38,402075,515,277575,246775,38,40.9,30800,-3057.55,49600,36725,N,-50450,Y,24381.81,24347,24385,24413,24336.35,13-12-2024 11:40,8.3,4027925,539,633525,639875,9.1,9.1,-6350,-219.4,73000,-44925,YES,-266550,Y,72.8,81.1,88.3,70.5,80.8,13-12-2024 11:40,-30.05,408400,508,162650,151375,-31,-31.2,11275,-860.75,67175,-7475,Y,14225,N,367.5,337.45,374.7,313.85,299.84,13-12-2024 11:35,24301.35,24375.45,24293.5,24345.4,0
13-12-2024 11:40,71.95,409200,513,272575,245325,66,71.4,27250,-3383.9,55400,41125,N,-65625,Y,24382.08,24342.05,24414,24417,24336.35,13-12-2024 11:45,14.15,4007225,539,544375,635550,14.15,14.15,-91175,-226.35,76425,38725,Y,-275000,Y,72.65,86.8,88.7,70.5,80.89,13-12-2024 11:45,-52.9,391000,510,182400,158825,-51.45,-51.9,23575,-838,68225,8325,N,6950,N,369.45,316.55,374.7,310.85,300.07,13-12-2024 11:40,24299.9,24376.2,24293.5,24364.75,0
13-12-2024 11:45,27.55,429650,522,357475,441825,20.35,23.85,-84350,-3172.4,59975,24900,N,16850,YES,24382.97,24394.2,24421.75,24423.95,24373.05,13-12-2024 11:50,4.4,3950450,540,557775,620500,5.5,5.5,-62725,-231.5,79875,51100,N,-142650,YES,84,88.4,90.5,78.3,81.07,13-12-2024 11:50,-16,369175,513,203450,159525,-16.75,-17.5,43925,-774.85,71275,10850,N,12100,N,327.25,311.25,345.45,306.3,300.19,13-12-2024 11:45,24356.15,24378.5,24330.3,24372.7,0
13-12-2024 11:50,68,469400,525,237325,582650,64.85,59.3,-345325,-2943.45,64575,31250,N,-136775,Y,24385.43,24385,24453,24453,24373.05,13-12-2024 11:55,25.3,4494725,541,619900,704675,24.2,24.35,-84775,-245.5,80950,103325,Y,-222350,Y,81.35,106.65,106.65,78.45,81.84,13-12-2024 11:55,-55.7,413350,512,214775,181500,-53.4,-53.7,33275,-760.4,77700,-3025,Y,6275,N,337.05,281.35,345.45,281.35,300.12,13-12-2024 11:50,24345.65,24417.6,24333,24417.6,0
13-12-2024 11:55,195.8,1142600,531,274925,1376875,190.05,194.5,-1101950,-2803.9,62625,54200,Y,-402000,Y,24403.63,24414,24609.8,24613.2,24405.05,13-12-2024 12:00,81.8,9080450,541,617350,691600,81.35,81.7,-74250,-290.35,75475,141725,Y,-445100,Y,87.3,169.1,174.1,85.25,88.12,13-12-2024 12:00,-118.1,1187450,524,241800,206100,-113.55,-113.95,35700,-710.7,82575,-7225,Y,24275,N,316.8,198.7,322,198,295.51,13-12-2024 11:55,24364.95,24552.8,24357,24545.3,0
13-12-2024 12:00,168.25,1593350,537,213725,1596800,169.8,171.3,-1383075,-3121.95,62575,59300,N,-430775,Y,24421.81,24421.75,24590,24650.9,24416.6,13-12-2024 12:05,72.25,13010000,541,508550,590075,72,72.15,-81525,-367.45,71300,-57575,YES,-416925,YES,88.6,160.85,195.25,88.3,95.13,13-12-2024 12:05,-101.7,3419975,536,319750,259575,-101.15,-101.1,60175,-655.5,87525,62725,YES,73125,Y,311.25,209.55,312.65,178.55,280.65,13-12-2024 12:00,24371.85,24598.8,24370.5,24542.4,0
13-12-2024 12:05,122,1530200,542,206450,1534675,122.55,125,-1328225,-3457.5,65925,69350,N,-237925,YES,24426.66,24460,24582,24650.9,24460,13-12-2024 12:10,51.6,12310350,541,395100,427775,50.4,50.4,-32675,-418.05,68750,-144425,YES,-208025,YES,106.55,158.15,195.25,106.55,96.81,13-12-2024 12:10,-66.95,4025775,541,342475,275750,-65.6,-65.95,66725,-581.25,81125,68175,N,91975,N,281.9,214.95,281.9,178.55,277.3,13-12-2024 12:05,24418.3,24598.8,24418.3,24530.7,0
13-12-2024 12:10,0.9,934950,538,192425,786425,0.95,4.5,-594000,-3543.9,63625,41400,N,-11900,YES,24429.78,24612.5,24613.4,24650.9,24551,13-12-2024 12:15,-1.4,8548675,540,364400,331900,-1.05,-0.95,32500,-428.8,70350,-205275,YES,46225,YES,174.5,173.1,195.25,132.55,98.91,13-12-2024 12:15,2.75,3901900,541,359950,300850,3.45,3.45,59100,-562.15,82300,54650,N,74350,N,198.4,201.15,228.3,178.55,274.4,13-12-2024 12:10,24545.65,24598.8,24505.05,24560.45,0
13-12-2024 12:15,57.5,526175,539,184425,358400,56.2,60.45,-173975,-3527.05,64575,114600,Y,13000,YES,24434.43,24586.45,24643.95,24649,24556.45,13-12-2024 12:20,20,6860475,541,366500,338400,19.65,19.45,28100,-424.85,69725,28350,Y,77500,YES,161.7,181.7,185,142.65,103.01,13-12-2024 12:20,-31.55,3105825,542,313650,301350,-30.85,-30.95,12300,-533.8,79225,-3250,Y,91725,N,208.75,177.2,228.3,174.55,267.16,13-12-2024 12:15,24542.85,24594.45,24505.05,24594.05,0
