last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,percentage
11-11-2024 13:30,0.686076686826908,-0.011779855452975607,-0.20734476741532432,0.31845967963528016,-0.3612724560453277,-0.21954875608534047,0.7446245807100894,-0.8135688088272437,-0.7304116055199885,700,2700,2675,-2600,-7900,38850,-3475.0,-75.0,-125,500,-1350,1100,45.4787466279831
11-11-2024 13:35,0.7350076183825478,0.07139291548467756,0.34017951290744003,-0.05330345635778721,-0.7104871472995691,0.3473124655383997,0.6715448680677777,-0.7847112331456156,-0.7512051632015553,-5075,-425,11375,12375,24825,-65925,250.0,0.0,50,200,25,-525,49.61271533761522
11-11-2024 13:40,0.9182319856027518,-0.49227819354005037,-0.25019507114534123,0.7287939149724297,-0.3369959646711307,-0.44655581309942816,0.8823839105627409,-0.8910765901931689,-0.8137522278108087,-59650,-4850,-15750,19275,76325,-86425,-175.0,75.0,-775,325,-1425,-1525,64.00292968442056
11-11-2024 13:45,0.07042050582860389,-0.1764834558534765,0.6406946963494677,-0.11639289915167428,-0.4730079851824025,0.6385240420942356,0.34492007004761666,-0.0887468339875357,-0.5687271368175768,53200,24800,24675,20400,-25950,69875,775.0,-225.0,-75,-775,-625,400,34.643529170139885
11-11-2024 13:50,0.7278874197202861,-0.5637117384769361,-0.38808592378025697,0.316822844411494,-0.8343282783303461,-0.4196970662465705,0.8185637344629386,-0.38078345355979243,-0.5384439494026797,300,3600,5825,-450,39950,-39625,-800.0,-125.0,-1500,75,-700,125,55.42582675990334
11-11-2024 13:55,0.7983235621174918,0.7605163728631968,0.4635514783800497,0.8650073568250238,-0.8173274054595009,-0.765183984477738,0.7845143172692844,-0.11555684099623191,-0.5522098215891943,22400,39625,36275,-11625,-121525,21075,-725.0,-275.0,650,-2100,200,600,65.80212377753013
11-11-2024 14:00,-0.2339145577612568,-0.2927458242851023,0.35426367254786684,0.668111229724731,-0.3785901442478713,-0.23263132319478202,0.46957963783247725,-0.4050522951792596,-0.7442649962867521,11575,4750,-22125,1650,42675,-30375,-225.0,875.0,-625,-675,650,1200,41.99059645622333
11-11-2024 14:05,0.02359089641174264,-0.5789861082680038,-0.13608847852722833,0.37649855267710564,-0.5450524359435462,0.3182434772303198,0.746109349882035,-0.27500620874501586,-0.5681782428456684,7550,4150,-9550,27275,17025,18875,-150.0,275.0,-275,250,125,-875,39.64170833922962
11-11-2024 14:10,0.9068850352737774,-0.73527851965492,-0.6014062608066971,0.4686837650724795,-0.7796184906222965,-0.16429230091165828,0.8291036712211449,-0.7502874654772871,-0.4890675505468733,-57300,7650,-30550,31425,62575,-79650,250.0,1300.0,-400,-350,75,4500,63.60692288430149
11-11-2024 14:15,0.3240238798147973,-0.1929687231759194,0.3706376837160908,-0.5306343228357324,-0.733929228128944,0.7739524289014835,0.710973757749299,-0.6836693910943371,-0.5414655307870478,-14600,-10950,75900,26125,-10825,-42250,0.0,-250.0,100,0,350,-500,54.025054957818355
11-11-2024 14:20,0.8752947059402063,0.7388843355061057,0.9297545501972087,0.938636540368719,-0.1419004602883814,-0.33033034979689246,0.9146129272950707,-0.9508054770543736,-0.9340335010100496,29650,16000,37375,9250,-78300,65900,1450.0,225.0,-4625,-350,-200,-25,75.04725386063342
11-11-2024 14:25,0.6688558609150076,-0.35790459880338915,-0.12857798953172506,0.21265675180750016,-0.8488050047612253,-0.08787834581622211,-0.1558915558266632,0.0021564411105692185,-0.19523125336058977,2475,-1700,15350,-39475,13925,475,-500.0,825.0,-425,-25,575,100,29.532864465921026
11-11-2024 14:30,0.8924396608561083,-0.4132039822298628,-0.4630917866613892,0.4139820178167601,-0.8182578383533979,-0.4818825385062498,0.7209798251890851,-0.7883670239979529,-0.31700892374117245,20000,-3975,-1575,-46350,-16300,53650,9775.0,4150.0,125,925,300,275,58.991262192799766
11-11-2024 14:35,0.5450748961015788,-0.5024238871151745,0.10167972490628485,0.43958939962814525,-0.8139430500716641,-0.7444360125762811,0.8017200209867821,-0.29024085437669594,-0.41071361793270095,2400,1400,-51875,-7050,-11675,-31650,4600.0,-4100.0,400,-125,-475,-125,51.66468292994787
11-11-2024 14:40,-0.3042318679382244,-0.6440737949927704,0.6001132247017564,0.6846927017716833,-0.7196308598401311,-0.1697230491482267,0.7090806148368501,0.6119171540969482,0.49254859109531746,7375,6825,-3875,6850,8625,-450,-25.0,375.0,1050,-275,575,350,54.84457620468787
11-11-2024 14:45,0.6202961725018363,-0.7369988792063484,-0.5691987289029262,0.7859384996603953,-0.674371633794233,-0.7968050459732536,0.5367812457775929,-0.78108884329205,-0.5890866914139906,450,2875,-8525,7175,-50,-2725,-300.0,0.0,-1725,-4500,225,-725,67.67295267247361
11-11-2024 14:50,0.27866235324338257,-0.8222842508195393,-0.23984931821763708,0.6123745352282932,-0.9103938559196791,-0.711522203066878,0.49127135152235163,0.23008030712404326,0.06813921379634973,225,950,-10000,-2825,1400,-2200,-25.0,-50.0,325,600,-1150,1000,48.49530432153505
11-11-2024 14:55,0.11560272600743732,-0.10256986254572151,-0.018584813494667403,0.40577536398570274,-0.5786995831899379,-0.13916365596548233,0.38889716641775074,-0.19576542596144914,0.20565294268776832,2175,425,-18700,8575,-2200,1675,-950.0,0.0,625,-325,-925,-1300,23.896794891732412
11-11-2024 15:00,0.6466183496016158,-0.41859802436088855,-0.0784460673348811,-0.16053729724871307,0.18498370390627805,-0.5340658600667844,0.5432324277491218,-0.31139177715409716,-0.7345255224490262,-6700,2125,29550,-15400,-22600,33375,450.0,-175.0,0,-300,-450,-1300,40.13776699857118
11-11-2024 15:05,0.3928333389289648,-0.7502459305023325,-0.018114962186420384,0.4828840963344593,-0.8466680249031008,-0.3312284919477458,0.6979241983211597,-0.4647084474439103,-0.036188987004750414,4925,-9600,2700,-25600,-27425,1750,575.0,-200.0,-250,-325,50,75,44.67551641747603
11-11-2024 15:10,0.1815424845248294,0.043951718033480136,0.15509572709773073,0.6013428458492225,-0.7348204885587101,-0.7638179569761054,0.7409132788635503,-0.6373887136587593,-0.8126784307438034,-3425,-9825,-36150,38225,38775,-52350,-1350.0,300.0,-10650,500,-675,950,51.90612938117991
