last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
25-04-2025 13:55:00,99.0,93.19999999999709,91.0,-80130.0,-2792.39999999851,13500.0,3810.0,N,900.0,N,2.889999999999418,54982.0,55081.0
25-04-2025 14:00:00,-66.79999999999563,-58.39999999999418,-64.59999999999854,3930.0,-2997.599999997765,16320.0,-5700.0,YES,9990.0,N,3.4899999999979627,55088.6,55021.8
25-04-2025 14:05:00,-127.60000000000582,-134.40000000000146,-133.60000000000582,-720.0,-3902.4000000059605,20250.0,-6780.0,YES,-4680.0,Y,1.930000000000291,55023.8,54896.2
25-04-2025 14:10:00,33.80000000000291,31.400000000001455,26.0,2310.0,-3211.7999999970198,13560.0,3510.0,N,11850.0,N,0.43999999999505235,54896.2,54930.0
25-04-2025 14:15:00,60.599999999998545,48.200000000004366,55.19999999999709,-6720.0,-2999.2000000029802,16470.0,-4410.0,YES,150.0,Y,1.0400000000008731,54926.8,54987.4
25-04-2025 14:20:00,22.599999999998545,25.19999999999709,22.0,-2640.0,-3030.5999999996275,14130.0,2250.0,N,-4290.0,Y,0.5599999999976717,54987.4,55010.0
25-04-2025 14:25:00,-44.80000000000291,-39.0,-47.0,15180.0,-2787.39999999851,12720.0,-10530.0,YES,2430.0,N,0.39999999999417923,55010.0,54965.2
25-04-2025 14:30:00,-110.39999999999418,-99.19999999999709,-108.39999999999418,-11670.0,-2161.7999999970198,12600.0,4710.0,N,5550.0,N,0.1500000000014552,54965.2,54854.8
25-04-2025 14:35:00,-24.80000000000291,-21.400000000001455,-18.599999999998545,7560.0,-3502.2000000029802,14460.0,270.0,YES,2760.0,Y,-0.5599999999976717,54854.8,54830.0
25-04-2025 14:40:00,-34.0,-31.80000000000291,-30.400000000001455,-6660.0,-2376.800000000745,15870.0,4350.0,N,-1950.0,Y,-0.5200000000040745,54828.0,54794.0
25-04-2025 14:45:00,51.0,44.19999999999709,39.80000000000291,-21090.0,-3131.60000000149,20910.0,990.0,YES,-6870.0,Y,-0.75,54794.0,54845.0
25-04-2025 14:50:00,45.0,42.19999999999709,44.19999999999709,-390.0,-2913.0,11970.0,3450.0,N,7950.0,N,0.0,54845.0,54890.0
25-04-2025 14:55:00,-22.0,-22.0,-27.400000000001455,2490.0,-2647.39999999851,12930.0,2040.0,YES,-23280.0,Y,0.13999999999941792,54890.0,54868.0
25-04-2025 15:00:00,-2.0,-6.0,-4.0,6030.0,-2824.2000000029802,11130.0,-2970.0,YES,2910.0,YES,-0.08000000000174623,54868.0,54866.0
25-04-2025 15:05:00,-6.19999999999709,-14.400000000001455,-12.0,-2070.0,-2269.0,12810.0,8400.0,N,-1740.0,Y,0.0,54866.0,54859.8
25-04-2025 15:10:00,-45.0,-53.0,-44.39999999999418,-55440.0,-1951.4000000059605,15540.0,2670.0,YES,-3600.0,Y,-0.6399999999994179,54859.8,54814.8
25-04-2025 15:15:00,-27.599999999998545,-29.19999999999709,-42.400000000001455,50730.0,-1650.6000000014901,15360.0,3360.0,N,810.0,N,-1.360000000000582,54798.6,54771.0
25-04-2025 15:20:00,-111.0,-113.0,-112.0,-79290.0,-1971.5999999977648,17640.0,-13620.0,YES,-630.0,Y,-4.9100000000034925,54771.0,54660.0
25-04-2025 15:25:00,15.599999999998545,18.0,14.0,-26220.0,-3500.2000000029802,18270.0,-28170.0,YES,-23100.0,Y,-6.369999999995343,54655.4,54671.0
