last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
07-04-2025 10:55,-51,106425,168,118500,162000,-49.75,-46.25,-43500,-1467.7,38025,-63975,YES,-8550,Y,22103.81,22117,22066,22126.9,22066,07-04-2025 10:55,-22.8,841350,175,102300,125400,-23.25,-23.3,-23100,-176.75,40350,11175,Y,17625,YES,220.7,197.9,225.1,197.75,215.37,07-04-2025 10:55,29,368550,179,68625,73500,28.5,28,-4875,-248.8,36675,-125850,Y,-12300,YES,346.05,375.05,375.25,338.65,330.54
07-04-2025 11:00,2.2,126450,160,117225,106350,4.8,3.55,10875,-1224.55,35400,1500,Y,9225,N,22103.57,22069.7,22071.9,22100,22066.5,07-04-2025 11:00,1.05,705675,180,121200,120900,0.35,0.4,300,-144.3,38475,15525,N,13950,N,196.75,197.8,213.5,196,215.11,07-04-2025 11:00,-3.8,284400,176,78750,79950,-4,-3.9,-1200,-266.7,37425,196500,YES,6600,N,375.2,371.4,375.2,357.2,331.06
07-04-2025 11:05,14.1,69150,148,89250,69150,16.7,16.3,20100,-1085.35,30450,-21825,YES,99375,YES,22103.42,22074.6,22088.7,22100,22066,07-04-2025 11:05,0.75,569100,180,102600,115575,-0.75,-0.8,-12975,-141.95,36900,5250,N,12375,N,197.25,198,203.3,193,214.8,07-04-2025 11:05,-17.2,216300,168,66825,56175,-15.05,-15.05,10650,-242.35,34650,-5175,Y,11400,N,372.2,355,374.85,347.4,331.38
07-04-2025 11:10,-20.95,61950,155,118650,74175,-19.3,-19.3,44475,-1112.95,30600,7125,Y,9675,N,22103.29,22088,22067.05,22098.05,22063.55,07-04-2025 11:10,-10.85,464250,180,110550,103200,-10.05,-10.05,7350,-144.35,36825,-8475,YES,7050,N,199,188.15,202.3,186.5,214.49,07-04-2025 11:10,17.3,141750,155,67200,69750,15.6,15.7,-2550,-249,29850,-2250,N,1350,YES,353.5,370.8,373.6,349.75,331.6
07-04-2025 11:15,-3.05,100425,167,159075,110850,-8,-4.8,48225,-1355.35,31125,62250,Y,-1050,Y,22102.94,22067.05,22064,22090,22046.1,07-04-2025 11:15,-3.45,555675,180,123000,124800,-2.85,-2.95,-1800,-145.7,38100,-6075,N,17475,N,187.85,184.4,197.2,180.95,214.03,07-04-2025 11:15,0.25,232125,171,103425,107700,0.45,0.55,-4275,-264.3,38400,-675,N,-10050,YES,370.4,370.65,382.95,354,332.03
07-04-2025 11:20,-23.45,119325,150,111300,100125,-26,-30.1,11175,-806.3,33675,-14100,YES,-108375,Y,22102.44,22059,22035.55,22069.35,22026.05,07-04-2025 11:20,-6.2,486675,179,143700,118725,-6.1,-6.1,24975,-145.45,40875,6075,N,4650,N,184.3,178.1,186.9,173.05,213.52,07-04-2025 11:20,18.7,180000,167,71700,83700,17.4,17.5,-12000,-262.7,33375,-1575,Y,-8550,N,370.65,389.35,396.5,368.05,332.45
07-04-2025 11:25,55.55,80400,157,98475,137025,54.55,56.7,-38550,-1419.5,36900,-4875,N,58350,YES,22102.14,22035.9,22091.45,22095.25,22030.05,07-04-2025 11:25,20.35,607425,180,124350,120525,19.85,20.05,3825,-135.75,40950,30675,Y,-29325,Y,178.95,199.3,199.3,176.15,213.05,07-04-2025 11:25,-32.9,173700,166,61125,58425,-32.05,-32.15,2700,-263.2,31500,-18825,Y,4500,N,388,355.1,393.55,354.05,332.78
07-04-2025 11:30,20.95,85200,165,202725,104175,18.55,17,98550,-982.6,35850,91125,Y,5250,N,22102.13,22091.5,22112.45,22116.15,22081.9,07-04-2025 11:30,11.5,921375,180,121350,106725,10.95,11,14625,-140.95,34950,-2625,YES,10425,YES,198.35,209.85,210.85,196.5,212.81,07-04-2025 11:30,-7.25,230625,177,66225,71475,-6.35,-6.4,-5250,-256.95,37650,16950,YES,6225,N,355.55,348.3,363,345.25,333
07-04-2025 11:35,-9.05,118950,159,93375,64650,-9.05,-6.1,28725,-917.35,33675,-7875,YES,-29175,Y,22102.38,22115,22105.95,22153.45,22100.2,07-04-2025 11:35,0.45,1192275,180,116250,105900,-0.45,-0.4,10350,-167.75,39825,-16050,YES,-39225,Y,209.85,210.3,234.05,205.65,213.07,07-04-2025 11:35,3.1,406500,179,64650,75900,4.55,4.5,-11250,-234.45,39900,4200,N,5325,N,348.8,351.9,357.3,327.45,333.13
07-04-2025 11:40,-34.2,85800,149,228750,85425,-31.25,-30.1,143325,-1107.1,37950,-11325,YES,4650,YES,22102.26,22109,22074.8,22111.4,22061,07-04-2025 11:40,-16.95,914250,180,128400,110925,-17.95,-17.95,17475,-150.75,39450,1200,N,12075,YES,209.35,192.4,211.15,186,212.7,07-04-2025 11:40,13.8,297525,173,70050,70650,14.6,14.5,-600,-242.05,37500,8550,N,-18825,YES,352.5,366.3,374.65,351,333.54
07-04-2025 11:45,0.15,46725,134,77850,134400,1.35,0.1,-56550,-779.45,28725,8925,Y,6450,N,22102.14,22079.85,22080,22084.15,22054.9,07-04-2025 11:45,1.7,625875,181,128925,158025,0.55,0.35,-29100,-136.45,41925,24225,Y,7800,N,192.95,194.65,196.35,182.8,212.3,07-04-2025 11:45,-1.4,194400,168,66600,70350,-1.2,-1.15,-3750,-246.85,34125,-344325,Y,9825,Y,365.1,363.7,378.1,361.1,333.85
07-04-2025 11:50,-23.8,55725,133,65550,71475,-24.45,-24.95,-5925,-708.5,31950,-225,YES,15450,N,22101.96,22080,22056.2,22080,22050,07-04-2025 11:50,-9.4,449250,178,121275,104625,-9.45,-9.15,16650,-132.7,38700,7425,N,24000,N,195.1,185.7,195.15,184.6,212.02,07-04-2025 11:50,19.95,188175,165,77100,74325,19.85,19.45,2775,-257.85,37050,16200,YES,-8475,YES,363.15,383.1,386.1,363.15,334.19
