last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price
28-03-2025 14:54,23685.45,305625,481725,300,375,23685.81111,23686.56667,28-03-2025 14:54,44.15,4442100,1251600,7275,4050,44.38076923,44.48461538,28-03-2025 14:54,258.3,660900,113775,750,600,256.6909091,257.2181818
28-03-2025 14:54,23683.1,305025,482625,225,825,23683.4,23685.59,28-03-2025 14:54,43.75,4432350,1256175,7125,5100,44.02142857,44.16428571,28-03-2025 14:54,258.6,653175,112875,450,750,258.1833333,258.7041667
28-03-2025 14:54,23683.05,305325,481200,150,450,23683.0625,23685.35,28-03-2025 14:54,43.95,4437000,1266675,8100,4575,43.66363636,43.79545455,28-03-2025 14:54,259.1,654825,113175,525,675,258.3555556,258.8888889
28-03-2025 14:54,23680.1,304650,485700,225,975,23683.03077,23684.99615,28-03-2025 14:54,43.55,4440450,1269750,3675,6750,43.73214286,43.875,28-03-2025 14:54,260,653625,113925,525,975,258.49,259.02
28-03-2025 14:54,23682.8,303300,483075,1275,2175,23680.83636,23683.83636,28-03-2025 14:54,43.3,4413450,1270650,12150,3600,43.084375,43.184375,28-03-2025 14:54,261,654525,113400,825,375,260.1846154,260.6923077
28-03-2025 14:55,23680,305100,483900,975,1875,23679.55,23682.08182,28-03-2025 14:55,42.65,4434525,1279725,3525,4350,42.76923077,42.89615385,28-03-2025 14:55,261.2,653175,116250,900,450,260.41,260.98
28-03-2025 14:55,23675.65,303300,484350,300,900,23677.05,23680,28-03-2025 14:55,42.2,4420500,1292250,4650,5700,42.35,42.48076923,28-03-2025 14:55,262.25,654450,116625,675,375,261.0535714,261.5678571
28-03-2025 14:55,23675.05,301725,485625,150,1275,23675.45556,23679.74444,28-03-2025 14:55,41.6,4411950,1304700,3750,4200,41.94230769,42.05769231,28-03-2025 14:55,263.6,656325,115425,1125,675,262.3961538,262.8615385
28-03-2025 14:55,23675,302175,483825,825,1200,23675.00385,23677.08077,28-03-2025 14:55,41.45,4427400,1300950,5475,3450,41.56538462,41.67307692,28-03-2025 14:55,264.15,654375,116025,975,450,262.8227273,263.3681818
28-03-2025 14:55,23673.35,302550,486225,450,750,23672.52143,23676.03571,28-03-2025 14:55,40.55,4408350,1305900,6300,4200,41.11071429,41.25357143,28-03-2025 14:55,267.4,652275,116175,375,600,264.7166667,265.2416667
28-03-2025 14:55,23673.65,302325,483075,1050,975,23673.825,23677.15833,28-03-2025 14:55,40.75,4412850,1271250,4650,3750,41.11785714,41.23571429,28-03-2025 14:55,263.9,650025,117150,525,450,263.715,264.28
28-03-2025 14:56,23672.9,302700,483000,1050,375,23672.715,23674.99,28-03-2025 14:56,40.7,4416975,1291575,4350,4575,40.89285714,41.01071429,28-03-2025 14:56,263.9,650025,117000,525,450,264.2538462,264.7769231
28-03-2025 14:56,23675.05,307275,480975,1050,900,23674.96538,23677.61538,28-03-2025 14:56,41.1,4428300,1277250,7350,4800,41.34615385,41.46923077,28-03-2025 14:56,263.45,649500,120075,450,525,262.45,262.9791667
28-03-2025 14:56,23673.55,302775,482700,150,1200,23674.0375,23676.9,28-03-2025 14:56,40.95,4417650,1292100,4950,6225,41.05833333,41.16666667,28-03-2025 14:56,264.4,651000,119175,525,750,263.5583333,264.1083333
28-03-2025 14:56,23683.1,306525,477750,450,900,23676.87273,23679.27727,28-03-2025 14:56,42.85,4444650,1248975,4050,6000,42.11666667,42.24166667,28-03-2025 14:56,258.4,648375,122325,525,900,260.6055556,261.1611111
28-03-2025 14:56,23678.05,307125,482475,600,600,23678.17778,23681.97778,28-03-2025 14:56,42,4424475,1235400,5250,6525,42.35769231,42.47692308,28-03-2025 14:56,261.4,648525,121875,525,750,259.935,260.485
28-03-2025 14:56,23680.9,308325,478725,525,150,23679.41923,23683.29231,28-03-2025 14:56,43.5,4450275,1208400,4200,4800,42.91923077,43.05384615,28-03-2025 14:56,257,648600,121650,600,450,258.6269231,259.1807692
