last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,n_bid_price,n_ask_price,ce_bid_price,ce_ask_price,pe_bid_price,pe_ask_price,percentage,bid_ask_diff,bid_ask_diff,bid_ask_diff
28-03-2025 13:15,0.497698016,-0.034954185,0.15072859,0.791950305,-0.097567729,-0.077888522,-0.412168797,-0.670639909,0.821956517,-3150,2325,-22350,34050,-5625,-12750,2025,75,2400,225,300,-300,-8.59861,-7.81527,-2.05,-2.04090909,8.0809091,8.0904545,39.50613965,-6.5,-0.15,-0.8
28-03-2025 13:20,0.852623644,-0.62601914,-0.577929551,0.954035809,-0.739551359,-0.821982366,0.346700164,-0.423631423,-0.380087991,4950,-3975,179925,-147825,-5625,4950,-375,600,-4875,-2475,-1050,-1725,19.825,21.5892,2.78055556,2.79722223,-17.9352273,-17.7780303,63.58401609,-6.8,-0.15,-1
28-03-2025 13:25,0.050228739,-0.49458341,0.450410489,0.329700314,-0.802571118,-0.581572588,0.379620186,-0.203604839,0.059595554,3525,5700,37200,55950,3825,225,300,150,3150,150,675,375,-12.67381,-13.49286,-1.97916667,-1.96130953,10.705,10.6916667,37.24319152,-6.85,-0.15,-0.8
28-03-2025 13:30,0.254330067,-0.69862548,0.04645512,0.164563903,-0.887525404,-0.159113034,0.676867191,-0.658166008,-0.416846437,3000,-6075,-6900,-98700,-4125,4350,75,-300,525,-2400,300,-750,24.7825,26.9475,4.07692308,4.05769231,-20.7859091,-20.7763636,44.02769605,-6.8,-0.15,-0.95
28-03-2025 13:35,0.311824389,-0.674854692,-0.340786927,0.756752125,-0.812733342,-0.647099938,0.523219273,0.067337264,0.027995554,-225,8925,-25875,21900,750,3825,1275,600,-1725,-75,-150,150,-11.76209,-10.88819,-1.76785714,-1.78571429,7.3807692,7.3346154,46.25115004,-6.65,-0.15,-0.9
28-03-2025 13:40,0.433334099,-0.024997024,-0.389852628,-0.029965566,-0.332666605,-0.480893951,-0.256558304,-0.931187999,0.282309423,-2250,-1875,-4875,1500,2475,-16800,-675,375,-750,2025,300,-300,-21.15125,-22.05625,-3.33482143,-3.34955357,17.8324675,17.8792207,35.13072886,-6.15,-0.15,-0.9
28-03-2025 13:45,0.957685897,-0.958311199,-0.921695567,-0.9211503,-0.654095739,0.486667572,0.514823833,-0.947354253,-0.558363291,-62325,11850,1212750,15525,-75,-13725,-450,975,-18825,-1050,-150,-150,-26.50909,-23.29545,-3.36915584,-3.34967532,22.1790909,22.1931818,76.89052946,-6.65,-0.15,-1.1
28-03-2025 13:50,0.145334982,-0.552039932,-0.266567854,0.348213906,-0.742800199,-0.517872044,-0.310392062,0.234028281,-0.18839133,8925,1575,25425,62550,-10125,13875,0,0,3750,3000,-1425,-75,-7.49166,-8.71666,-1.5425641,-1.53897436,6.1833334,6.15,36.72933989,-6.15,-0.1,-0.95
28-03-2025 13:55,0.723011489,-0.788555543,-0.651870257,0.593262818,-0.661142312,-0.739201738,0.413391649,-0.743313363,-0.20445464,3675,1200,-61425,114375,3075,-2250,75,-225,-3300,-1650,375,-75,0.26869,-1.00101,-0.75833333,-0.775,1.0025,0.9891667,61.31337566,-6.35,-0.15,-0.95
28-03-2025 14:00,0.883926339,-0.728061764,-0.799474423,0.58018914,0.043666842,-0.551437801,0.087298349,-0.503775769,0.365508211,-12975,7500,-7125,-78825,12450,-8025,-300,1875,-3975,-6600,-75,75,-11.13706,-13.60629,-1.37445055,-1.35906594,8.8216667,8.7725,50.48154043,-6.1,-0.1,-0.95
28-03-2025 14:05,0.62939338,-0.747440058,-0.488996721,0.428235524,-0.149248729,-0.141254348,-0.115989892,-0.477407099,0.270487853,6675,-3375,82650,-9975,1800,4950,375,-150,-1800,4125,75,150,16.98811,16.46678,1.98205129,1.96891025,-19.38,-19.4466666,38.31615117,-5.3,-0.1,-1
28-03-2025 14:10,0.647695198,-0.288131379,-0.045998186,0.490883757,-0.661906585,-0.269961443,0.597504637,-0.868064456,-0.417815756,7575,-5100,2092950,-59475,-31500,12150,0,-2175,-675,4200,-75,0,16.06958,18.21364,1.92307692,1.94038462,-14.52,-14.5927273,47.64401551,-7.15,-0.15,-0.85
28-03-2025 14:15,-0.316104762,-0.596438007,-0.184738289,0.701563554,-0.131819127,-0.288666366,0.794487545,-0.811341982,-0.626845714,-9975,-150,132750,-2625,-5625,3450,-1200,150,1125,1800,-75,0,14.62841,12.6,3.18701298,3.18701298,-13.1045455,-13.1465909,49.46672607,-7.05,-0.15,-0.9
28-03-2025 14:20,0.695095527,-0.636316457,-0.231955753,0.626009789,-0.787627611,-0.261736943,0.647011322,-0.185900564,-0.05275091,-750,-7350,-133875,-114300,1125,-5400,-375,75,-1875,-825,150,-225,11.59692,13.27154,2.56153846,2.59615384,-13.6708334,-13.7291667,45.82672084,-6.75,-0.15,-0.8
