last_traded_time,ltp,vol_traded_today,bid_size,ask_size,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
28-03-2025 11:10,23724,55650,83400,63600,19800,-1.45,31200,-7875,YES,-11400,Y,0.32,23755,23724,70.2,2110050,514200,459975,12825,-0.1,51825,-74625,YES,38850,YES,-0.09,242.7,448350,130650,122925,7725,0.2,39900,25500,YES,-24975,YES,-1.19
28-03-2025 11:15,23727.6,58800,146775,61950,84825,-2.05,33675,28650,Y,-4575,N,0.03,23725,23727.6,68.5,1688550,504075,516600,5850,-0.05,48075,99375,Y,45750,N,-0.28,242.55,330375,121200,134925,-13725,-0.15,41775,-26325,Y,225,Y,-0.38
28-03-2025 11:20,23721.5,41925,98475,75225,23250,1.85,27975,-8325,YES,15150,N,0.16,23727.6,23721.5,67.75,1779525,485175,410925,6675,-0.05,45375,-56775,YES,23850,N,-0.17,247.85,260475,133650,137475,-3825,0.05,39075,225,YES,-6075,YES,-0.48
28-03-2025 11:25,23718,73650,73425,119925,-46500,1.5,31275,-12600,YES,12225,N,-0.36,23721.5,23718,65.15,2108775,374400,441600,3450,0.1,47100,57675,Y,48975,YES,-0.48,249.9,352575,104625,117750,-13125,-0.2,41625,5550,N,2850,N,0.14
28-03-2025 11:30,23710,37350,52800,50400,2400,0.5,26025,-6375,N,12825,N,0.02,23718,23710,62.8,1680750,406200,443250,3225,0.05,42000,-29625,YES,44400,N,-0.27,254,265875,116925,122475,-5550,-0.1,42825,-13200,Y,10200,N,-0.24
28-03-2025 11:35,23732,38025,56850,68175,-11325,0.4,27675,5775,N,9600,N,0.1,23710,23732,67.5,1600500,395250,382050,5025,-0.1,45600,53850,Y,-3525,Y,-0.2,240.55,248925,120450,124650,-4200,-0.1,37800,9300,YES,-11475,YES,-0.36
28-03-2025 11:40,23703.75,32025,72525,62100,10425,-3.35,24975,-11325,YES,2850,Y,-0.08,23732,23703.75,59.7,1743375,337650,365475,2850,-0.05,39600,-71775,YES,90375,YES,-0.38,261.65,285900,138375,120600,17775,0.2,38700,-300,Y,-11775,YES,0.05
28-03-2025 11:45,23711.8,36000,124950,55875,69075,-3.05,26625,-2475,N,-7275,Y,-0.17,23703.75,23711.8,61.15,1430250,363300,371775,6075,0,41700,66600,Y,15525,N,-0.33,251.35,206775,131100,127875,3225,0,43950,3000,N,-3150,N,0.09
28-03-2025 11:50,23723.95,13350,49800,43275,6525,4,25200,6000,N,0,N,-0.02,23711.8,23723.95,63.65,968550,361725,413925,2175,0.05,40200,45825,N,11550,N,-0.19,245.7,135525,106425,126525,-20100,-0.15,36975,-7425,Y,14250,N,-0.05
28-03-2025 11:55,23721.75,17025,121425,56475,64950,-0.25,22200,3600,N,2775,N,-0.01,23723.95,23721.75,64.35,645975,369075,336300,4275,-7.11E-15,36300,19125,N,4875,N,-0.12,242.5,116250,141225,109725,31500,0.3,42600,825,N,15975,N,-0.04
