last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
27-03-2025 10:54,23583.4,204000,362925,675,150,96.15,44625600,683700,900,1575,17.2,38370750,5319225,14850,15675
27-03-2025 10:54,23584.95,208800,363750,675,525,98.15,44582700,665925,1425,600,16.5,38336250,5349900,19650,19725
27-03-2025 10:54,23584.95,214200,360300,300,1200,99.95,44606250,664125,975,1275,16.1,38278875,5454000,11700,7875
27-03-2025 10:54,23580.05,212475,358575,150,750,99.9,44605650,646125,1725,1350,16.3,38484825,5477700,9000,17100
27-03-2025 10:54,23582.4,213750,357750,150,375,100.6,44631225,647400,1575,2025,15.9,38583750,5468100,29850,16800
27-03-2025 10:54,23584.9,215550,357525,525,375,101.25,44641725,645075,2025,1350,16.1,38520375,5438700,13125,13425
27-03-2025 10:55,23585,214950,358500,300,1275,100.5,44630100,671025,1200,14925,15.95,38611875,5384250,13725,10200
27-03-2025 10:55,23588.35,211725,358650,150,150,102.2,44643600,669525,1800,1425,15.9,38567925,5435700,11850,13875
27-03-2025 10:55,23588.3,211725,360225,300,675,100.95,44644650,705375,1350,975,16.3,38695950,5423175,12600,13275
27-03-2025 10:55,23582.5,211800,361575,225,300,98.75,44631075,718950,675,1425,16.65,38689200,5376300,10200,9750
27-03-2025 10:55,23582.1,209550,362550,150,300,97.25,44626500,723900,825,1350,16.75,38708175,5352750,11175,8625
27-03-2025 10:55,23586.3,213600,358950,150,150,100.95,44609025,712950,1125,1500,15.9,38581425,5432100,15975,9450
27-03-2025 10:56,23584.6,212025,361575,225,150,97.05,44625150,728475,1425,1425,16.6,38623725,5517000,17100,10050
27-03-2025 10:56,23582.75,210900,362850,150,375,95.8,44625975,734925,975,4275,16.95,38726475,5516250,13725,15525
27-03-2025 10:56,23578.9,211050,363525,450,450,95.1,44628675,736500,525,1275,17.1,38750700,5500350,8775,9150
27-03-2025 10:56,23581.75,212025,363525,225,150,94.6,44599200,735525,675,1800,16.8,38756925,5542350,12300,9600
27-03-2025 10:56,23584.55,212475,363675,225,450,97.55,44627775,731100,1425,1800,16.2,38749425,5541525,9825,13950
27-03-2025 10:56,23579,211875,363000,75,75,95.6,44713800,729150,1350,1875,16.8,38772300,5576775,11250,15000
27-03-2025 10:57,23582.9,212175,363375,150,450,95.7,44784900,738825,1725,975,16.7,38796450,5542800,17100,9375
27-03-2025 10:57,23582.3,210450,361800,75,450,94.85,44791050,744300,1575,1725,16.9,38878575,5555475,13875,11400
27-03-2025 10:57,23578.85,213450,363000,150,150,94.75,44791275,743250,2625,825,16.85,38804700,5546175,11925,10950
27-03-2025 10:57,23579.1,212925,359625,225,225,98.5,44797350,742500,1650,1875,16.5,38742525,5575500,12750,8325
27-03-2025 10:57,23582.85,209325,353475,450,225,97.8,44776125,724650,2100,900,16.8,38727900,5556975,8925,11475
27-03-2025 10:57,23582.9,211050,352350,375,75,100.6,44794350,720300,1425,1500,15.7,38715600,5665575,17775,8775
27-03-2025 10:58,23585.4,213750,355350,600,600,101.85,44824650,684675,1425,1725,15.1,38591850,5675475,15825,12225
27-03-2025 10:58,23588,212250,354000,750,225,100.85,44818200,686475,1650,1125,15.65,38541225,5666925,17175,12525
27-03-2025 10:58,0,0,0,,,101.1,44817600,697800,3000,1350,16.05,38647725,5611950,9375,9825
27-03-2025 10:58,23586,214350,348075,750,150,103,44838375,697725,1425,2325,15.45,38602725,5626800,17250,9825
27-03-2025 10:58,23580,211050,354750,450,150,97.45,44830875,701625,2100,1575,16.5,38648250,5596125,12450,12300
27-03-2025 10:58,23587.85,211875,354900,375,450,101.55,44819550,711225,825,1500,15.15,38587500,5632950,16500,7650
27-03-2025 10:59,23585.1,212550,351525,525,75,103.45,44852325,711075,1275,2175,15.2,38573100,5665875,15525,8025
27-03-2025 10:59,23589.9,210825,350550,375,75,103.55,44858325,697875,1500,1125,15.35,38671050,5700525,10500,17475
27-03-2025 10:59,23591.45,213150,349950,225,225,106.15,44852850,663600,1650,2700,14.4,38555700,5710800,21000,12225
27-03-2025 10:59,23590.9,214125,348900,225,150,107.65,44829075,634425,1725,1800,13.65,38475975,5785050,20400,18750
27-03-2025 10:59,23592.7,213900,350100,450,150,105.3,44829375,639150,1275,1200,14,38438100,5751450,23400,18225
27-03-2025 10:59,23588.1,214275,351375,600,150,104.6,44819400,674925,1050,1650,14,38525175,5591250,22800,9675
27-03-2025 11:00,23594.95,214200,347925,525,150,108.35,44847450,671625,1050,4950,12.55,38384775,5676000,18075,9450
