last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-11-2024 12:55,23337.55,71500,-25,1225,22725,-12300,YES,5450,N,-0.18,23365,23337.55,3.25,11756725,-38525,41975,69300,-442225,YES,-115875,YES,-0.37,97.05,6185300,-900,-2275,32600,-234450,Y,-120750,YES,-0.5
21-11-2024 13:00,23357.85,35500,-825,625,16275,6075,N,-6200,Y,-0.08,23337.55,23357.85,3.95,12846400,-700,-33725,86325,95600,Y,-282525,Y,-0.37,86.65,4395950,1650,1500,31800,-122700,YES,65600,Y,-0.36
21-11-2024 13:05,23362.1,21150,0,-625,13325,-3225,YES,5175,N,0.03,23359.5,23362.1,4.75,12095550,13750,-45275,94300,367175,Y,81225,YES,-0.32,81.3,3203950,-2225,0,33175,46200,YES,-13225,YES,-0.41
21-11-2024 13:10,23367.6,13625,375,75,14875,9675,N,-2575,Y,0.01,23362.05,23367.6,5.7,11205350,-65775,-5575,99175,307275,N,-266100,Y,-0.25,79.05,2408450,850,-25,33575,-24125,Y,87250,Y,-0.31
21-11-2024 13:15,23373.6,20175,250,-75,13600,-7025,YES,2875,N,0.06,23364.05,23373.6,5.3,12101325,1375,6500,128075,-46425,YES,229975,YES,-0.26,75.15,2526250,-650,-525,40100,319175,YES,29875,N,-0.38
21-11-2024 13:20,23383.35,27375,-525,0,21800,-6675,N,-1750,Y,0.15,23370.05,23383.35,6.05,18322725,-5250,-26800,118950,62725,Y,35075,N,-0.33,68.75,4106125,-900,-425,44200,26875,N,-15625,YES,-0.74
21-11-2024 13:25,23383.65,16525,0,75,14250,2275,N,-975,N,0.1,23383.35,23383.65,6.75,14547975,5775,-10500,113075,187650,Y,-57775,Y,-0.25,67.1,3420850,700,-1050,42400,26075,N,28850,Y,-0.65
21-11-2024 13:30,23387.45,26875,-350,200,16375,4125,N,-100,N,0.16,23379.05,23387.45,7.45,14507550,-14775,21250,102775,296775,Y,118475,YES,-0.21,64.15,3193700,525,-1925,53225,85325,YES,41725,N,-0.59
21-11-2024 13:35,23370,31250,300,-175,13925,-5225,YES,3975,N,0.15,23387.45,23370,4.8,15453000,12700,18450,98100,-445850,YES,342550,YES,-0.25,71.3,3303525,1200,-700,42150,57625,N,-21700,YES,-0.54
21-11-2024 13:40,23372.1,20275,0,-75,10450,6100,N,-6400,Y,0.06,23370,23372.1,5.25,11156525,-29325,18050,97975,763225,Y,-101500,Y,-0.19,66.8,3901775,-2250,-1050,45225,527900,YES,224225,Y,-0.64
21-11-2024 13:45,23374.75,17400,50,-475,17350,10050,N,-350,N,0.05,23372.1,23374.75,4.35,12172100,-15575,34000,92450,-32900,YES,87050,YES,-0.2,66.4,2771100,-1725,-2425,38775,-103400,Y,58925,N,-0.43
21-11-2024 13:50,23382.8,11050,-125,-100,13200,-825,YES,-2275,Y,0.05,23372.95,23382.8,5.4,12133200,-12900,-3975,94375,711500,Y,-199550,Y,-0.19,61.65,3901800,-550,-575,44050,-99675,N,75000,N,-0.69
21-11-2024 13:55,23378,13975,300,0,10775,1450,N,-625,N,0.06,23382.8,23378,5.2,11339725,12150,-9175,95275,-88400,YES,135600,YES,-0.17,62.05,3231000,-1100,-950,45450,136150,YES,-11175,YES,-0.54
21-11-2024 14:00,23373.9,16525,125,50,14000,3775,N,175,N,0.07,23378,23373.9,4.15,10708700,8175,16000,103875,-45825,Y,73475,N,-0.16,64.4,2656950,2250,-1075,51550,24075,N,-12900,YES,-0.43
21-11-2024 14:05,23370.95,15800,-200,-25,9875,-5175,YES,-600,Y,0.04,23373.9,23370.95,3.5,9999250,-28925,30750,87875,-536925,YES,82175,N,-0.16,66.35,3428975,-2475,600,40875,-6225,Y,-58700,YES,-0.5
21-11-2024 14:10,23364.35,17975,0,-75,12750,3550,N,1350,N,0.04,23370.95,23364.35,3,8392350,34975,1250,111475,45825,Y,-31225,Y,-0.13,66.7,2076650,2750,-375,41325,78125,YES,7775,Y,-0.31
21-11-2024 14:15,23375.4,36800,225,0,9325,4575,N,-1000,Y,0.07,23364.35,23375.4,3.8,8944175,43425,-32800,87925,219975,Y,-635900,Y,-0.14,61.6,2565975,300,-300,39625,51700,N,55050,Y,-0.39
21-11-2024 14:20,23370,14025,-75,0,16025,125,YES,2750,N,0.04,23375.4,23370,3.25,12070950,46175,-6425,91675,823600,Y,276650,YES,-0.18,61.6,3784200,1500,-1450,50100,-23025,Y,-36025,YES,-0.61
21-11-2024 14:25,23365.8,21525,-725,1500,16150,-3300,YES,3625,N,0.05,23370,23365.8,2.9,11433950,-36575,77375,97650,35775,N,190475,N,-0.17,62.65,2540525,3050,-2925,46950,-25625,Y,-35175,N,-0.38
21-11-2024 14:30,23355,32125,-525,-200,11275,-6025,YES,-1150,Y,-0.02,23365.5,23355,1.85,17005100,10475,10175,95300,-370500,YES,6725,N,-0.27,67.6,6735625,-1525,1075,43800,-137925,Y,-149100,YES,-0.77
21-11-2024 14:35,23352.5,20950,0,375,11100,16350,Y,-2900,Y,-0.03,23358.75,23352.5,1.5,15481000,95925,-159650,94150,48500,Y,-726600,Y,-0.24,69.4,3809850,575,-175,39875,-42325,YES,68650,Y,-0.41
21-11-2024 14:40,23368.25,64775,-450,100,18800,14475,N,-75,N,-0.05,23352.5,23368.25,1.65,21578425,-8350,56775,88800,220675,Y,-124450,YES,-0.33,61.1,5810225,850,125,39475,-1585400,Y,16125,N,-0.72
21-11-2024 14:45,23349.8,56325,-700,25,14825,-19600,YES,1275,N,-0.11,23368.3,23349.8,1.35,28458525,-31800,78175,86825,-842750,YES,581125,YES,-0.4,64.6,5737625,650,2025,37550,-482325,YES,-133625,YES,-0.67
21-11-2024 14:50,23345.85,36750,0,175,13700,5400,Y,2750,N,-0.11,23349.8,23345.85,1.35,22382500,-291250,-7600,91775,34825,Y,-520175,Y,-0.3,62.35,3366675,-350,-375,36150,-156975,YES,99025,Y,-0.41
21-11-2024 14:55,23343.75,144100,-225,-175,16875,-32825,YES,13825,N,-0.74,23345.85,23343.75,1.05,31412450,-31075,119550,91300,-2053850,YES,-158750,YES,-0.4,61.25,4068625,1275,1025,46175,-3132450,Y,-67525,YES,-0.47
21-11-2024 15:00,23331.5,181375,0,75,15725,-800,Y,-1025,Y,-0.66,23343.6,23331.5,0.45,43848225,422350,388600,100225,561875,Y,835375,YES,-0.51,60.2,9246350,-1975,-1600,42450,-1893000,YES,-163375,YES,-1.21
21-11-2024 15:05,23346.8,189450,100,25,15000,-7750,YES,2000,N,-0.67,23331.5,23346.8,0.45,26245775,-158250,36575,72675,-3628000,YES,-653475,Y,-0.3,52.9,5953525,925,375,39050,-1844050,YES,-119450,Y,-0.79
21-11-2024 15:10,23355,111375,150,325,18625,4300,N,-19175,Y,-0.15,23347.7,23355,0.25,24644100,3755025,1006175,85375,-4964150,YES,1607500,YES,-0.27,52.3,6622525,0,-300,47900,-1410275,YES,-74050,Y,-0.91
21-11-2024 15:15,23355.65,88325,-75,-875,14150,-2800,YES,-50,N,0.08,23353.8,23355.65,0.1,17814600,8940750,3239850,96825,-15021025,YES,4209900,YES,-0.18,51.25,5770000,-225,-425,46000,-1628800,Y,-272775,YES,-0.79
21-11-2024 15:20,23354.55,112375,100,750,15750,-7500,YES,12325,N,0.06,23355.95,23354.55,0.05,13938825,-9115550,-3428775,119850,-19150850,YES,-4988325,Y,-0.14,50.3,2993150,1200,-1600,43650,-5011575,Y,-192000,Y,-0.39
21-11-2024 15:25,23350.85,152725,-250,-1225,20325,-48125,YES,-33975,Y,-0.09,23355,23350.85,0.05,1862625,0,247825,111700,0,Y,-623325,YES,-0.02,49.95,2187025,850,40950,60075,-13177575,Y,-297225,YES,-0.29
