last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
10-01-2025 11:35,23645,47625,-125,275,15500,34500,Y,-29500,Y,1.14,23670,23645,23672.95,23641.4,-13.45,2866200,-525,-75,-14.2,-14.25,40125,-37050,YES,63000,N,1.14,9.3,1598925,375,0,9,9.25,40950,37500,N,2925,YES,-1.66,86.95,-14145,-225,0,75.95,83.1,7095,19230,N,-7740,N,-1.03
10-01-2025 11:40,23594.1,97500,125,25,16525,48175,N,-20050,N,0.94,23640.05,23594.1,23649.9,23586.1,-26.55,3569175,-75,975,-26.25,-26.3,39750,-22575,N,22575,N,0.21,28.1,2745825,0,150,28.15,28.25,42225,-28950,Y,-46725,YES,-1.21,128.9,-37800,285,-75,125.55,128.35,9600,6225,N,-9150,Y,0.89
10-01-2025 11:45,23604.2,87250,125,0,22900,79600,Y,14250,YES,0.71,23594,23604.2,23623.95,23579.75,9.25,2628975,75,150,8.65,8.65,39825,72150,Y,24900,N,0.01,-9.5,1701075,-75,150,-8.6,-8.55,39975,-34800,Y,20775,Y,-0.47,-27.15,-27510,-15,15,-23.8,-23.1,6885,15030,N,-9630,Y,1.27
10-01-2025 11:50,23589,46200,725,-175,18100,16625,N,18625,N,0.38,23608.75,23589,23611.4,23589,-9.45,1664850,300,-75,-10.1,-10.15,45075,-26850,YES,98325,YES,-0.06,3.7,729450,-150,-75,4.2,4,40650,24825,YES,15000,N,-0.21,7.25,-9120,0,15,-0.25,2.25,6585,3375,N,-11595,Y,0.4
10-01-2025 11:55,23613.6,40650,0,0,15400,6625,N,12100,N,0.38,23589,23613.6,23624,23584,9.35,2058375,300,225,9.2,9.25,44175,66975,Y,-58425,Y,-0.1,-11.5,1075725,-675,0,-11.05,-11.15,38175,-19200,Y,14025,N,-0.38,-27.65,-11640,330,-90,-45.25,-46.7,6525,-18285,YES,-3090,N,0.47
10-01-2025 12:00,23620.7,46375,50,25,14600,28825,Y,-16400,Y,0.63,23613.6,23620.7,23635,23601.55,2.65,2038650,150,-75,2.65,2.65,47625,9675,N,18375,YES,0.1,-4.25,866025,-750,0,-4.35,-4.35,43650,58500,YES,9300,N,-0.45,11.75,-12270,-480,15,15.4,14.35,11760,-23970,YES,11070,N,0.17
10-01-2025 12:05,23583.1,35300,7650,-75,12850,53525,Y,2650,N,0.24,23620.75,23583.1,23623.35,23580,-17.5,1716075,-300,-75,-16.9,-16.9,39450,-34350,YES,56850,YES,-0.14,19.15,1017975,825,-1350,18.2,18.25,38475,-27900,Y,-29925,YES,-0.3,85.25,-26055,255,0,89.8,84.25,5730,9255,Y,-15165,Y,1.78
10-01-2025 12:10,23596.4,124725,75,75,18950,-10875,YES,88650,YES,0.22,23580.8,23596.4,23601.85,23550,8.15,2879925,675,300,8.8,9,41850,49800,Y,-43950,Y,-0.48,-7.45,2019300,-75,225,-8.2,-8.3,40275,-42675,Y,300,Y,-0.01,-41.65,-21195,45,-30,-30.55,-25.95,7335,8100,N,-15525,Y,2.23
10-01-2025 12:15,23629.4,100350,-75,25,17525,2400,N,-7575,Y,1.18,23596.4,23629.4,23637.05,23590,16.65,3421500,300,300,17.3,17.45,34350,33225,N,-93900,Y,0.24,-19.5,1479000,1125,1800,-19.9,-19.8,36450,38400,YES,53850,Y,-0.82,-48.3,-14475,-345,135,-59.4,-52.2,6225,7950,N,-6570,N,0.42
10-01-2025 12:20,23591.1,52700,125,25,16950,19675,N,5575,N,0.5,23629.55,23591.1,23634,23591.1,-14.8,2104500,75,-300,-14.5,-14.6,41625,-28650,YES,51750,YES,0.01,15.4,1301850,-75,450,14.8,14.8,41175,12075,N,-31050,YES,-0.5,90,-6405,30,0,73.3,79.35,5595,-1080,YES,-630,N,0.38
10-01-2025 12:25,23589,38250,-75,0,17200,-7175,YES,-10300,Y,0.19,23591.1,23589,23604.25,23585,-5.15,1585200,375,-75,-5.55,-5.5,43500,52425,Y,56775,N,-0.17,3.8,968850,600,75,4.3,4.45,42375,-2850,Y,1350,Y,-0.2,-13.65,-10605,-225,0,-14.5,-14.2,8040,-3300,YES,-21330,Y,0.92
10-01-2025 12:30,23576.85,39250,0,-25,18425,7250,N,-61750,Y,0.14,23589,23576.85,23609.65,23570.55,-2.85,1615800,0,-150,-2.5,-2.7,41850,-9225,YES,-19500,Y,-0.2,4.7,886425,750,450,3.4,3.55,43350,-8625,Y,-17475,YES,-0.13,39.7,-13665,0,0,36.8,35,5910,5085,N,-4470,N,1.22
