last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
05-02-2025 13:50,23837.9,14100,0.15,22800,525,YES,-33600,Y,0.04,23820,23837.9,05-02-2025 13:50,49.1,14925,-0.05,68700,55200,N,-608175,Y,-0.11,05-02-2025 13:50,-43650,-0.05,39900,-230475,Y,24900,N,-0.07
05-02-2025 13:55,23843,-36075,-1.05,30975,1350,N,-600,YES,0.47,23837.9,23843,05-02-2025 13:55,51.6,12525,0.05,62475,7875,N,-153225,YES,0.03,05-02-2025 13:55,66450,-0.1,38625,188400,YES,62475,Y,-0.26
05-02-2025 14:00,23842.05,38475,-1.9,30675,-3375,YES,3150,N,0.3,23847.9,23842.05,05-02-2025 14:00,48.5,7125,0,62700,13800,N,150000,YES,-0.04,05-02-2025 14:00,4575,-0.1,46800,26250,N,95400,Y,-0.17
05-02-2025 14:05,23829.6,21150,-2.15,26925,-750,N,2475,Y,0.1,23842.05,23829.6,05-02-2025 14:05,44,12975,0,66750,-3075,YES,64725,N,-0.08,05-02-2025 14:05,-81075,0,46500,-32100,Y,-73950,YES,-0.12
05-02-2025 14:10,23817,6525,-2.2,23100,-225,N,1650,Y,-0.02,23827,23817,05-02-2025 14:10,41.95,7500,0.05,66975,39000,Y,32400,N,-0.11,05-02-2025 14:10,-65925,-0.25,46200,-79575,Y,-78750,YES,0
05-02-2025 14:15,23816.85,-21900,-0.25,23925,3600,N,5325,N,-0.07,23817,23816.85,05-02-2025 14:15,43.05,8400,0.1,75825,100800,Y,10500,N,-0.09,05-02-2025 14:15,-49275,0,49500,-34575,YES,-62100,N,0.04
05-02-2025 14:20,23812,31725,-1.95,25650,-2250,YES,-2175,Y,-0.07,23816.85,23812,05-02-2025 14:20,42.45,19575,0,68175,11025,N,5850,N,-0.07,05-02-2025 14:20,-59925,-1.42E-14,50025,3975,YES,-10650,Y,0.05
05-02-2025 14:25,23815.8,-4650,-2.6,20325,-7350,YES,-6225,Y,-0.04,23812,23815.8,05-02-2025 14:25,43.4,10125,-0.05,62625,-13350,YES,27825,YES,-0.06,05-02-2025 14:25,-58650,-1.42E-14,43125,16125,N,-27300,YES,0.04
05-02-2025 14:30,23815,8400,-0.05,24975,5025,N,48975,YES,-0.04,23815.85,23815,05-02-2025 14:30,44.6,23475,0,143850,-86175,YES,-42075,Y,-0.06,05-02-2025 14:30,-39075,0.05,48975,16125,N,-12075,N,0.02
05-02-2025 14:35,23812,12900,-1.05,22575,-11475,YES,7200,N,-0.05,23817.3,23812,05-02-2025 14:35,43.4,24375,-0.05,133425,-124125,YES,91875,YES,-0.05,05-02-2025 14:35,24225,0.15,54675,-17250,Y,-35700,YES,0.03
05-02-2025 14:40,23808.65,42750,-2.7,33225,10350,Y,-10200,Y,-0.36,23812,23808.65,05-02-2025 14:40,44.5,6825,0.1,153225,166650,Y,-93300,Y,-0.06,05-02-2025 14:40,14100,0.1,48000,-15450,N,8025,Y,0.06
05-02-2025 14:45,23807.6,6525,-0.5,29925,-6750,YES,-5625,N,-0.37,23808.5,23807.6,05-02-2025 14:45,44.3,27150,0,123525,-49050,YES,-109275,Y,-0.04,05-02-2025 14:45,4650,-0.1,47250,-32175,Y,21600,N,0.05
05-02-2025 14:50,23807.15,29550,-2.85,31875,-10275,YES,-1575,N,-0.31,23807.6,23807.15,05-02-2025 14:50,44.4,9150,-0.1,127650,-263100,YES,-34725,YES,-0.05,05-02-2025 14:50,-6525,0.05,47325,-150,YES,-92775,YES,0.06
05-02-2025 14:55,23805,-31950,-3.45,23475,-7800,N,6900,N,-0.15,23807.15,23805,05-02-2025 14:55,43.2,9225,0,127725,39450,Y,34800,YES,-0.04,05-02-2025 14:55,-96675,0,45075,358200,YES,-64050,Y,0.03
05-02-2025 15:00,23775.55,-3450,-2.3,34575,-44325,YES,4275,N,-1.87,23807.25,23775.55,05-02-2025 15:00,39.95,9675,-0.1,124125,-236550,YES,-31575,Y,-0.21,05-02-2025 15:00,-39825,-0.15,48075,-275475,Y,-215625,YES,0.77
05-02-2025 15:05,23770.05,2850,-5.7,7725,-4275,Y,2925,Y,-0.24,23778.1,23770.05,05-02-2025 15:05,37.4,11325,-0.1,30150,-197700,Y,56100,YES,-0.06,05-02-2025 15:05,-7050,0,10500,-225,YES,-17025,Y,0.13
