last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-01-2025 11:35,23202.3,26475,150,-75,2025,-450,YES,7200,N,-0.75,23204,23202.3,-2.25,807975,-150,2175,-1.5,-1.55,54150,41925,N,16800,YES,-0.35,0.75,129000,0,75,-0.3,-0.7,15900,20250,YES,-4275,YES,0.28,4.1,22020,-135,-15,1.45,-3.85,1485,-10785,YES,25980,YES,-6.46
21-01-2025 11:40,23239,75350,1025,50,15625,9750,N,-15800,Y,-1.69,23202.3,23239,8.1,1490775,75,75,6.9,6.95,46950,112725,Y,-41025,Y,-0.61,-31.35,300750,150,75,-27.1,-27.1,44925,-24225,Y,17025,Y,0.58,97.6,25800,120,15,93.8,92.75,10455,3060,N,-25035,Y,-5.62
21-01-2025 11:45,23381.35,758425,-175,75,17975,-15500,YES,-134625,Y,10.02,23240,23381.35,39.95,13562775,-975,-1950,39.3,39.5,43500,-31425,YES,-754575,Y,0.87,-102.3,4287600,1050,-75,-102.15,-102.4,41925,49425,YES,43950,Y,-0.01,235.85,135840,75,0,233.15,236.4,10635,-300,YES,-28005,Y,4.73
21-01-2025 11:50,23400,285500,525,-25,19925,-16450,YES,5475,YES,6.87,23384.7,23400,8.85,9437775,375,0,8.7,8.75,41250,-23025,N,-233850,YES,2.44,-9.35,3667125,375,-150,-9.2,-9.25,40575,154275,YES,114675,Y,-1.83,69.95,53880,15,-75,63.8,58.7,9855,-1875,YES,-3285,YES,6.28
21-01-2025 11:55,23411.6,160000,125,-850,20025,29900,Y,95400,YES,3.06,23400.35,23411.6,4.7,4690500,-525,0,4.15,4,42600,109200,Y,-23250,YES,0.97,-0.45,2499900,0,-750,0.45,0.4,38925,3150,N,35775,N,-0.9,-35.65,32655,-135,-15,-38.5,-34.4,8970,-2175,YES,7470,N,2.73
21-01-2025 12:00,23398,71900,0,250,19475,32875,N,56975,N,1.44,23416,23398,-6.8,2990400,225,600,-7.55,-7.45,41925,-69075,YES,121125,YES,0.68,11.8,1775475,0,-450,11.1,11.05,39300,109050,YES,-23025,YES,-0.61,-24.4,10110,-105,0,-34.25,-31.8,6330,-3105,YES,11610,N,0.63
21-01-2025 12:05,23349.45,120725,100,100,19125,32575,N,-20175,Y,1.42,23398,23349.45,-17.5,4731075,450,150,-17.4,-17.45,40125,-96075,YES,56025,N,0.46,32.4,3538575,-450,-75,31.45,31.5,38475,-63525,Y,-113250,YES,0.05,-136.95,26190,0,105,-109.7,-107.7,8925,-5895,YES,-1305,Y,-0.62
21-01-2025 12:10,23320.1,68425,250,50,17275,-21775,YES,16000,YES,0.34,23349.45,23320.1,-11.85,2456700,900,225,-10.5,-10.5,40050,-27975,Y,83700,YES,0.01,20.55,1709250,600,-225,19.2,19.3,43200,17100,YES,-29250,Y,0.39,-30.5,8610,0,75,-16.25,-23,6675,4065,N,-4185,Y,-0.34
21-01-2025 12:15,23214.7,352900,-75,-50,27750,-30250,YES,54450,YES,-5.2,23321.8,23214.7,-33.75,6778125,225,975,-32.9,-33,39375,48300,Y,58500,N,-1.89,79.15,3332700,-150,0,75.9,76.05,44550,-174375,Y,-45075,YES,3.97,-170.9,48645,90,-75,-164.65,-160.15,8340,-795,YES,5025,N,-8.08
21-01-2025 12:20,23184.95,165300,-1100,-50,22700,-16425,N,48850,N,-3.35,23212.35,23184.95,-1.35,2824800,-675,525,-1.9,-1.9,45150,-32250,YES,103725,YES,-0.91,20.7,898275,450,-1950,23.8,24.55,43950,-25500,YES,-34650,N,1.39,-37.1,30330,-450,15,-41.55,-41.7,8715,23205,Y,-31515,Y,-6.11
21-01-2025 12:25,23190.3,117725,200,-125,14725,15600,Y,38975,N,-2.64,23183.3,23190.3,0.3,2036550,825,-150,0.15,0.15,49575,73725,Y,71925,N,-0.66,2,819450,-375,0,2.1,2.25,54600,-12750,N,12675,Y,1.4,-14.6,16380,-15,15,-11.05,-21.35,7755,3720,N,32895,YES,-3.61
21-01-2025 12:30,23193,94950,675,-25,16275,21725,N,-64500,Y,-2.16,23186.9,23193,0.55,1478250,900,225,0.45,0.5,49650,41175,N,107925,YES,-0.49,-5.65,393675,0,-75,-8.1,-8.15,43650,-16500,Y,8475,N,0.69,-6,22260,105,90,-3.05,-1.55,5805,-1065,YES,-1560,Y,-5.27
21-01-2025 12:35,23185.5,59175,25,0,16100,2375,YES,176500,YES,-1.25,23190.4,23185.5,0.95,1423425,2100,675,1.15,1.2,51600,76800,Y,23175,N,-0.44,2.05,349425,450,75,1.8,1.85,45525,-12900,N,-3750,YES,0.59,-37,30030,-210,-30,-40.2,-45.25,11505,-5760,YES,32640,YES,-7.58
21-01-2025 12:40,23195,52250,325,-100,17350,175,YES,6900,N,-0.98,23189.95,23195,2.7,1275750,600,0,2.65,2.7,50775,19875,N,54450,YES,-0.36,-7.45,246075,225,225,-7.5,-7.75,39450,-7575,N,-1800,N,0.39,36.25,11505,0,-45,39.2,41.05,7650,4800,N,7260,N,-2.56
21-01-2025 12:45,23197,42100,100,-75,13175,-10400,YES,44675,YES,-0.72,23190,23197,0.4,1468125,9675,2025,0.5,0.5,41625,-18225,YES,-77775,Y,-0.38,-4.25,210000,225,0,-2.2,-2.2,46350,7275,N,-7875,YES,0.32,8.75,17265,45,0,18.55,17,9960,1545,YES,34185,YES,-3.39
21-01-2025 12:50,23209.85,46350,-175,0,14950,102525,Y,-3375,Y,-0.78,23193.6,23209.85,4.2,932700,150,1200,4.1,4.1,49350,58125,Y,11850,YES,-0.24,-11.45,141675,75,-225,-11.4,-11.05,40875,-7725,Y,11475,N,0.22,18.95,5565,105,45,7.2,16.5,7020,-5100,YES,-4095,Y,-1.12
21-01-2025 12:55,23270,249375,0,150,17775,5950,N,-92950,Y,-1.35,23203.95,23270,16.3,4354875,0,-750,16.15,16.15,44775,-19350,YES,-199725,Y,-0.61,-55.85,760950,750,0,-55.6,-55.85,41025,6150,N,11025,N,0.7,126.6,34845,-45,30,141.2,130.85,7695,1455,N,1410,N,-3.99
21-01-2025 13:00,23311.2,146475,50,125,15275,4725,N,-275,YES,0.16,23267.25,23311.2,13.65,3693300,225,525,14.1,14.15,45900,-43125,YES,-76275,YES,-0.13,-29.1,610725,225,0,-30.85,-30.95,41550,26475,YES,18825,N,0.27,66.5,33975,-45,105,63.7,72.5,9420,25275,Y,-1395,Y,-1.81
