last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-01-2025 10:55,23681.95,87600,675,600,29850,12975,N,27825,YES,2.81,23667.95,23681.95,23694.95,23662.15,252.2,2059125,75,375,37725,43350,Y,-119250,Y,1.89,206.25,888900,75,-75,33750,50400,YES,13200,N,-2.02,50036.15,12630,150,0,11130,-2670,YES,-1470,Y,3.45
02-01-2025 11:00,23655,182025,300,-225,34425,-75900,YES,12150,N,1.7,23680.15,23655,23681.95,23611.2,237.1,2512275,1125,150,36900,-104250,YES,111150,YES,0.72,223.45,1859775,-75,-75,34650,-13350,Y,-28500,YES,-1.26,50022,29310,-210,30,12030,-1920,N,-10170,Y,4.86
02-01-2025 11:05,23645.55,55350,675,0,26850,22425,Y,16575,N,0.49,23655,23645.55,23660.15,23631.7,236,1087800,-450,0,35250,76125,Y,53250,N,0.2,226.05,985950,75,75,33825,17025,YES,8475,Y,-0.31,49980.95,20190,-840,150,14520,-6750,YES,14670,YES,3.58
02-01-2025 11:10,23671.35,80175,-375,75,28875,-3900,YES,4575,N,1.36,23646.75,23671.35,23679.95,23642,247.85,1720650,75,225,38925,41700,N,-33300,Y,0.73,211,945450,150,150,39600,13800,N,25800,N,-0.9,50091.65,29520,30,-210,14640,-1200,N,24330,N,7.35
02-01-2025 11:15,23687.95,64275,-75,-75,28950,3900,N,37650,YES,1.52,23677,23687.95,23695,23662.1,253.7,1847175,375,300,35550,3525,N,-36525,Y,1.17,206.3,980775,-150,150,37950,19425,N,2625,YES,-1.17,50164,46200,-90,-2850,13890,6000,N,-17670,Y,15.59
02-01-2025 11:20,23687,89400,0,-300,32475,-9225,YES,28950,N,2.33,23687,23687,23699,23677.3,255,1839375,75,0,38475,19800,N,87000,YES,1.24,203.2,1012275,450,75,40200,38700,N,29025,Y,-1.44,50197,60960,-600,90,16170,-5610,YES,6180,YES,25.63
02-01-2025 11:25,23692.7,51225,-225,0,28725,11775,Y,3075,N,1.15,23687,23692.7,23698.9,23669.3,250.05,1397925,75,-450,40875,-57450,YES,51075,N,0.63,198.05,971700,-150,300,39750,-31425,Y,16800,N,-1.38,50178,27390,180,210,14670,-240,N,300,Y,9.07
02-01-2025 11:30,23713.45,128325,-375,450,34125,17775,N,-26400,Y,3.46,23692.75,23713.45,23715,23679.9,254.65,1713075,-75,-75,37575,36900,Y,-5550,Y,0.84,173.3,1634475,300,-750,39375,-40425,Y,43575,Y,-3.07,50240,24840,-210,-870,12750,12720,N,-38940,Y,8.18
02-01-2025 11:35,23666.75,154875,0,-75,33375,6150,N,-5100,YES,3.07,23714.1,23666.75,23715.35,23626.75,240.55,2711025,-300,-150,36150,-217875,YES,10875,N,0.83,207.75,2342850,225,75,39225,50475,YES,-135975,YES,-3.03,50103.95,40140,30,30,15870,-9060,YES,-28920,N,8.83
02-01-2025 11:40,23709.95,97575,75,300,29925,83550,Y,-98625,Y,1.62,23660.2,23709.95,23710,23660.2,254.4,1993350,75,0,39150,112725,Y,-33150,Y,0.5,183,1766925,-300,150,39900,-1875,Y,109950,Y,-1.86,50160,33990,-60,0,16860,960,N,2400,YES,5.6
02-01-2025 11:45,23648.45,162750,1425,-375,31875,-50250,YES,0,YES,1.06,23710,23648.45,23710,23630,228.85,2358375,-75,75,35025,-15600,YES,162900,YES,0.01,213.2,2886900,-525,150,37500,51150,YES,-54750,YES,-1.43,49984.45,62070,1110,-30,17910,-38610,YES,10260,N,1.6
02-01-2025 11:50,23502.75,888600,150,375,40350,-192525,YES,215775,YES,-24.65,23651.6,23502.75,23674.95,23483.05,148.55,5649150,-375,75,34575,-161850,YES,11025,N,-6.37,305.8,5423625,525,-75,39750,-110025,Y,-282525,YES,6.96,49700.05,166500,-510,0,16470,-29880,N,10830,N,-37.03
