last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
13-12-2024 10:55,24306.1,178700,25,50,17525,27600,N,-22200,Y,-4.03,24276.6,24306.1,64.1,973100,1750,900,29100,-21850,YES,-7000,N,-0.59,13-12-2024 10:55,407,176800,50,-100,27600,2525,Y,11825,N,2.27,13-12-2024 10:55,52530.1,30900,0,-90,8040,-17880,YES,1125,N,-7.48,52458.6,52530.1
13-12-2024 11:00,24302.1,69900,-50,-125,14025,10650,N,10325,YES,-1.42,24307.5,24302.1,62.6,663600,25,800,27600,-3150,N,81675,YES,-0.4,13-12-2024 11:00,406.6,252050,-225,125,22025,-136750,Y,-850,YES,2.87,13-12-2024 11:00,52533,22410,270,30,7005,375,N,1770,N,-4.84,52541,52533
13-12-2024 11:05,24300.95,77850,25,25,13725,37850,Y,9750,N,-1.76,24306.65,24300.95,63.4,682625,200,1725,40975,-11975,YES,-69000,Y,-0.41,13-12-2024 11:05,416,82600,-225,-125,23400,-11575,YES,-6000,YES,0.97,13-12-2024 11:05,52552.3,22755,-255,-30,10020,-3360,YES,3405,N,-4.94,52533,52552.3
13-12-2024 11:10,24331.45,238800,-25,975,14450,4200,N,-51225,Y,-2.14,24299.95,24331.45,67.5,2323625,425,25,35425,-19800,YES,-198025,Y,-0.62,13-12-2024 11:10,379.25,247650,100,0,26550,-7750,N,-5075,N,1.94,13-12-2024 11:10,52571,62550,30,-15,9015,4605,N,-8310,Y,-9.36,52554.6,52571
13-12-2024 11:15,24368.4,151300,100,-1000,18750,-32600,YES,28800,YES,-1.43,24331.45,24368.4,77.7,1670375,75,-200,29600,39875,Y,15525,YES,-0.47,13-12-2024 11:15,356.6,110000,-25,-100,23975,8650,N,-2375,N,0.78,13-12-2024 11:15,52659.5,33990,60,15,8400,12660,N,14040,YES,-5.18,52580,52659.5
13-12-2024 11:20,24348.45,77300,-225,-75,14725,8500,Y,15400,N,-0.55,24365.6,24348.45,72.5,908075,-700,1050,22950,78625,Y,86800,YES,-0.17,13-12-2024 11:20,367.5,81675,-150,-50,22500,8900,N,7625,N,0.52,13-12-2024 11:20,52621.35,16920,0,-165,6780,-5475,YES,4830,N,-2,52659.5,52621.35
13-12-2024 11:25,24342.05,88625,200,-50,14825,14475,N,12125,N,-0.27,24347,24342.05,72.35,1078400,100,-150,24200,-90175,YES,-38600,Y,-0.12,13-12-2024 11:25,370.7,109975,-275,500,21200,-10500,Y,3025,N,0.55,13-12-2024 11:25,52616.85,18540,60,0,7530,5460,N,1560,Y,-1.93,52622.85,52616.85
13-12-2024 11:30,24398,114875,-175,-50,15700,26750,N,-55025,Y,-0.13,24342.05,24398,83.55,1131650,-525,225,24300,13050,Y,-142925,Y,-0.06,13-12-2024 11:30,329.55,120825,0,-50,21900,-625,N,6225,N,0.56,13-12-2024 11:30,52696.5,19050,75,15,7245,-2985,YES,-24855,Y,-1.65,52616.85,52696.5
13-12-2024 11:35,24385,197475,-25,0,19075,12150,N,42425,YES,0.75,24394.2,24385,81.1,1798375,-375,275,24500,6350,N,-84600,YES,0.13,13-12-2024 11:35,337.45,174600,-300,-75,24075,8700,N,7375,N,0.47,13-12-2024 11:35,52682.1,29340,-45,90,9555,9075,N,11040,YES,-1.86,52700.15,52682.1
13-12-2024 11:40,24414,96275,0,100,20625,8800,N,-900,Y,0.27,24385,24414,86.8,1056075,-50,500,27625,22500,N,-43325,YES,0.09,13-12-2024 11:40,316.55,94775,225,-175,22250,10200,N,-50,YES,0.23,13-12-2024 11:40,52725,12225,105,-90,8115,2325,YES,-18180,Y,-0.85,52682.1,52725
13-12-2024 11:45,24421.75,135825,0,-75,20275,8050,N,-9600,Y,0.89,24414,24421.75,88.4,1084400,-525,325,27750,33525,N,-11550,YES,0.18,13-12-2024 11:45,311.25,99250,-475,-475,24950,1775,Y,8100,N,0.12,13-12-2024 11:45,52735,19365,-15,30,8250,-240,YES,-1590,N,-0.97,52725,52735
13-12-2024 11:50,24453,237150,-25,475,23675,28825,Y,-115825,Y,2.46,24421.75,24453,106.65,2345425,-400,50,25575,51675,N,-171125,Y,0.77,13-12-2024 11:50,281.35,218825,-75,525,30500,-17250,Y,-2550,YES,-0.07,13-12-2024 11:50,52779.25,35760,30,240,10725,630,N,2730,N,-1,52735,52779.25
13-12-2024 11:55,24609.8,723500,-75,-2725,18675,22200,N,-222025,Y,17.64,24460,24609.8,169.1,5613125,-350,-375,22150,36325,N,-274275,Y,6.26,13-12-2024 11:55,198.7,864675,-325,-325,27125,150,N,15275,N,-4.61,13-12-2024 11:55,53070.8,178710,-15,-570,11700,-2145,YES,-53130,Y,12.76,52779.25,53070.8
13-12-2024 12:00,24590,578025,-100,-2575,20225,-8025,YES,-13125,YES,17.89,24612.5,24590,160.85,4966800,0,-50,23575,-179900,YES,35600,YES,6.94,13-12-2024 12:00,209.55,2320200,-100,-275,29900,80150,YES,52725,Y,-14.77,13-12-2024 12:00,53085,116655,-45,-165,10275,975,N,19920,YES,15.34,53091,53085
13-12-2024 12:05,24582,219450,300,1800,27025,39025,Y,23075,YES,4.84,24586.45,24582,158.15,1667950,-100,150,23025,-14125,Y,41225,N,1.67,13-12-2024 12:05,214.95,827375,-725,-25,24100,-10225,Y,22025,N,-3.34,13-12-2024 12:05,53059,39015,75,0,8145,5670,N,16575,N,3.76,53085,53059
13-12-2024 12:10,24613.4,136825,-475,-1775,16375,-1375,YES,-5450,Y,3.12,24582,24613.4,173.1,1895625,75,200,23750,-17950,YES,-31425,Y,2.09,13-12-2024 12:10,201.15,751300,225,275,28300,-12225,Y,-200,YES,-2.9,13-12-2024 12:10,53099.9,31140,0,-15,10800,4515,N,-1725,Y,3.29,53050,53099.9
13-12-2024 12:15,24643.95,169300,0,-25,21175,69700,Y,9675,N,4.63,24615.5,24643.95,181.7,3273575,850,1625,22950,53850,Y,61000,YES,4.07,13-12-2024 12:15,177.2,1511875,-525,150,26825,24200,YES,67275,Y,-7.17,13-12-2024 12:15,53166,45630,-90,30,10080,-8100,YES,4335,N,6.09,53108.35,53166
13-12-2024 12:20,24633,91750,50,50,14725,8000,N,41275,YES,2.49,24646.4,24633,176.7,2375575,-300,-2275,24675,-9000,YES,120150,YES,2.6,13-12-2024 12:20,184.1,1343625,-200,-25,29600,48700,YES,23625,N,-5.77,13-12-2024 12:20,53118.75,28845,90,-3540,10380,-4200,N,3615,N,3.7,53155,53118.75
13-12-2024 12:25,24640,227750,0,750,15475,-4425,YES,-16125,Y,6.6,24636,24640,175.5,3450875,0,325,23275,-30500,YES,-65250,Y,3.91,13-12-2024 12:25,182.4,2021550,-275,-75,26575,5325,N,128575,Y,-8.17,13-12-2024 12:25,53175.25,67890,45,30,9750,585,N,-9420,Y,10.57,53134.2,53175.25
13-12-2024 12:30,24597,135575,-50,150,17325,-32625,YES,28975,YES,2.94,24640,24597,157.2,2274900,-900,500,26775,-38925,YES,103700,YES,1.72,13-12-2024 12:30,204.6,2025725,100,325,24300,16875,N,-161750,YES,-5.03,13-12-2024 12:30,53060.1,53655,0,-105,8925,3255,N,8610,N,5.1,53175.25,53060.1
13-12-2024 12:35,24610,107250,50,-25,24600,19800,Y,-44475,Y,2.04,24596,24610,163.7,1504000,-200,-100,24425,16375,Y,95900,N,0.96,13-12-2024 12:35,199.05,1238300,-1775,-100,25750,-8625,Y,-1350,Y,-2.21,13-12-2024 12:35,53094.8,21690,105,-195,6990,8955,N,4710,N,1.89,53065,53094.8
13-12-2024 12:40,24584.2,38350,-25,-250,13150,4500,N,96975,YES,0.69,24612.55,24584.2,153.35,1155800,100,825,25500,-1375,YES,117475,YES,0.66,13-12-2024 12:40,210.35,697200,250,-475,23375,9100,N,-4325,YES,-1.02,13-12-2024 12:40,53084.35,7680,-60,90,5955,-15,YES,-855,Y,0.73,53094.8,53084.35
13-12-2024 12:45,24615,104875,-25,1775,19975,-1850,YES,-4825,Y,1.82,24588.8,24615,167.55,2099700,250,100,27200,17750,N,-212225,Y,1.17,13-12-2024 12:45,197.85,1083425,175,400,25075,-13050,Y,-17050,YES,-1.41,13-12-2024 12:45,53149.8,15180,-15,-105,7725,5550,N,-14115,Y,1.48,53084.35,53149.8
13-12-2024 12:50,24629.65,61700,0,-1550,17675,2375,N,47275,YES,1.3,24613.15,24629.65,172.65,1414825,300,75,26775,16700,N,17075,YES,1.03,13-12-2024 12:50,190.45,742550,-450,0,26825,233375,YES,37875,Y,-1.38,13-12-2024 12:50,53159.7,13320,-15,30,7305,-1425,YES,-11190,N,1.62,53149.8,53159.7
13-12-2024 12:55,24697.8,131475,275,-50,15800,-5400,YES,-31700,Y,3.34,24629.65,24697.8,209.85,2245875,-150,150,24850,59400,Y,-259900,Y,1.93,13-12-2024 12:55,160.2,1294975,-50,150,26000,12300,N,35375,N,-2.89,13-12-2024 12:55,53327.55,44715,75,0,13125,3390,N,-33255,Y,6.65,53161.3,53327.55
