last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-11-2024 11:35,24210.3,13075,75,-100,13775,575,YES,875,N,-0.2,24216,24210.3,12-11-2024 11:35,45.4,416350,375,-225,39275,-15350,YES,57875,YES,-0.12,12-11-2024 11:35,212.5,97875,50,150,22600,-8600,Y,2700,YES,0.11
12-11-2024 11:40,24200.95,28400,-125,200,15225,-64450,YES,8850,N,-0.56,24210.2,24200.95,12-11-2024 11:40,42.95,829125,-1875,450,32450,-64450,YES,5850,N,-0.29,12-11-2024 11:40,221,212200,125,400,22800,700,N,23375,Y,0.36
12-11-2024 11:45,24210,12575,75,150,11875,6900,Y,11350,N,-0.2,24200.95,24210,12-11-2024 11:45,43.65,704400,-925,-450,31425,6575,Y,17275,N,-0.24,12-11-2024 11:45,214.3,173850,50,75,21525,1975,N,-28675,YES,0.26
12-11-2024 11:50,24216.5,5250,500,-75,11000,425,YES,4275,N,-0.1,24210,24216.5,12-11-2024 11:50,45.4,406800,75,-250,32050,85975,Y,9725,N,-0.13,12-11-2024 11:50,208,131850,-150,-225,22200,-1725,Y,4600,Y,0.18
12-11-2024 11:55,24203.95,10375,-200,25,12175,1500,N,-25625,Y,-0.15,24216.5,24203.95,12-11-2024 11:55,43.95,482250,-850,-1125,31675,49800,N,-30725,Y,-0.15,12-11-2024 11:55,217.65,151975,150,-50,22700,-5775,Y,37550,Y,0.18
12-11-2024 12:00,24208.65,6175,-125,50,13650,1050,YES,6175,YES,-0.12,24204,24208.65,12-11-2024 12:00,44.15,415050,2725,1475,30950,-55125,YES,14400,YES,-0.14,12-11-2024 12:00,214.85,90650,-50,-150,20900,9200,N,4825,N,0.16
12-11-2024 12:05,24200.7,9875,900,0,12175,145075,Y,10025,N,-0.19,24208.65,24200.7,12-11-2024 12:05,42.85,457150,875,675,35400,28150,Y,18525,N,-0.15,12-11-2024 12:05,221.65,112550,150,0,22525,2725,Y,375,YES,0.16
12-11-2024 12:10,24183.85,68000,-825,-325,14350,-19050,YES,-26425,Y,-2,24202.7,24183.85,12-11-2024 12:10,41,1090075,800,-1150,35650,-140700,YES,10500,N,-0.4,12-11-2024 12:10,235.75,345975,375,-25,20875,9375,N,-56075,YES,0.85
12-11-2024 12:15,24204,22400,-100,-150,11875,-7075,N,5375,YES,-0.53,24177.6,24204,12-11-2024 12:15,44,698175,1025,200,35725,32900,Y,-17000,Y,-0.23,12-11-2024 12:15,218,225825,-25,-350,27325,-2475,Y,7250,Y,0.44
12-11-2024 12:20,24202.4,9650,-25,25,10550,46575,Y,9125,N,-0.18,24202.1,24202.4,12-11-2024 12:20,43,722325,-1625,5400,41700,32250,N,1325,N,-0.21,12-11-2024 12:20,221.95,219650,-375,0,24850,2125,N,11075,N,0.34
12-11-2024 12:25,24175.8,28600,-175,0,14175,-10600,YES,4775,N,-0.79,24202.4,24175.8,12-11-2024 12:25,40.45,922100,-500,-450,42600,-49675,YES,60300,YES,-0.31,12-11-2024 12:25,236.8,243425,-50,-25,25200,4200,N,-5025,YES,0.58
12-11-2024 12:30,24180.05,28225,50,0,11600,13050,Y,-1275,Y,-0.8,24175.8,24180.05,12-11-2024 12:30,40.45,691775,-2800,1400,30650,81450,Y,-41850,Y,-0.23,12-11-2024 12:30,233.95,245800,325,0,23200,-600,Y,575,N,0.6
12-11-2024 12:35,24183.4,13425,-75,175,13100,850,YES,14425,N,-0.34,24185,24183.4,12-11-2024 12:35,39.8,442000,1250,1450,31450,-66075,YES,-23625,N,-0.15,12-11-2024 12:35,237.45,168425,25,100,23425,-2150,Y,2425,N,0.34
12-11-2024 12:40,24135.9,158300,75,-125,18225,-425,YES,-5325,Y,-6.81,24181.45,24135.9,12-11-2024 12:40,32.35,2579600,1275,1950,30700,-160550,YES,-24100,Y,-1.15,12-11-2024 12:40,277.1,542750,100,50,21175,-4350,Y,-33625,YES,2.3
12-11-2024 12:45,24075,197050,-175,0,17675,-77000,YES,-40775,Y,-10.41,24135.9,24075,12-11-2024 12:45,29.3,1973050,-625,800,28975,-84375,Y,-31350,Y,-0.93,12-11-2024 12:45,328.65,540525,25,50,25850,-10950,Y,-69700,YES,3.25
