last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
03-12-2024 11:10,4.1,30400,25,-1500,-1.4,-0.65,13450,11175,N,10450,N,0.99,24540.45,24544.55,1.35,2491875,-75,-175,0.95,0.9,29300,-27425,88650,0.53,-2,2156125,-1575,-575,-1.35,-1.5,35250,35475,58025,-1.45,-2.4,14460,15,15,-5.95,-1.15,8685,8235,-90,2.72
03-12-2024 11:15,11.2,110325,0,0,11.2,11.9,18375,2650,YES,-27375,Y,4.06,24540,24551.2,4.85,3736400,100,-500,4.75,4.75,23975,41325,-191850,0.98,-6.9,3163525,-1225,550,-6.85,-7.05,34275,-47725,36900,-2.33,36,32325,0,-615,45.85,48,8370,480,390,7.38
03-12-2024 11:20,3,52475,75,-50,3,2.35,13125,9150,N,13125,YES,1.88,24553,24556,-0.65,3328000,0,150,-0.3,-0.25,20900,-79000,-48575,0.87,-0.95,2225075,1125,425,-1.25,-1.2,28200,43800,15150,-1.61,-4.7,16680,0,0,-4.7,-3,5550,975,8325,3.83
03-12-2024 11:25,-10.55,56450,225,275,-10,-7.35,17475,18975,N,1000,Y,1.75,24555.55,24545,-2.8,2316350,200,-825,-2.9,-3,26950,455750,100600,0.47,2.2,2175875,-100,-825,2.65,2.6,36025,10025,-20400,-1.32,-31.3,20805,360,0,-26.95,-30.5,12345,6795,1710,3.8
03-12-2024 11:30,12.55,79800,-25,100,7.05,8.7,17425,3800,N,6475,N,2.6,24545,24557.55,2.05,1627375,850,-25,1.65,1.9,24775,-32975,26600,0.36,0.65,1656150,1000,150,0.45,0.6,33200,38275,31950,-0.98,10.45,16350,1410,-15,10,8.45,10335,-525,2880,3.15
03-12-2024 11:35,-15.5,49750,100,50,-10.6,-14.5,13700,-14025,YES,7825,N,1.32,24557.5,24542,-2.85,1805725,-125,-300,-2.4,-2.45,30825,-51000,180550,0.34,2.45,1927125,-75,775,1.85,1.85,42950,19300,14450,-0.97,-49.85,16965,-75,0,-38.65,-33.15,10050,1620,4620,2.67
03-12-2024 11:40,2.45,61600,1300,-125,1.5,3.25,21150,7275,Y,-7225,Y,1.42,24543.8,24546.25,-1.65,2311925,175,250,-2.25,-2.3,29600,-71200,-10825,0.34,1.6,2753275,-625,-875,2,2,31100,-9650,-975,-1.14,9.45,13650,-135,0,2.2,-4.55,8400,2085,-1335,1.84
03-12-2024 11:45,-2.8,23500,75,50,-4.35,-2.85,12750,-7200,YES,9525,N,0.56,24546.25,24543.45,-0.4,1354700,-1525,-275,-0.1,0.05,26575,42125,92700,0.21,1.45,1615100,425,225,1.3,1.45,28850,66950,13550,-0.63,-15,8310,90,0,-8.1,-17.55,7035,-855,-3000,1.17
03-12-2024 11:50,-15,49950,250,-50,-16.2,-20.3,15150,-16600,YES,-11825,Y,0.89,24540,24525,-8.35,2701000,850,0,-7.15,-7.15,28925,-81675,30550,0.29,7.4,3800675,-450,-450,6.9,6.9,31375,10350,-108100,-1.04,-48.5,20325,-45,-135,-45.4,-35,8400,-690,-8655,1.86
03-12-2024 11:55,30.9,31775,50,250,28.9,30,14375,6600,Y,-24900,Y,0.65,24523.1,24554,15.4,3773500,-425,23875,15.45,15.35,28850,130975,-198550,0.53,-13.45,4001175,0,-75,-13.25,-13.4,30850,-116875,130625,-1.19,46.5,15870,735,30,43.4,44.55,9165,180,8415,1.51
