last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
15-05-2025 11:35,4.3,7.1,8.7,-5400,-1774.7,49125,-8550,N,30075,N,-0.4,24705,24708.4,10.85,11.1,11.25,-80400,-135.55,66975,213450,N,-67575,Y,0.25,1.7,1.65,1.6,-3900,-128.25,73350,11175,N,-143625,YES,0.2
15-05-2025 11:40,9.8,9.9,12.8,49800,-1390.9,53100,21525,Y,68625,YES,-0.14,24710.2,24715,8,8.5,8.55,57450,-136.9,60975,-37050,YES,-124575,Y,0.44,-1.1,-2.25,-2.3,23025,-120.7,68175,-21225,Y,108075,Y,0.1
15-05-2025 11:45,-10,-5.1,-8.9,-2400,-1438.2,42975,-2250,YES,27375,N,0.06,24720.4,24706.9,-12.7,-12.7,-12.75,-13725,-157.1,65700,-149775,YES,71775,YES,0.53,-5.15,-5.3,-5.4,39600,-110.95,72300,-48525,Y,100575,N,-0.12
15-05-2025 11:50,2.8,3.8,0.7,11625,-1199.1,35475,9450,N,33900,N,-0.1,24706.9,24709.7,5.45,5.6,5.55,-3750,-135.2,65775,186525,Y,35925,N,0.17,1.1,1.05,1,89925,-114.7,66450,62925,YES,14850,N,0.04
15-05-2025 11:55,-0.8,-4,-4.3,-9525,-1695.5,36975,-225,YES,-7575,Y,-0.01,24710.8,24706,-5.4,-5.6,-5.55,-50475,-146.55,63975,-30975,YES,67350,YES,0.37,-1.2,-0.5,-0.4,94575,-108.45,68175,136125,YES,47100,Y,-0.14
15-05-2025 12:00,17.5,19,20.1,57300,-1356.9,41175,-1725,YES,10425,N,-0.09,24706,24726,17.9,18.2,18.3,-66375,-138.3,68925,141750,Y,-175275,Y,0.24,-3.85,-4.05,-4.1,50850,-116.95,69900,-69000,Y,-103125,YES,0.02
15-05-2025 12:05,44.3,43.2,44.3,-22125,-1442.4,42750,-17775,YES,-1125,Y,0.7,24727,24771.3,46,45.05,45.2,-39600,-201.1,60225,-226125,YES,-323550,Y,1.18,-16.5,-16.1,-16.15,-49725,-100.25,75375,-242775,Y,299550,Y,-0.38
15-05-2025 12:10,-27.5,-32.1,-29.5,33825,-1513.4,41625,57825,Y,11025,N,0.3,24771.2,24744.9,-31.4,-31.8,-31.75,-67875,-199.65,60375,-197550,Y,133050,YES,0.55,9.25,9.7,9.7,-7650,-102.1,72000,171900,YES,-54750,YES,-0.29
15-05-2025 12:15,22.5,26.9,23.5,-6225,-1772.8,49950,-38100,YES,16500,N,1.83,24744.9,24767,11.75,13.2,13.15,-300,-233.5,56550,-180150,N,-81000,Y,1.02,-19.4,-19.65,-19.6,23400,-86.9,81450,-172200,Y,217575,Y,-0.87
15-05-2025 12:20,-31.6,-33,-32.9,42600,-1519.8,50925,53325,Y,33150,N,0.16,24767,24735.4,-35.5,-35.65,-35.65,-32925,-191.9,62250,59325,Y,98325,YES,0.35,8.25,8.65,8.7,-77025,-93.7,77250,-70725,YES,-198750,YES,-0.59
15-05-2025 12:25,-20.5,-19.3,-24.8,36450,-1442.3,46800,-8325,YES,50625,N,-0.02,24735.5,24715,-20.05,-19.45,-19.5,-50700,-141.45,65250,272925,Y,296550,YES,0.03,-0.3,-0.7,-0.65,39075,-101.9,80325,301650,YES,164475,Y,-0.55
15-05-2025 12:30,11.2,9,5.5,-4575,-1236.6,30975,7500,N,33075,N,-0.03,24715.8,24727,10.15,10.85,10.95,13050,-133.8,68700,77550,N,-525,Y,0.05,3.6,3.5,3.55,89325,-100.05,70950,308400,N,-107400,YES,-0.32
15-05-2025 12:35,37.1,39,41.8,-44325,-1349.4,36975,54675,Y,-11700,Y,0.51,24726,24762,35.65,36.2,36.3,-10125,-181.8,65925,-311700,YES,-368025,Y,0.49,-16.1,-16.6,-16.65,-67950,-82.85,76800,-70275,Y,249825,Y,-0.63
15-05-2025 12:40,-38,-41,-38.1,71100,-1345.4,34350,51375,N,-79500,Y,0.08,24762,24724,-45.5,-46.4,-46.55,-35475,-159.6,63900,23250,Y,212625,YES,0.17,2.6,5.15,5.05,154425,-82.85,81900,-120450,Y,-66975,YES,-0.65
15-05-2025 12:45,6.9,0.9,4.8,-14100,-1257.9,37425,21450,N,52275,YES,-0.01,24721.6,24728,1.7,1.95,2,-47100,-135.85,66225,183825,Y,178125,N,-0.01,0,-0.55,-0.55,20850,-85.5,73725,29400,YES,67800,Y,-0.52
15-05-2025 12:50,24.4,24.5,23.5,34350,-1354.5,37275,-525,YES,71025,N,0.07,24727.7,24752.5,25.6,25.55,25.6,26850,-154.3,62325,-90225,YES,-229275,Y,0.25,-4.6,-4.45,-4.45,-69225,-82.35,76350,109800,YES,79425,N,-0.52
15-05-2025 12:55,10.5,3,5.7,17625,-1418.8,31950,-16275,YES,26025,N,0.16,24752.5,24761.3,10.55,12.6,12.6,-23250,-205.6,61050,-110925,YES,-59850,YES,0.32,0.7,0.35,0.3,-15525,-78.4,71325,139350,YES,112200,Y,-0.37
15-05-2025 13:00,35.1,38.3,39.9,-47625,-1680,47700,-4725,N,-51075,Y,1.91,24762.9,24799,43.5,41.95,42.2,-18150,-276.55,58050,-101700,N,-160425,Y,0.91,-12.4,-12.35,-12.45,58500,-73,82575,-196125,Y,147225,Y,-1.22
15-05-2025 13:05,62,63.4,65.1,-331200,-1534.3,51600,21375,Y,-206100,Y,9.95,24798,24860,75.8,74.95,75.3,-27150,-428.1,62475,-1753950,YES,-227625,Y,1.43,-6.5,-6.85,-6.85,-91500,-55.45,81900,-161850,YES,-62025,YES,-1.44
