last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
29-05-2025 12:00,14.5,10.2,11.8,-145725,-784.8,49575,-20625,YES,-8100,Y,-1.44,24725.2,24739.7,3.35,3.4,3.45,103275,-35.45,91500,120525,Y,-547200,Y,-0.22,-8.75,-8.8,-8.8,10650,-178.75,48825,6675,N,24300,Y,0.38,17.2,26.8,13.8,-5100,-3463.2,20820,-2940,YES,3960,N,-1.93,55160.2,55177.4
29-05-2025 12:05,-4.1,-5.7,-7.6,22050,-861.1,33525,39525,Y,-26850,Y,-0.6,24736.2,24732.1,-1.15,-1.15,-1.2,65175,-37.55,89100,19500,N,13725,YES,-0.23,3.8,3.4,3.35,-72225,-188.25,50100,-39600,Y,-10200,YES,0.42,0.4,0.6,0,31860,-1380.8,17580,-4170,YES,2070,Y,-2.45,55177.4,55177.8
29-05-2025 12:10,0.7,-0.4,-0.1,-7875,-983.5,34800,-8700,YES,26475,YES,-0.55,24732.1,24731.9,0.25,0.25,0.2,-25500,-35.8,91350,33600,N,91800,YES,-0.16,3.45,3.85,4,-37950,-179.65,49575,77625,YES,-6225,N,0.13,-0.4,-7.4,-3.8,16350,-1927,11220,1890,N,-1590,Y,-1.8,55177.8,55177.4
29-05-2025 12:15,-4.4,-3.9,-6.5,4050,-633.5,29850,-900,N,-15675,Y,-0.74,24730.2,24725.8,-2.75,-2.75,-2.75,-101850,-33.85,95325,-101850,YES,6675,N,-0.2,0.25,0.1,0.2,-17475,-179.65,48975,-3000,Y,300,N,0.21,-13,-10.2,-18.6,9900,-3856,13680,-120,YES,-7830,Y,-2.73,55170.6,55157.6
29-05-2025 12:20,5.1,3.9,10.1,5700,-838.6,31575,8625,N,-4050,N,-0.56,24725,24730.1,-0.75,-0.75,-0.75,-128550,-32.8,100500,120675,Y,-80100,Y,-0.2,-7.1,-7.65,-7.55,-1125,-174.05,67050,41925,YES,18075,N,0.24,11.2,17.8,14,-37890,-1542.8,13650,-2100,YES,5940,N,-2.36,55157.6,55168.8
29-05-2025 12:25,14.2,9,8.2,109275,-1279.1,32775,-14625,YES,15675,N,-0.47,24730.2,24739.2,3.7,4,3.95,-7950,-35.2,109650,9900,N,-111825,Y,-0.22,-3.4,-4,-3.95,4200,-167.7,48825,-2175,Y,15075,N,0.32,21.6,30.6,21,-19470,-1833.6,11790,-1830,N,-4500,Y,-3.6,55174,55195.6
29-05-2025 12:30,-9.2,-10.3,-13.4,23250,-978.5,40725,-6225,N,-9375,Y,-0.59,24739.2,24727.9,-1.6,-1.5,-1.5,-56400,-33.55,73350,137700,Y,-36225,YES,-0.14,7.55,8.25,8.3,21975,-185.2,52725,7425,N,-29400,YES,0.23,-9.6,-5.2,-9,-35730,-1478.4,9960,990,N,1650,N,-1.92,55195.6,55186
29-05-2025 12:35,-59.3,-61.4,-60.3,-178575,-693.5,52500,-57525,YES,450,N,-2.37,24727.9,24668.6,-5.5,-5.4,-5.4,125700,-30.8,85500,-329625,YES,10800,YES,-0.32,53.7,51.4,51.7,3675,-187.7,48675,-14400,Y,-93900,YES,0.87,-88,-99.6,-85.8,-4050,-1214.4,10740,-16230,YES,-2160,Y,-5.77,55186,55098
29-05-2025 12:40,26.1,29,26.2,-39450,-1142,67050,47625,Y,-2775,Y,-4.38,24663.9,24690,-1,-0.95,-1.1,-40425,-24.5,94200,-1875,Y,-124800,Y,-0.46,-27.7,-27.9,-30.1,17250,-234.6,48750,-170625,Y,68775,Y,0.79,28,37.4,36,-12600,-2832.8,14940,13440,Y,1440,N,-4.89,55091,55119
29-05-2025 12:45,13.9,14.5,16,-9450,-877,37875,2925,YES,-28800,Y,-1.99,24690,24704.4,0.3,0.25,0.25,-443925,-24.35,132900,63000,Y,180300,YES,-0.31,-18.65,-18.85,-18.85,-18000,-188.95,54975,-127050,YES,12525,N,0.53,18.2,19.6,23.2,-33630,-2309.6,11100,-7680,YES,-2160,Y,-4.97,55126.8,55145
29-05-2025 12:50,4.4,4.9,7.9,-288675,-699.8,41700,14850,N,6975,YES,-0.72,24704.4,24712.8,-0.65,-0.7,-0.7,-1298925,-24.2,147900,98025,Y,-94650,Y,-0.33,-7.85,-7.55,-7.65,-15225,-199.6,49875,3600,YES,12825,N,0.31,29.4,32.8,28.2,3420,-2003.6,15060,6210,N,-5640,Y,-2.06,55145,55174.4
