last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
03-04-2025 10:55,7.5,11,7.5,-49350,-443.5,22725,-5400,YES,-2625,Y,0.33,23381,23388.5,7,5.85,5.9,-13350,-76.5,50325,120075,N,-37050,Y,0.2,-1.85,-1.8,-1.8,-995925,-21,112350,-232950,Y,77850,N,-0.52,30.4,26.1,32.9,4110,-2031.05,7440,-3300,YES,2940,N,1.94,51673.8,51704.2
03-04-2025 11:00,-24.05,-23.75,-24,-30375,-509.3,24375,-11100,YES,15525,N,0.46,23388,23363.95,-14.25,-14.5,-14.5,68925,-71.75,52050,-123225,YES,173475,YES,0.12,2.05,2,2,1155825,-20.5,130050,622575,YES,-609150,YES,-0.48,-64.15,-55.15,-63.25,-15690,-1591.2,9090,-4140,YES,1920,Y,2.07,51713.25,51649.1
03-04-2025 11:05,-2.3,2.3,-0.75,-65625,-941.5,28275,8250,N,6225,N,0.41,23368.8,23366.5,-0.45,-0.25,-0.35,-53925,-64.9,50325,49125,Y,31125,N,-0.01,-1.4,-1.4,-1.4,-1426050,-20.65,131775,-117750,Y,389775,Y,-0.46,54.35,41.15,49.95,-8730,-1971.4,8970,17040,Y,20280,N,1.53,51650,51704.35
03-04-2025 11:10,2.4,2.35,1.45,-73500,-648.05,22125,-11475,YES,-4200,Y,0.28,23366.5,23368.9,4.6,4.35,4.3,-32100,-72.3,58875,15900,N,-26550,Y,0.09,-0.65,-0.7,-0.7,715950,-21,131175,74400,YES,165000,N,-0.37,40.65,49.85,40,5580,-2102.05,8460,-1230,YES,3570,N,2.51,51704.35,51745
03-04-2025 11:15,-8.65,-8.8,-7.45,-68775,-605.65,26250,-6900,N,-4875,Y,0.21,23368.9,23360.25,-4.85,-4.75,-4.75,49125,-65.35,51150,118575,Y,49800,YES,0,1.45,1.45,1.45,1304850,-20.9,128025,284100,YES,26250,N,-0.4,-39,-41.5,-39,-15390,-1903,10110,-2130,YES,6720,N,2.54,51745,51706
03-04-2025 11:20,6.35,6.75,6,-41175,-459.3,23175,8775,N,-75,N,0.22,23360.25,23366.6,2.85,3,3.05,93000,-66.55,51750,2325,YES,-67575,Y,0,-1.05,-1.05,-1.05,652425,-21.45,123825,-281250,Y,-37200,YES,-0.41,-0.7,8.7,10,-28560,-1768,7950,-2880,YES,750,Y,1.33,51709,51708.3
03-04-2025 11:25,-1.05,-0.95,3.05,18150,-530.15,19425,2400,YES,2775,N,0.19,23366.6,23365.55,-1.6,-1.35,-1.35,5925,-61.75,52350,-167400,YES,89325,YES,0,0.05,0.05,0.1,522750,-19.2,110700,313725,YES,18675,Y,-0.24,-18.55,-25.05,-12.35,-3000,-1162.8,6840,1350,N,6930,N,0.65,51708.3,51689.75
03-04-2025 11:30,-1.9,-2.1,-6.15,-37650,-510.05,23625,18975,N,375,Y,0.14,23365.55,23363.65,-2.35,-2.4,-2.45,93750,-62.95,59700,-35025,Y,58200,N,-0.01,-0.7,-0.65,-0.65,-1801275,-19.55,129300,-11700,Y,481950,Y,-0.27,-17.45,-16.95,-19.25,-10950,-2066.95,8940,18570,N,-4860,Y,1.28,51685.45,51668
03-04-2025 11:35,5.55,5.65,5.6,-41925,-512.75,24000,16125,N,13500,N,0.17,23363.9,23369.45,1.75,1.7,1.7,-52800,-64.55,48900,-107475,YES,-115575,Y,0.05,-0.85,-0.9,-0.9,-4571175,-18.25,122325,215100,YES,-528600,YES,-0.39,32.55,32.25,30.05,17610,-2500,6930,-1350,YES,-930,N,0.65,51668,51700.55
03-04-2025 11:40,10.8,7.65,10.35,-9150,-470.9,23925,1125,YES,-975,Y,0.14,23369.15,23379.95,2.65,2.6,2.65,64725,-65.7,52200,267075,Y,2025,YES,0.02,-0.85,-0.8,-0.8,-5780100,-19.95,139425,-411675,Y,699375,Y,-0.31,6.4,8.15,5,4920,-2311.3,8010,1920,N,2040,N,0.62,51707.55,51713.95
03-04-2025 11:45,-3.25,-3.25,0,134700,-475.5,23175,-4050,YES,3375,N,0.34,23379.4,23376.15,-0.35,-0.35,-0.45,-3675,-66.45,54900,-56025,YES,52200,YES,0.03,0.2,0.15,0.15,-6781725,-19.05,138300,453600,YES,-414525,YES,-0.28,-11.1,-13.05,-15.45,-22260,-1280.4,8520,-1290,YES,3870,N,0.66,51713.95,51702.85
03-04-2025 11:50,10.2,10,6.85,-120900,-515.35,25650,900,N,-4275,Y,0.21,23376.15,23386.35,7.75,7.65,7.7,-88425,-65.6,51300,-32175,Y,-238800,Y,0.12,-0.3,-0.3,-0.3,-1263300,-18.95,129225,-184800,Y,70425,Y,-0.26,44.15,38.8,38.45,-55620,-1316.65,9840,2220,N,-7230,Y,2.51,51702.85,51747
03-04-2025 11:55,0.85,0.7,0.3,675,-295.5,25650,150,YES,2475,N,0.5,23386.35,23387.2,-4.15,-4.25,-4.3,29025,-71.5,52350,-138075,YES,175500,YES,0.1,-0.15,-0.2,-0.2,-208725,-18.8,131550,157125,YES,6075,N,-0.19,-17,-19.9,-17,-7590,-2163.25,8040,1080,YES,2010,N,1.27,51747,51730
03-04-2025 12:00,-2,-1.4,-2.05,18375,-125.4,21225,1800,N,3225,N,0.67,23387.75,23385.75,-0.25,-0.05,0.05,-58575,-67.85,53325,-43800,Y,-48675,Y,0.07,-0.3,-0.25,-0.25,2018475,-18.7,127200,-413550,Y,402825,Y,-0.22,9.6,2.35,-11.2,5880,-2105.15,7440,-330,YES,2580,N,0.75,51720.4,51730
03-04-2025 12:05,-2.45,-2.6,-4.7,4950,-365.25,24150,2850,N,14325,N,0.48,23385.75,23383.3,-3,-2.85,-2.85,-17175,-66.45,54450,-32550,N,78975,YES,0.03,0.4,0.35,0.35,7547700,-19.45,130725,938700,YES,-908400,YES,-0.2,-13.1,-13.1,-2.5,-5880,-2519.75,7530,-6720,YES,4200,N,0.65,51727.2,51714.1
03-04-2025 12:10,-9.95,-11,-10.25,19500,-249.3,21075,-4050,YES,-825,Y,0.38,23383.3,23373.35,-3.25,-3.65,-3.7,87975,-65.95,57525,-46200,YES,-15525,Y,0.03,0.7,0.7,0.7,6234300,-20.05,137175,85800,N,-374700,Y,-0.2,0.45,-2.5,-11.25,-14880,-1957.45,7590,-2280,N,-1440,Y,1.17,51714.1,51714.55
03-04-2025 12:15,-0.35,0.2,-0.35,17925,-250.9,26625,3975,N,-6975,Y,0.43,23373.35,23373,-0.2,0.3,0.4,18450,-60.7,52800,51225,Y,-35700,Y,0,-0.6,-0.6,-0.6,3042525,-19.8,137475,-1267050,Y,742500,Y,-0.24,-14,-11.75,-14,-29190,-1942.95,7620,-2850,YES,-2760,Y,0.97,51722,51708
03-04-2025 12:20,-6.8,-6.65,-4.45,7350,-539.15,22350,-5775,YES,-5475,N,0.1,23376,23369.2,-6,-5.75,-5.9,58650,-61.75,63000,-136575,YES,125100,YES,-0.03,0.65,0.65,0.65,849975,-19.55,142725,238125,YES,-474375,YES,-0.21,-30.45,-29.5,-28.5,2280,-1626.4,6570,-3990,YES,4710,N,0.43,51705.45,51675
