last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
17-04-2025 12:35,-27.7,-29,-25.1,-38700,-1116.5,36600,21825,N,21675,YES,4.14,23702.8,23676.6,-30.3,-30.25,-30.85,-6000,-324.2,37575,-269625,Y,6900,YES,0.28,17-04-2025 12:35,-0.05,-0.05,-0.05,-215250,-19.8,97650,-54600,YES,123300,Y,-0.2
17-04-2025 12:40,30.5,30.7,29,-40275,-710.4,38625,9600,N,-19050,Y,2.96,23676.7,23707.2,28.4,29,29.3,11175,-321.2,41775,-21375,Y,-8850,Y,0.28,17-04-2025 12:40,-0.55,-0.55,-0.55,5097300,-18.9,105375,-135975,Y,87150,N,-0.18
17-04-2025 12:45,29,32,29.2,109875,-840.1,35925,17775,N,-3825,N,4.91,23709,23738,23.65,24.5,24.85,3225,-337.3,43950,-103200,YES,-5400,N,0.36,17-04-2025 12:45,-0.65,-0.65,-0.65,4545900,-17.35,106350,-36000,YES,2475,YES,-0.24
17-04-2025 12:50,2.5,4.1,3.3,-121425,-967.6,34275,128550,Y,17850,YES,4.96,23738,23742.5,-0.45,0.45,0,229875,-353.35,36900,-303900,YES,2175,N,0.29,17-04-2025 12:50,-0.55,-0.55,-0.55,4256850,-19.5,134025,-466350,Y,358725,Y,-0.22
17-04-2025 12:55,-0.6,-4.5,-4,-122550,-793.2,34800,1500,YES,5100,N,4,23739.6,23739,-2.75,-3.25,-3.25,11475,-345.95,35175,11850,Y,4125,N,0.3,17-04-2025 12:55,0.15,0.2,0.2,16765500,-18.75,117600,531675,YES,169650,N,-0.15
17-04-2025 13:00,14,15.1,13.9,-50400,-718.7,36225,-4200,YES,-9450,Y,3.59,23739,23753,10.5,10,10.2,48150,-342.25,36450,15150,N,-11025,Y,0.31,17-04-2025 13:00,-0.3,-0.3,-0.3,14388375,-19.05,132975,-490875,Y,535350,Y,-0.14
17-04-2025 13:05,25.1,27.4,25.2,-157800,-707,39900,2025,N,-13875,Y,7.23,23753.9,23779.1,20.5,19.1,19.05,-86775,-378.3,34425,-223725,YES,7350,N,0.33,17-04-2025 13:05,0.2,0.2,0.2,3377025,-17.7,119250,454500,YES,-497775,YES,-0.26
17-04-2025 13:10,19.8,21.3,19.6,-149175,-427.1,36600,12750,N,-4500,N,5.58,23779.1,23798.9,23.6,23.5,23.6,-58650,-357.1,33375,-618975,YES,-3375,Y,0.24,17-04-2025 13:10,0.05,0,0,10919625,-18.45,131700,-14250,Y,8100,Y,-0.14
17-04-2025 13:15,-4.9,-10.5,-5.2,-100200,-503,35025,-25275,YES,-7575,Y,8.34,23798.9,23793.8,-9.3,-8.8,-8.85,7875,-357.65,30525,-331050,Y,9300,N,0.16,17-04-2025 13:15,-0.1,-0.05,-0.05,9896025,-17.4,115050,-197550,Y,149700,Y,-0.15
17-04-2025 13:20,1.7,-0.8,-1.6,-37200,-599.3,31050,-1500,Y,-11250,Y,3.64,23788.2,23789,1.85,1.8,1.8,8250,-363.35,40050,-536325,YES,-3525,Y,0.2,17-04-2025 13:20,-0.05,-0.1,-0.1,3923775,-18.1,139875,-184950,N,-312375,YES,-0.21
17-04-2025 13:25,-9.1,-10.8,-9.1,-12000,-602.9,39300,-7200,YES,3900,N,7.52,23789,23779.9,-11.25,-12.55,-12.55,-11100,-365.85,38400,-150975,Y,2775,N,0.19,17-04-2025 13:25,0.05,0.05,0.05,6269625,-18.4,117900,130875,YES,239700,Y,-0.1
17-04-2025 13:30,-4.4,-3.9,-4.4,-38400,-474.3,34200,10425,N,17850,N,3.69,23779.9,23775.5,1.7,0.35,0.25,-24300,-324.2,35325,-407850,YES,-2250,Y,0.1,17-04-2025 13:30,-0.15,-0.15,-0.15,6180900,-17.65,102600,84825,N,-15600,YES,-0.14
17-04-2025 13:35,29.1,29.1,29.4,-175875,-570.2,38475,-15975,YES,-17700,Y,3.44,23775.5,23804.6,22.65,22.8,22.65,-50250,-356.75,41250,-224475,Y,-6900,Y,0.27,17-04-2025 13:35,-0.05,0,0,4578900,-18.5,100350,-205050,Y,77100,Y,-0.18
